training_case,model,alpha,validation_rmse_2d_um,hidden_scale
without_quadrupole_misalignment,shared_joint_random_feature,10000.0,32.97834115976693,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.0001,37.25448141219309,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.00031622776601683794,37.25441691474077,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.001,37.25421297206203,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.0031622776601683794,37.25356821040389,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.01,37.251530910824734,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.03162277660168379,37.24510451886326,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.1,37.22494228219544,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.31622776601683794,37.16274009210275,2.0
without_quadrupole_misalignment,shared_joint_random_feature,1.0,36.980392030960736,2.0
without_quadrupole_misalignment,shared_joint_random_feature,3.1622776601683795,36.51713835022248,2.0
without_quadrupole_misalignment,shared_joint_random_feature,10.0,35.67237710381418,2.0
without_quadrupole_misalignment,shared_joint_random_feature,31.622776601683793,34.7785124024508,2.0
without_quadrupole_misalignment,shared_joint_random_feature,100.0,34.204837154926786,2.0
without_quadrupole_misalignment,shared_joint_random_feature,316.22776601683796,33.77709476874358,2.0
without_quadrupole_misalignment,shared_joint_random_feature,1000.0,33.365692291372376,2.0
without_quadrupole_misalignment,shared_joint_random_feature,3162.2776601683795,33.02943886657701,2.0
without_quadrupole_misalignment,shared_joint_random_feature,10000.0,32.977544903185084,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,0.0001,35.05380254694687,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,0.00031622776601683794,35.05380242452698,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,0.001,35.05380203740141,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,0.0031622776601683794,35.053800813204255,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,0.01,35.05379694196665,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,0.03162277660168379,35.05378470017543,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,0.1,35.05374598960217,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,0.31622776601683794,35.05362358971624,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,1.0,35.05323666420176,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,3.1622776601683795,35.0520144661071,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,10.0,35.048163173925424,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,31.622776601683793,35.03611942218129,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,100.0,34.99934572572169,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,316.22776601683796,34.895049374905845,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,1000.0,34.65763133059515,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,3162.2776601683795,34.3755496953522,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,10000.0,34.48731642732054,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,0.0001,35.52488513939179,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,0.00031622776601683794,35.52487502284618,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,0.001,35.5248430334705,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,0.0031622776601683794,35.52474189368148,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,0.01,35.52442225645706,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,0.03162277660168379,35.52341341975514,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,0.1,35.52024252939008,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,0.31622776601683794,35.51040494331053,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,1.0,35.48108306919809,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,3.1622776601683795,35.40333845104736,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,10.0,35.25042451500247,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,31.622776601683793,35.08193975209696,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,100.0,34.9822557931522,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,316.22776601683796,34.87536445068349,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,1000.0,34.64370998898086,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,3162.2776601683795,34.36633687902731,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,10000.0,34.48231853780601,
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.0001,35.79132647615002,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.00031622776601683794,35.79130970898751,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.001,35.79125669007656,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.0031622776601683794,35.79108906465974,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.01,35.790559337323515,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.03162277660168379,35.788887692574555,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.1,35.78363625171185,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.31622776601683794,35.76737002256221,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,1.0,35.71911718415536,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,3.1622776601683795,35.59275045512589,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,10.0,35.349883473425265,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,31.622776601683793,35.08879586875225,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,100.0,34.95306920431068,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,316.22776601683796,34.887638098687844,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,1000.0,34.751932253741735,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,3162.2776601683795,34.523016252209665,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,10000.0,34.50510146491626,0.5
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.0001,35.71836178197161,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.00031622776601683794,35.718351195688214,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.001,35.71831772072436,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.0031622776601683794,35.71821188161994,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.01,35.71787736914631,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.03162277660168379,35.71682134631451,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.1,35.71349979544969,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.31622776601683794,35.70317193642167,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,1.0,35.672178689824094,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,3.1622776601683795,35.58835473469084,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,10.0,35.41440350458966,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,31.622776601683793,35.19284370170018,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,100.0,35.01599031207819,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,316.22776601683796,34.885748754252724,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,1000.0,34.73448718815663,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,3162.2776601683795,34.51481195955386,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,10000.0,34.502129037361854,1.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.0001,35.83271641761508,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.00031622776601683794,35.832704183904234,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.001,35.83266549973171,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.0031622776601683794,35.832543191804724,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.01,35.83215664172754,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.03162277660168379,35.8309364744762,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.1,35.82709995347888,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,0.31622776601683794,35.81518371349613,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,1.0,35.779541882376144,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,3.1622776601683795,35.684073268169946,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,10.0,35.491119166784365,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,31.622776601683793,35.261768402030356,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,100.0,35.093207189098486,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,316.22776601683796,34.93707225075806,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,1000.0,34.74711135259845,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,3162.2776601683795,34.5215323540772,2.0
with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,10000.0,34.51009233747729,2.0
