sextupole,sextupole_index,sextupole_s_m,scaling,observation_count,sigma_1,sigma_2,condition_number,effective_rank,response_x_norm,response_y_norm,response_x_y_cosine,parameter_rotation_x_mode1,parameter_rotation_y_mode1,parameter_rotation_x_mode2,parameter_rotation_y_mode2,relative_reconstruction_error,parameter_rotation_orthogonality_error,mode_weight_orthogonality_error
SEX_08E,796,725.5156956369731,raw,1191,2715.4473946806165,2440.6729359795663,1.1125814338539257,2,2462.4758994292256,2695.6912617047014,0.056372430806292992,-0.27469173918090267,-0.9615323439311706,-0.9615323439311706,0.27469173918090256,2.0638817902015961e-16,1.8411055174548084e-16,4.2998752849492583e-16
SEX_08E,796,725.5156956369731,observable_rms,1191,40.02105666134954,28.467897125728072,1.4058311537588146,2,28.511507588355983,39.989999726070351,0.038829371687037921,0.056039422280175485,0.99842855685847842,-0.99842855685847853,0.056039422280175451,4.3285808416939183e-16,3.5536980832106007e-16,5.5530663441084629e-16
SEX_08W,72,42.907498779194896,raw,1191,2749.6073145284413,2515.243506585784,1.0931773831555518,2,2729.2452090879897,2537.3235643489606,-0.051097297202762092,-0.95372218248573459,0.30068920604944732,0.30068920604944727,0.95372218248573459,2.1836940545088121e-16,3.1969860120277711e-16,7.1455447824596347e-16
SEX_08W,72,42.907498779194896,observable_rms,1191,38.30646241466814,31.289146107099775,1.2242731803401972,2,31.289882343545823,38.305861036724913,0.0039573992192763682,0.0097128486131711749,0.99995282917336525,0.99995282917336537,-0.0097128486131711732,2.4081377766149499e-16,2.2206280865354809e-16,5.981199760089988e-16
SEX_09E,780,716.0820656369732,raw,1191,2695.0022256547782,1719.6688275324659,1.5671635041043381,2,1835.435520479381,2617.5321054064789,0.26350976666320408,-0.30916638466637159,-0.95100796347471528,0.95100796347471539,-0.30916638466637153,4.5986496065433265e-16,5.1548086433346587e-16,4.9650683064945462e-16
SEX_09E,780,716.0820656369732,observable_rms,1191,41.986553408112698,20.82413714429244,2.0162445683671719,2,21.018777830918374,41.889453725145358,0.11780953797726854,-0.078275954031761907,-0.9969317303709504,0.99693173037095073,-0.078275954031761796,1.8014054003283937e-16,4.988244316190509e-16,2.634953026054921e-16
SEX_09W,84,52.349828779194894,raw,1191,4342.9526174511202,1974.0819052135339,2.199986031978419,2,2140.6820277163997,4263.2988708427456,-0.34281260716057793,-0.21403402369768743,0.97682620598537273,-0.97682620598537273,-0.21403402369768754,2.8386307305831954e-16,2.7105306955350944e-16,1.2146434184145741e-15
SEX_09W,84,52.349828779194894,observable_rms,1191,59.837279854157906,32.8833548270037,1.8196829419916649,2,33.277374507767576,59.619052582989113,-0.12798151711059755,-0.10213154306876071,0.99477090222341846,0.99477090222341802,0.10213154306876082,4.2358636106216419e-16,8.1034361468473914e-16,3.3958956690578992e-16
SEX_10E,774,709.5713956369732,raw,1191,3557.6617380645744,3014.3327365646637,1.180248515669549,2,3506.5298576726223,3073.6634894640788,0.099899960498030155,0.94807352852296523,0.31805122938610747,0.31805122938610741,-0.94807352852296511,2.1716029591482913e-16,2.4873320858298687e-16,1.3687748718835771e-15
SEX_10E,774,709.5713956369732,observable_rms,1191,45.883148968282633,33.847953423051692,1.3555664177035451,2,34.107969270665002,45.690193065974945,0.082782657788857669,0.13569789354655518,0.99075026201713789,-0.99075026201713789,0.13569789354655518,3.6210706487570601e-16,4.7105162900780915e-16,9.1289318162677826e-16
SEX_10W,92,58.85539877919489,raw,1191,3583.6226805118536,2730.3542006049865,1.3125120102431405,2,2782.7919668261588,3543.0572174900117,-0.12313478574771167,-0.23164743720674419,0.97279980717285675,-0.97279980717285675,-0.23164743720674419,3.4039140415776919e-16,3.1452368145297234e-16,5.4141161562690664e-16
SEX_10W,92,58.85539877919489,observable_rms,1191,51.824367346894,32.311203685382033,1.6039132386250268,2,32.562251559390774,51.666998247304953,-0.096710341947498821,-0.099599721006335046,0.99502758533392432,0.9950275853339241,0.099599721006335074,2.3819317856685953e-16,6.0276112228784242e-16,3.1463121132764933e-16
SEX_11E,766,701.3662036369731,raw,1191,1859.0702933839295,1400.8274042949909,1.32712301864166,2,1446.9136459839451,1823.4310169106748,-0.16028226387689767,0.29640535226821879,-0.95506223208058705,0.95506223208058671,0.29640535226821896,3.110668378572802e-16,6.7130355324426288e-16,7.1548038353132181e-16
SEX_11E,766,701.3662036369731,observable_rms,1191,26.017464399441938,20.487859195514233,1.2698966813056973,2,20.544725380865163,25.972583375865412,-0.045697775802599101,0.095256163682620798,-0.99545279309491608,-0.99545279309491619,-0.095256163682620784,2.8039067453245731e-16,2.254466178965384e-16,1.000486067918028e-15
SEX_11W,102,67.32807077919487,raw,1191,2040.7562060766672,1589.2688303793298,1.2840849622587611,2,1633.4618616764897,2005.5581902064305,0.14092280896253914,0.29478900935334723,0.9555623684325748,0.9555623684325748,-0.29478900935334729,5.5213230794943579e-16,4.1280328595473308e-16,2.7194799110210365e-16
SEX_11W,102,67.32807077919487,observable_rms,1191,37.645170060523704,28.435979430256783,1.3238569873372481,2,37.624620303748955,28.463163949962734,0.028612466095318152,0.99872832957126023,0.050415510627185682,0.050415510627185675,-0.99872832957126056,3.0889197029077533e-16,4.0135863866116502e-16,4.4506392212830192e-16
SEX_12E,758,693.163360636973,raw,1191,2489.604432324199,1419.7667463609116,1.7535305983926246,2,2474.7092595358404,1445.5732165089787,-0.15407316997794562,-0.99112062512123666,0.13296580936198635,-0.13296580936198635,-0.99112062512123689,6.6200643374194064e-16,1.1439065232193503e-15,8.0920713114236714e-16
SEX_12E,758,693.163360636973,observable_rms,1191,24.611626800642384,21.760869314183434,1.1310038420478388,2,22.615857376239788,23.828357102843842,-0.11096936199433646,0.53573162514917494,-0.84438831458933872,-0.84438831458933894,-0.53573162514917472,3.7064677436958458e-16,5.1927548820576807e-16,4.980559976921029e-16
SEX_12W,108,75.26403377919488,raw,1191,2149.543888526322,1462.1847194680961,1.4700905158605877,2,2131.0810762109513,1488.9649187144828,0.13735427036008213,-0.98395370911970048,-0.17842392863510284,-0.17842392863510281,0.98395370911970037,3.1392494924956927e-16,4.9722511296244376e-16,8.0849280956915616e-16
SEX_12W,108,75.26403377919488,observable_rms,1191,26.414424612402549,24.573776326229758,1.0749029478309406,2,25.337991200645156,25.682260656957286,0.070837412011627993,-0.63751288722152955,-0.77043969175170945,-0.77043969175170934,0.63751288722152977,2.5906864078486428e-16,4.6501790135702584e-16,3.1646225226420963e-16
SEX_13E,750,684.497718636973,raw,1191,2047.8524780130256,1452.3768473393068,1.4100007733974864,2,1605.1185881278238,1930.4643473625442,-0.28047061508868015,0.47334907261054415,-0.88087493746770773,-0.88087493746770762,-0.47334907261054404,5.2830584816279843e-16,2.6707548909814736e-16,7.0326297337385975e-16
SEX_13E,750,684.497718636973,observable_rms,1191,33.029045629898121,20.932645488413698,1.5778724981598637,2,21.100934048323133,32.921787385465812,-0.097284841909306932,-0.1041009365615177,0.99456673733189704,0.99456673733189693,0.10410093656151767,4.2874413778743299e-16,4.9711622987308477e-16,9.1846686917161804e-16
