sextupole,sextupole_index,sextupole_s_m,nominal_kn2_m3,nominal_k2l_m2,observation_scope,observation_name,observable,value,d_k2,d_x,d_y,d2_k2_k2,d2_k2_x,d2_k2_y,d2_x_x,d2_x_y,d2_y_y
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,orbit_x,0.0014699603743694974,2.9006943871648138e-9,-1.7973572399220618e-5,3.969400547196086e-6,3.61261886027677e-13,-2.8773113921747558e-5,6.354006997460293e-6,0.09360941422563764,-0.03785421022622852,-0.09359376432381447
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,orbit_y,4.107020828533895e-5,-1.2741372548193479e-8,4.5343000966929576e-5,-0.0002547436326113127,7.881353060510462e-13,7.258029294336539e-5,-0.000407773580243051,-0.012521101653458206,1.4174692972389515,0.012561644348854309
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,phi_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,phi_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,beta_1,1.3464344915854096,-0.0031430289787224685,10.753121773534772,-0.4902070051406409,2.4334394415464283e-5,17.129857028442693,-0.7804884143383624,246.46769374662284,-3.584582087491029,146.38586609713053
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,beta_2,21.657380556041325,-0.01364447387505016,46.54596080681952,-5.247354195141061,-7.40048706348608e-6,74.53529634140766,-8.393322691853395,376.42359760774417,53.162201204983056,-172.32629106843885
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,alpha_1,-0.6331857957904962,0.002545178961830399,-8.795246671234835,0.01940666334253098,-1.6949802724331982e-5,-14.02129761022781,0.026271506931208215,-156.01312012125373,8.293575720269843,-128.8166240053493
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,alpha_2,-34.756141442814474,0.021825962965444076,-74.60668403747904,7.551156272725843,1.171330424050258e-5,-119.46939472148223,12.075980327293957,-605.8575329293622,-84.35740450160202,278.9751278720303
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,c11,-0.08248468750284896,0.0009140224417718215,-0.00108925763586464,18.765953057035883,3.918519581931476e-6,-0.008555981721521418,30.07988432168442,0.8846253927888587,-40.3705692052248,-3.918663880067421
SEX_36W,310,277.21423877919494,0.6247040000000001,0.16991948800000006,detector,det_00w,c12,0.03443902002446356,-0.0005808613220084107,0.00318184606188109,-11.91082924418245,-2.4886277175790184e-6,0.00942854645342307,-19.09179211738928,-0.5701976524809553,24.809403578114267,3.215249868148556
