sextupole,observable_family,observation_count,norm_k2_x,norm_k2_y,cosine_x_y,singular_max,singular_min,condition_number
SEX_08E,alpha,198,388.5663511423947,969.5423848396321,0.13892226882556535,971.3232097308808,384.09304534023465,2.5288747648905487
SEX_08E,beta,198,2431.577077684861,2223.2863187172534,0.05945185747192119,2451.4142395433964,2201.3944139752953,1.1135733896574278
SEX_08E,coupling,396,0.5893684323071054,1176.3227962079395,0.6509480654320577,1176.3228587698445,0.4474026765956183,2629.226243617348
SEX_08E,orbit,198,0.22998876430742096,0.1794680486128975,-0.0019038668595472413,0.22998941329977143,0.17946721692443635,1.2815121181525158
SEX_08E,phase,198,15.360662395001825,1.2386879355370288,0.7621344152649281,15.389723844469364,0.8004355101064046,19.22668803439712
SEX_08E,tune,3,0.5577705854081164,0.00044633715480062766,-0.7009356022244705,0.5577706731479536,0.0003183385734304024,1752.13034077976
SEX_08W,alpha,198,445.57354481028545,913.8956859963666,-0.11759459545046223,915.8530206229237,441.5363556191489,2.0742414729103325
SEX_08W,beta,198,2692.5654222024705,2091.9426500249947,-0.05393621133444691,2698.458037175524,2084.3360634592455,1.2946367356409205
SEX_08W,coupling,396,2.0102589423639685,1107.5097881391505,-0.9807249884138133,1107.5115429108807,0.3927902768175463,2819.600199587749
SEX_08W,orbit,198,0.2310777318706649,0.18104777738383965,0.002051921875465837,0.23107850520675685,0.1810467903430771,1.2763468756826424
SEX_08W,phase,198,18.183285301071358,1.879021185012668,0.7995647864862968,18.24548535450327,1.1246551171318422,16.223182624228766
SEX_08W,tune,3,0.5901290526826259,0.001101125795284858,0.8921629730136023,0.5901298703662108,0.0004973928726374297,1186.446173297664
SEX_09E,alpha,198,448.76718600684876,995.7605233646215,0.43611988095967985,1018.3281859961719,394.89076050679694,2.578759211001201
SEX_09E,beta,198,1779.7120589237663,2189.6945735470067,0.27499157084239945,2307.9488393366987,1623.4252348365985,1.421653914089243
