sample_id,Q1_signed,Q2_signed,Qx_fractional,Qy_fractional,slip_tps_constant,xi_1,xi_2,slip_factor,twiss_seconds
0,-0.46984609809119743,-0.42092375657747416,0.5301539019088026,0.5790762434225258,0.0,-1.1723378153293342,-0.9660753232539784,-8.842321438933764,1.75022635
1,-0.4701150542376809,-0.42076487389085476,0.5298849457623191,0.5792351261091453,0.00011061097632765854,-1.1723378153293342,-0.9660753232539784,-8.842689797164999,1.64581745
2,-0.46974131552227916,-0.42129573818270394,0.5302586844777208,0.5787042618172961,1.2379154420950251e-5,-1.1723378153293342,-0.9660753232539784,-8.841912556468113,1.64643115
3,-0.4698251161570708,-0.42101661658140743,0.5301748838429292,0.5789833834185926,-4.372761910019411e-6,-1.1723378153293342,-0.9660753232539784,-8.842078765081029,1.6479597499999998
4,-0.4697663599598424,-0.42050691648486616,0.5302336400401576,0.5794930835151338,-1.8269212333315408e-6,-1.1723378153293342,-0.9660753232539784,-8.842732293757107,1.6488290499999998
5,-0.46993836193217636,-0.42087975856641624,0.5300616380678236,0.5791202414335838,-3.637685102685688e-5,-1.1723378153293342,-0.9660753232539784,-8.842053861035057,1.6458068499999998
6,-0.46990388357268387,-0.42099800985834757,0.5300961164273161,0.5790019901416524,-1.1784766747363115e-5,-1.1723378153293342,-0.9660753232539784,-8.842697998095778,1.65586905
7,-0.469831467560707,-0.4210930180048515,0.5301685324392931,0.5789069819951485,3.196049679946811e-5,-1.1723378153293342,-0.9660753232539784,-8.842606126483624,1.64613875
8,-0.4700186957547041,-0.42084517062830296,0.5299813042452959,0.579154829371697,2.9215631200803783e-5,-1.1723378153293342,-0.9660753232539784,-8.84242717276366,1.64906705
9,-0.46985061982481124,-0.42105201701490413,0.5301493801751888,0.5789479829850959,6.984650421077767e-6,-1.1723378153293342,-0.9660753232539784,-8.841325260753058,1.64908145
