sextupole,sextupole_s_m,quadrupole,quadrupole_index,quadrupole_k1_m2,delta_k1_m2,optics_leverage,delta_log_beta_x,delta_log_beta_y,delta_phi_x_rad,delta_phi_y_rad,max_abs_tune_shift,max_detector_beta_beating,allowed,selected,selected_rank
SEX_08E,725.6516956369732,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09828640673918705,-0.00010059578035948036,0.08700280805268279,-0.011825175814692557,-0.04416881522170968,0.00738780564499919,0.1076620105801478,1,1,3
SEX_08W,43.04349877919489,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0885764816989227,-0.01372593649491316,0.08679360062825014,-0.009052147020298218,-0.00650548244205762,0.00738780564499919,0.1076620105801478,1,1,4
SEX_09E,716.2180656369733,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08767020806855727,0.019373758801438212,0.08528218122926456,-0.0037468617416891448,-0.004861424128314695,0.00738780564499919,0.1076620105801478,1,1,3
SEX_09W,52.48582877919489,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09859236098324983,-0.01663476501436323,0.08577336450702244,0.003255961487356629,-0.04556387706403697,0.00738780564499919,0.1076620105801478,1,1,2
SEX_10E,709.7073956369733,Q00E,1,-0.84178483645302,0.0008417848364530201,0.046028505693194055,0.016586328194380107,0.03898007158508454,0.003290880308519206,0.017698620833087375,0.00738780564499919,0.1076620105801478,1,1,3
SEX_10W,58.99139877919489,Q00E,1,-0.84178483645302,0.0008417848364530201,0.079244280531185,-0.006035187222801719,0.03828223070680292,0.007360092589332012,-0.06872795909437768,0.00738780564499919,0.1076620105801478,1,1,2
SEX_11E,701.5022036369731,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0432806266078852,-0.010588215113101818,-0.03735881008058839,0.006278944011256726,0.01805537348702302,0.00738780564499919,0.1076620105801478,1,1,4
SEX_11W,67.46407077919488,Q00E,1,-0.84178483645302,0.0008417848364530201,0.07930156311160655,0.01971816042027652,-0.0313351879762398,-0.002049184851986574,-0.07009877957226118,0.00738780564499919,0.1076620105801478,1,1,2
SEX_12E,693.2993606369731,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09753181765900212,-0.014748365526191742,-0.09395178462892417,-0.008581310923055696,-0.019858611181469144,0.00738780564499919,0.1076620105801478,1,1,2
SEX_12W,75.40003377919489,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09924699645709882,-0.002271333612441584,-0.08957387436077191,-0.011824592179355164,-0.0410061873522638,0.00738780564499919,0.1076620105801478,1,1,3
SEX_13E,684.6337186369731,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08839338784537686,0.014786569355872747,-0.061410604738483254,-0.008559651704857174,-0.061239026525676366,0.00738780564499919,0.1076620105801478,1,1,3
SEX_13W,84.06882577919488,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08458823904216053,-0.019470497456720137,-0.08229584983045113,-0.00028698941935267896,-0.0018386546164421702,0.00738780564499919,0.1076620105801478,1,1,3
SEX_14E,676.430226636973,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0782527186082957,0.018610917009546313,0.02898498139688299,0.0011106370047428982,-0.07025495766505685,0.00738780564499919,0.1076620105801478,1,1,2
SEX_14W,92.26991777919488,Q00E,1,-0.84178483645302,0.0008417848364530201,0.02466221528569734,-0.007910686877018236,-0.0038941265181602347,0.007052675737384995,0.021925816735887338,0.00738780564499919,0.1076620105801478,1,1,7
SEX_15E,666.306984636973,Q00E,1,-0.84178483645302,0.0008417848364530201,0.10081628876204111,-0.01931050874411666,0.09184367564367135,-0.0002010300139403398,-0.03682020047457968,0.00738780564499919,0.1076620105801478,1,1,3
SEX_15W,102.39410977919488,Q00E,1,-0.84178483645302,0.0008417848364530201,0.07597551736720497,0.011286096169542126,0.07433858777444202,-0.010122478229606102,0.004026546244492835,0.00738780564499919,0.1076620105801478,1,1,3
SEX_16E,658.1009426369728,Q00E,1,-0.84178483645302,0.0008417848364530201,0.07073047760257008,-0.00391689896605385,0.06928973122418824,-0.01171117144514966,0.007017120110091923,0.00738780564499919,0.1076620105801478,1,1,3
SEX_16W,110.60030177919488,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09954267343089734,-0.013305869061477127,0.08835853678706229,-0.009318494819724243,-0.04286761380615012,0.00738780564499919,0.1076620105801478,1,1,2
SEX_17E,649.8934006369727,Q00E,1,-0.84178483645302,0.0008417848364530201,0.04903004492919743,0.014343433831119912,-0.042812923500447964,-0.008823310835289533,0.016953288145373335,0.00738780564499919,0.1076620105801478,1,1,3
SEX_17W,118.80139277919488,Q00E,1,-0.84178483645302,0.0008417848364530201,0.07581125597963721,-0.01966678457539528,-0.008610242720752614,-0.001222565630381034,-0.07269754584058674,0.00738780564499919,0.1076620105801478,1,1,3
SEX_18E,641.6931586369727,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08044340136442572,0.01946805799285678,-0.03695356171411368,-0.0004008981917706933,-0.0687488843425541,0.00738780564499919,0.1076620105801478,1,1,2
SEX_18W,127.00013477919488,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0656864091361181,-0.012647481170143582,-0.06346585748292999,0.005540463226706649,0.00980478283483599,0.00738780564499919,0.1076620105801478,1,1,3
SEX_19E,635.0328586369727,Q00E,1,-0.84178483645302,0.0008417848364530201,0.09374150630397503,0.011514455176669935,0.07586228218024083,0.00601501746675126,-0.05351281186223389,0.00738780564499919,0.1076620105801478,1,1,1
SEX_19W,133.66543477919487,Q00E,1,-0.84178483645302,0.0008417848364530201,0.046134114809605484,0.00180559849292794,0.04212403518595842,0.007797050709456244,0.01702551095369831,0.00738780564499919,0.1076620105801478,1,1,4
SEX_20E,626.8242166369727,Q00E,1,-0.84178483645302,0.0008417848364530201,0.04202303906379518,-0.0031319212548348574,0.036842138165391836,0.00774019030570372,0.018408508653458,0.00738780564499919,0.1076620105801478,1,1,4
SEX_20W,141.87332677919488,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0918240232466198,0.015174357062993415,0.06980738958455623,0.0042824134985224305,-0.05753242065947006,0.00738780564499919,0.1076620105801478,1,1,2
SEX_21E,618.6199746369726,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08422965230095567,-0.018278696954044715,-0.08218823620384397,0.0017166511343660318,-0.0016341673678397228,0.00738780564499919,0.1076620105801478,1,1,3
SEX_21W,150.0752687791949,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0842395693438011,0.01724358978218299,-0.048903709132193995,-0.0067855753387267015,-0.06604049405545886,0.00738780564499919,0.1076620105801478,1,1,3
SEX_22E,610.4185326369727,Q00E,1,-0.84178483645302,0.0008417848364530201,0.0852399830836044,-0.013220151319949913,-0.053816307114419426,-0.009330352314094625,-0.0640923702903251,0.00738780564499919,0.1076620105801478,1,1,4
SEX_22W,158.2819607791949,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08135612035439221,-0.0034842537216597247,-0.08043220684686625,-0.011718246861956771,-0.00014521482917650985,0.00738780564499919,0.1076620105801478,1,1,2
SEX_23E,602.2144906369726,Q00E,1,-0.84178483645302,0.0008417848364530201,0.08945519508061872,0.016914211530035472,0.06352095340475516,-0.007070582345818366,-0.060259743768710905,0.00738780564499919,0.1076620105801478,1,1,2
