element_order,element_index,element_name,element_type,s_m,k2l_m2,eta_total,magnitude_total
72,72,dqx5b,SBend,18.075000000000017,0,0.00024845563955496646,0.0027840752947629168
73,73,d030,Drift,19.365375000000018,0,5.522428963314782e-05,0.00080667954559718378
74,74,hx5b,Kicker,19.566500000000019,0,4.001245422512623e-05,0.00058447521202976537
75,75,d031,Drift,19.703000000000017,0,2.4623048753977151e-05,0.00035967705355678084
76,76,det_x5b,Marker,19.755000000000017,0,2.5629578540862429e-18,1.0264119341135623e-16
77,77,d032,Drift,19.772500000000019,0,8.2942830314427809e-06,0.00012110925591420233
78,78,vx5b,Kicker,19.924000000000017,0,6.3510510069834494e-05,0.00092735087385743798
79,79,d033,Drift,20.08750000000002,0,1.3981791396032492e-05,0.00020415560282684722
80,80,qx5b,Quadrupole,20.298000000000016,0,6.3415408158504379e-05,0.0010142701520968783
81,81,girder_5ab_end,Marker,20.479000000000017,0,-2.0165042467377485e-17,7.5911336349526516e-17
82,82,d034,Drift,20.662500000000019,0,4.7955007296839481e-05,0.00087375931994078024
83,83,girder_5cd_start,Marker,20.846000000000018,0,-1.000009478623662e-17,3.3946139186734944e-17
84,84,qx5c,Quadrupole,21.027000000000015,0,4.8749101974642852e-05,0.0010087280840434122
85,85,d035,Drift,21.261000000000017,0,1.5778674490074314e-05,0.00036327989502855885
86,86,vx5c!s1,Kicker,21.352000000000018,0,1.131301189858469e-05,0.00026046483039784008
87,87,det_x5c,Marker,21.390000000000018,0,-7.2870139273395912e-18,4.5048324456130609e-17
88,88,vx5c!s2,Kicker,21.486000000000018,0,2.8542025224328565e-05,0.0006577438829338916
89,89,d036,Drift,21.629500000000018,0,1.412235623086523e-05,0.00032544619207670666
90,90,hx5c,Kicker,21.761500000000019,0,2.5122928452695413e-05,0.00057895164695745025
91,91,d037,Drift,21.96112500000002,0,3.4228131811933017e-05,0.00078877879711206154
92,92,dqx5d,SBend,23.250000000000021,0,0.00010353754980704105,0.0026324604872572663
93,93,d038,Drift,24.468625000000017,0,8.7909520965941158e-06,0.00025640937547331713
94,94,hx5d,Kicker,24.59800000000002,0,1.6553436259796591e-05,0.00048282099671294689
95,95,d039,Drift,24.719250000000017,0,7.1992755330173887e-06,0.00020998427963548355
96,96,qx5d,Quadrupole,24.956000000000017,0,1.6686706543225072e-05,0.00050289057401628392
97,97,d040,Drift,25.168000000000017,0,3.4378232524191366e-07,7.6473126836297614e-06
98,98,det_x5d,Marker,25.180000000000017,0,0,0
99,99,d041,Drift,25.220000000000017,0,1.1408114659885695e-06,2.552523603889023e-05
100,100,det_s6a,Marker,25.260000000000016,0,-4.7896597327508599e-18,5.0273040820190716e-17
101,101,d042,Drift,25.272450000000013,0,3.5339100079121993e-07,7.954994839613614e-06
102,102,vx5d,Kicker,25.323000000000015,0,1.0814616169023811e-06,2.4344201075479813e-05
103,103,girder_5cd_end,Marker,25.361100000000015,0,1.0887145792556628e-33,5.5364550855638874e-32
104,104,d043!s1,Drift,26.455550000000009,0,3.1065765528106023e-05,0.00069930474716629486
105,105,sector_6,Marker,27.550000000000001,0,0,0
106,106,d043!s2,Drift,28.632950000000008,0,3.0739340105679918e-05,0.00069195675996504291
107,107,girder_6ab_start,Marker,29.715900000000016,0,0,0
108,108,vx6a,Kicker,29.754000000000016,0,1.0814616169094837e-06,2.4344201075479217e-05
109,109,d044,Drift,29.848050000000015,0,1.5881306421459127e-06,3.5749555122620783e-05
110,110,det_s6c,Marker,29.904000000000014,0,0,0
111,111,d045,Drift,29.924000000000014,0,5.5659666275439302e-07,1.2761682490481642e-05
112,112,qx6a,Quadrupole,30.144000000000013,0,4.9580006109490101e-05,0.00059072501581987878
113,113,d046,Drift,30.351500000000012,0,4.7101372772217173e-06,5.1340680642992929e-05
114,114,det_x6a,Marker,30.359000000000012,0,0,0
115,115,d047,Drift,30.38825000000001,0,1.8300680840135254e-05,0.00020007278806834141
116,116,hx6a,Kicker,30.502000000000013,0,5.2868633538090705e-05,0.0005779880544193657
117,117,d048,Drift,30.631375000000009,0,2.8076685562377907e-05,0.00030694927742101226
118,118,dqx6b,SBend,31.850000000000009,0,0.00029701352484520776,0.0033563285171965833
119,119,d049,Drift,33.137875000000008,0,9.9832488749181781e-05,0.00095261159354882556
120,120,hx6b,Kicker,33.336500000000008,0,7.3917592983977721e-05,0.00070532906597903418
121,121,d050,Drift,33.475500000000011,0,4.7674660563684485e-05,0.00045491637983274634
122,122,det_x6b,Marker,33.530000000000008,0,3.9615528260620709e-17,1.6349430622400487e-16
123,123,d051,Drift,33.547500000000007,0,1.5334484262661424e-05,0.00014614815481443603
124,124,vx6b,Kicker,33.699000000000005,0,0.00011741833663924757,0.0011190772997214916
125,125,d052,Drift,33.862500000000004,0,2.5849559185481728e-05,0.00024636403240135824
126,126,qx6b,Quadrupole,34.073000000000008,0,0.00013476936860196787,0.0012307514738938931
127,127,girder_6ab_end,Marker,34.254000000000005,0,1.8020124524706426e-33,3.0956763632832913e-31
128,128,d053,Drift,34.4375,0,0.0001219400581875818,0.0010634565545153188
129,129,girder_6cd_start,Marker,34.621000000000002,0,-4.3694848641715458e-17,1.1433683695080611e-16
130,130,qx6c,Quadrupole,34.802000000000007,0,0.00014614176065614527,0.0012257184110291948
131,131,d054,Drift,35.036000000000008,0,5.3684799860237495e-05,0.00043942312781798616
132,132,vx6c!s1,Kicker,35.12700000000001,0,3.8490988579037674e-05,0.00031505809164309058
133,133,det_x6c,Marker,35.165000000000006,0,-1.6019348414389986e-32,4.7118137281522171e-31
134,134,vx6c!s2,Kicker,35.26100000000001,0,9.7087658488679505e-05,0.0007956116222131252
135,135,d055,Drift,35.402000000000008,0,4.5509839916546199e-05,0.00037294294791237882
136,136,hx6c,Kicker,35.531500000000008,0,8.5457366065536274e-05,0.00070030397996881984
137,137,d056,Drift,35.733625000000011,0,0.00011895766489322069,0.00097483142773780265
138,138,dqx6d,SBend,37.025000000000006,0,0.00040339595780150773,0.0032782897976426236
139,139,d057,Drift,38.243124999999999,0,3.8094861364389264e-05,0.0002989983874194634
140,140,hx6d,Kicker,38.372,0,7.2541200795270882e-05,0.00056936030956489453
141,141,d058,Drift,38.493250000000003,0,3.1548983777828268e-05,0.00024762119972204289
142,142,qx6d,Quadrupole,38.729999999999997,0,7.1598287859502336e-05,0.00055514577805005434
143,143,d059,Drift,38.942,0,6.4229498427441463e-07,6.212272513127572e-06
144,144,det_x6d,Marker,38.954000000000001,0,-2.4453195143278399e-17,8.2952983441767271e-17
145,145,d060,Drift,38.994,0,2.1471477571751161e-06,2.0737277984125869e-05
146,146,det_s7a,Marker,39.033999999999999,0,-2.5321136074796888e-34,6.1042791839709663e-32
