training_case,model,alpha,validation_rmse_2d_um,hidden_scale
without_quadrupole_misalignment,shared_joint_random_feature,10000.0,33.057893924105855,1.0
without_quadrupole_misalignment,shared_joint_random_feature,0.0001,36.26374077475222,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.00031622776601683794,36.263712595346774,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.001,36.2636234895457,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.0031622776601683794,36.26334176527567,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.01,36.26245140470784,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.03162277660168379,36.25964112450156,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.1,36.25080676859287,2.0
without_quadrupole_misalignment,shared_joint_random_feature,0.31622776601683794,36.22338483757028,2.0
without_quadrupole_misalignment,shared_joint_random_feature,1.0,36.141504510450574,2.0
without_quadrupole_misalignment,shared_joint_random_feature,3.1622776601683795,35.92280843416474,2.0
without_quadrupole_misalignment,shared_joint_random_feature,10.0,35.4792270337891,2.0
without_quadrupole_misalignment,shared_joint_random_feature,31.622776601683793,34.93642848914465,2.0
without_quadrupole_misalignment,shared_joint_random_feature,100.0,34.52612096858867,2.0
without_quadrupole_misalignment,shared_joint_random_feature,316.22776601683796,34.12610679163198,2.0
without_quadrupole_misalignment,shared_joint_random_feature,1000.0,33.64813768081183,2.0
without_quadrupole_misalignment,shared_joint_random_feature,3162.2776601683795,33.210379797776355,2.0
without_quadrupole_misalignment,shared_joint_random_feature,10000.0,33.07978427791799,2.0
with_quadrupole_misalignment,shared_target_local_ridge,0.0001,83.02663535168432,
with_quadrupole_misalignment,shared_target_local_ridge,0.00031622776601683794,83.02663442372881,
with_quadrupole_misalignment,shared_target_local_ridge,0.001,83.0266314892768,
with_quadrupole_misalignment,shared_target_local_ridge,0.0031622776601683794,83.02662220973497,
with_quadrupole_misalignment,shared_target_local_ridge,0.01,83.02659286534943,
with_quadrupole_misalignment,shared_target_local_ridge,0.03162277660168379,83.02650007127666,
with_quadrupole_misalignment,shared_target_local_ridge,0.1,83.02620664087385,
with_quadrupole_misalignment,shared_target_local_ridge,0.31622776601683794,83.02527883466014,
with_quadrupole_misalignment,shared_target_local_ridge,1.0,83.02234587536807,
with_quadrupole_misalignment,shared_target_local_ridge,3.1622776601683795,83.01308124780132,
