training_case,evaluation_case,model,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_09AW,1,53.757894532691886,12.937003453138903,55.29265125615295,47.47293666442519,84.98909527518298,89.03359821209416,95.84596803934963,96.08092968757975
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_10W,2,15.411970498101901,23.83377775469755,28.382702420570865,22.76994556117131,44.75123375242979,51.591435198486536,54.57110124690318,56.23790345982531
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_10AW,3,15.714039419205763,21.252649866359327,26.43115890781968,24.60774560472515,39.06325750027287,43.131380801396645,46.014835219064054,51.17745964528532
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_12W,4,22.304682201112126,17.834492419973525,28.558150639890904,22.730111291633698,44.23068181725788,47.648585033369336,57.13819757221207,60.69801540716702
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_13W,5,12.049820750904525,14.696246039529072,19.004679102350117,15.394710126718387,28.236240519491762,31.556220556748734,40.21913388701151,43.46488102647783
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_14W,6,17.781614504360885,17.990124334414144,25.294868806723972,21.758571504451815,38.035753575050734,41.343095012956724,46.024098502162424,52.73478147854593
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_15W,7,35.61078242842045,27.36301880234203,44.9094936860974,43.2226259143485,58.382903997761844,60.70928541664311,66.56632856137516,69.85758921836597
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_16W,8,15.102802990015652,20.87016776664305,25.761571395453586,20.387719356340337,38.9455982330552,43.4922459981131,51.974565224272105,53.193914703980944
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_17W,9,19.031254616552882,12.954698187732069,23.022008109964993,20.443748640606245,34.86476619745543,36.5909572899391,42.86978532852726,48.30630335794356
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_18W,10,25.420918354235422,42.07018154854955,49.15407679430692,46.96730446507315,64.70131620367825,74.38600044811781,83.209630450081,87.1223734950167
