lord_id,lord_name,lord_key,variable,step,observation_index,dx,dpx,dy,dpy,dz,dpz
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,737,5.585503824701802e-06,-5.662598790204514e-07,-2.4934987232546474e-06,-1.6189427461111e-07,1.5538492502235879e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,743,5.688253906527968e-06,4.1449149071771246e-08,-1.6397090152678317e-06,1.3017986574782522e-07,1.1399034321980198e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,753,6.375147372896309e-07,-9.215819978688707e-07,-2.3874429416932685e-06,-7.337852764646713e-08,1.1403792989940747e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,761,-6.7537813193581375e-06,-8.438076243457012e-07,-1.9708670866104214e-07,2.8678262958554534e-07,1.362351588735344e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,769,-5.474944224706773e-06,1.9109070429528321e-07,2.0341185598426494e-06,2.2719414460099958e-07,1.8339811070421466e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,777,-9.52892597846141e-06,-5.127955814967708e-07,1.775195812830227e-06,-5.935060081607322e-08,2.382788992104281e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,787,9.214897578714923e-07,9.330981260332721e-07,4.100344252284602e-06,4.950938359369467e-07,2.7755204362917723e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,797,1.0570697439983914e-05,1.1012130399587093e-06,2.319906845782687e-06,-2.660954957355195e-07,2.356197672192216e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,805,3.4283831883987446e-06,-1.1070935846671168e-06,3.5204265202851484e-06,8.98162201079869e-08,1.8007580716015211e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,815,-9.584016770307346e-07,-5.049499026917904e-07,-1.304834535992977e-06,-6.152583215173141e-07,1.7107537176696934e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,823,-3.3690897361434574e-06,-3.986851415682408e-07,-8.74786848861775e-06,-7.961707796408195e-07,1.8770390592586037e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,831,-1.2041904794168369e-05,-1.1026662664297793e-06,-1.8455066174872668e-06,9.164048063686585e-07,2.4470528230214413e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,841,-6.317759751765448e-07,9.933723373365495e-07,4.6563273733719185e-06,7.56179371858923e-07,3.041140870149706e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,849,7.140482365976253e-06,8.826184054455677e-07,4.63048007619607e-06,-6.867660123043278e-08,2.7934948389587207e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,857,2.8422752465420004e-06,-8.031139721352901e-07,1.146934474650918e-05,1.0643237641178938e-06,2.397916174244662e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,865,-9.096636379270565e-07,-4.3685276609247564e-07,7.35758569884613e-06,-5.898658164834539e-07,2.330631303291801e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,871,-3.0458367669379885e-06,-1.4053918331486683e-07,1.2394978367259377e-05,7.466338513298582e-07,2.481253804661023e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,885,-8.2973020160311e-06,-8.929511490310144e-07,4.7348760177402804e-07,-1.9597922005443533e-06,2.4796897830708323e-06,0.0
0>>1326,RAW_XQUNEING_1,Group,COMMAND,0.001,893,-2.227438019133162e-06,7.593833139076574e-07,-1.5945229750067777e-05,-1.9616647485679083e-06,2.8957572929363593e-06,0.0
