sample_id,Q1_signed,Q2_signed,Qx_fractional,Qy_fractional,slip_tps_constant,xi_1,xi_2,slip_factor,twiss_seconds
0,-0.46984609809119865,-0.4209237565774661,0.5301539019088013,0.5790762434225338,0.0,-1.1723378153293464,-0.9660753232539718,-8.842321438933505,0.4403582
1,-0.47012037291960745,-0.42075117648465477,0.5298796270803925,0.5792488235153452,0.0,-1.1726926914736928,-0.9724296411254585,-8.842646481702518,0.4009128
2,-0.46974606031610766,-0.42129356244281885,0.5302539396838923,0.5787064375571811,0.0,-1.1742511809032574,-0.9782235674045872,-8.84190736218262,0.440286
3,-0.46983770637300254,-0.4210075541205094,0.5301622936269974,0.5789924458794906,0.0,-1.1726171611745824,-0.9854446536895718,-8.842073432006993,0.7134286
4,-0.46976859439839913,-0.42050507803432474,0.5302314056016009,0.5794949219656753,0.0,-1.1762658791476448,-0.9630793424591968,-8.84272910563593,0.4926426
5,-0.4699407071835108,-0.4208696604378453,0.5300592928164892,0.5791303395621548,0.0,-1.1688430956661235,-0.9722830986855265,-8.842052638561592,0.7716067
6,-0.469906064586455,-0.4209990180375003,0.530093935413545,0.5790009819624997,0.0,-1.1626686503066814,-0.9802368645651057,-8.842700886947048,0.3879562
7,-0.4698326456193104,-0.421091030912386,0.5301673543806896,0.578908969087614,0.0,-1.178733518484044,-0.9468742390638644,-8.842592490670995,0.3771448
8,-0.47002321113440354,-0.42084085859067716,0.5299767888655964,0.5791591414093229,0.0,-1.172486294426906,-0.9733683036464901,-8.842418043569104,0.8869816
9,-0.46985460679624386,-0.42104958131885706,0.5301453932037561,0.5789504186811429,0.0,-1.1821139151530913,-0.9521183193910283,-8.841327976868525,0.4275836
