target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_11E,entry,x,0,0,0,0,2.3385458253990346e-14
SEX_11E,entry,x,0,0,1,1,1.916210399345382e-30
SEX_11E,entry,x,0,1,0,1,-2.995760468600785e-19
SEX_11E,entry,x,1,0,0,1,0.0010000000000000406
SEX_11E,entry,x,0,0,2,2,3.5086237659617374e-46
SEX_11E,entry,x,0,1,1,2,-2.2847823152440947e-32
SEX_11E,entry,x,0,2,0,2,4.316366418704019e-7
SEX_11E,entry,x,1,0,1,2,1.662672918747816e-19
SEX_11E,entry,x,1,1,0,2,-6.171971433155199e-21
SEX_11E,entry,x,2,0,0,2,-2.5178086791742996e-6
SEX_11E,entry,x,0,0,3,3,7.363337213674744e-62
SEX_11E,entry,x,0,1,2,3,1.5125857339604617e-46
SEX_11E,entry,x,0,2,1,3,-3.7443203466069075e-9
SEX_11E,entry,x,0,3,0,3,1.1658571343544399e-22
SEX_11E,entry,x,1,0,2,3,4.5715218691791524e-35
SEX_11E,entry,x,1,1,1,3,-1.0170561786751478e-21
SEX_11E,entry,x,1,2,0,3,2.17664161221555e-8
SEX_11E,entry,x,2,0,1,3,3.607011575185398e-9
SEX_11E,entry,x,2,1,0,3,3.3179272208267204e-22
SEX_11E,entry,x,3,0,0,3,-1.6478968146960595e-8
SEX_11E,entry,x,0,0,4,4,1.617923903032516e-77
SEX_11E,entry,x,0,1,3,4,-1.0290534018995102e-60
SEX_11E,entry,x,0,2,2,4,5.103725750745316e-23
SEX_11E,entry,x,0,3,1,4,-6.0170627437089804e-24
SEX_11E,entry,x,0,4,0,4,7.882694673201465e-13
SEX_11E,entry,x,1,0,3,4,1.2793725973085117e-50
SEX_11E,entry,x,1,1,2,4,1.3122030957949747e-35
SEX_11E,entry,x,1,2,1,4,-1.0535494548003036e-9
SEX_11E,entry,x,1,3,0,4,1.7605069782381932e-24
SEX_11E,entry,x,2,0,2,4,1.9855174005126026e-24
SEX_11E,entry,x,2,1,1,4,-1.0371020311964275e-23
SEX_11E,entry,x,2,2,0,4,2.519981334324013e-10
SEX_11E,entry,x,3,0,1,4,1.932703801759491e-10
SEX_11E,entry,x,3,1,0,4,-5.454754510748299e-26
SEX_11E,entry,x,4,0,0,4,1.468165162025535e-11
SEX_11E,entry,px,0,0,0,0,-4.629676727176311e-15
SEX_11E,entry,px,0,0,1,1,3.703343971363478e-30
SEX_11E,entry,px,0,1,0,1,-3.9967133123033096e-19
SEX_11E,entry,px,1,0,0,1,-8.329081925828857e-5
SEX_11E,entry,px,0,0,2,2,6.8061411013654095e-46
SEX_11E,entry,px,0,1,1,2,-2.608875547093916e-33
SEX_11E,entry,px,0,2,0,2,3.1277823612417067e-7
SEX_11E,entry,px,1,0,1,2,3.217642157529651e-19
SEX_11E,entry,px,1,1,0,2,-7.326208574382112e-23
SEX_11E,entry,px,2,0,0,2,-6.883045838842479e-7
SEX_11E,entry,px,0,0,3,3,1.4290251763961124e-61
SEX_11E,entry,px,0,1,2,3,8.154360978020325e-48
SEX_11E,entry,px,0,2,1,3,-7.280254761929018e-9
SEX_11E,entry,px,0,3,0,3,1.4554001234126192e-23
SEX_11E,entry,px,1,0,2,3,8.871155940353577e-35
SEX_11E,entry,px,1,1,1,3,-1.3332156395190468e-22
SEX_11E,entry,px,1,2,0,3,4.40226698798443e-9
SEX_11E,entry,px,2,0,1,3,6.989715336965489e-9
SEX_11E,entry,px,2,1,0,3,4.360717978258526e-23
SEX_11E,entry,px,3,0,0,3,1.1346029763532723e-10
SEX_11E,entry,px,0,0,4,4,3.1409955268755034e-77
SEX_11E,entry,px,0,1,3,4,-5.005789645255989e-62
SEX_11E,entry,px,0,2,2,4,9.923172991394196e-23
SEX_11E,entry,px,0,3,1,4,-1.2593837151549892e-24
SEX_11E,entry,px,0,4,0,4,8.648054643678615e-12
SEX_11E,entry,px,1,0,3,4,2.483494558002853e-50
SEX_11E,entry,px,1,1,2,4,1.0175210215846507e-36
SEX_11E,entry,px,1,2,1,4,-3.994371466758918e-10
SEX_11E,entry,px,1,3,0,4,-3.3591783684480426e-25
SEX_11E,entry,px,2,0,2,4,3.8543252623993565e-24
SEX_11E,entry,px,2,1,1,4,-2.9392648594415114e-24
SEX_11E,entry,px,2,2,0,4,8.6874785871057e-11
SEX_11E,entry,px,3,0,1,4,1.9185108154769703e-12
SEX_11E,entry,px,3,1,0,4,1.1865378741342824e-24
SEX_11E,entry,px,4,0,0,4,4.344308435654413e-11
SEX_11E,entry,y,0,0,0,0,2.354678912559996e-29
SEX_11E,entry,y,0,0,1,1,7.762913246434824e-44
SEX_11E,entry,y,0,1,0,1,0.001000000000000024
SEX_11E,entry,y,1,0,0,1,2.371236612885398e-18
SEX_11E,entry,y,0,0,2,2,-5.0666767682993816e-58
SEX_11E,entry,y,0,1,1,2,-6.900375017431078e-18
SEX_11E,entry,y,0,2,0,2,8.171964391212993e-20
SEX_11E,entry,y,1,0,1,2,-3.218256374914144e-33
SEX_11E,entry,y,1,1,0,2,6.444540411961351e-6
SEX_11E,entry,y,2,0,0,2,2.4954450212709635e-20
SEX_11E,entry,y,0,0,3,3,3.457599162721569e-72
SEX_11E,entry,y,0,1,2,3,4.7027302880728217e-32
SEX_11E,entry,y,0,2,1,3,-3.42686173107983e-22
SEX_11E,entry,y,0,3,0,3,2.161463831253363e-8
SEX_11E,entry,y,1,0,2,3,1.832886271105652e-48
SEX_11E,entry,y,1,1,1,3,-2.99817831739427e-7
SEX_11E,entry,y,1,2,0,3,-2.844419036937076e-22
SEX_11E,entry,y,2,0,1,3,-2.74911431332277e-22
SEX_11E,entry,y,2,1,0,3,-5.114473632642087e-8
SEX_11E,entry,y,3,0,0,3,-5.566244250115076e-23
SEX_11E,entry,y,0,0,4,4,-2.3566735715185004e-86
SEX_11E,entry,y,0,1,3,4,-3.2054660640092827e-46
SEX_11E,entry,y,0,2,2,4,1.482848874582468e-35
SEX_11E,entry,y,0,3,1,4,-5.538503097886007e-10
SEX_11E,entry,y,0,4,0,4,-4.19408123302341e-24
SEX_11E,entry,y,1,0,3,4,1.3825642093268491e-61
SEX_11E,entry,y,1,1,2,4,4.086696764813694e-21
SEX_11E,entry,y,1,2,1,4,2.3164271278758834e-23
SEX_11E,entry,y,1,3,0,4,9.840151120749875e-10
SEX_11E,entry,y,2,0,2,4,2.951145958535384e-36
SEX_11E,entry,y,2,1,1,4,-1.3293481983547835e-9
SEX_11E,entry,y,2,2,0,4,-3.362651931938304e-24
SEX_11E,entry,y,3,0,1,4,-5.986778953559256e-24
SEX_11E,entry,y,3,1,0,4,-1.2305150974013063e-9
SEX_11E,entry,y,4,0,0,4,-4.731556771720511e-24
SEX_11E,entry,py,0,0,0,0,-7.121348261148927e-30
SEX_11E,entry,py,0,0,1,1,-1.4691827211652732e-45
SEX_11E,entry,py,0,1,0,1,6.592181078163596e-5
SEX_11E,entry,py,1,0,0,1,7.226661000329542e-20
SEX_11E,entry,py,0,0,2,2,-5.432323183655625e-59
SEX_11E,entry,py,0,1,1,2,-7.146689824411672e-19
SEX_11E,entry,py,0,2,0,2,4.409226696091795e-21
SEX_11E,entry,py,1,0,1,2,-1.0668642188414559e-33
SEX_11E,entry,py,1,1,0,2,8.743790652944219e-7
SEX_11E,entry,py,2,0,0,2,3.7425688307492616e-21
SEX_11E,entry,py,0,0,3,3,3.576549800164375e-73
SEX_11E,entry,py,0,1,2,3,4.87058859671107e-33
SEX_11E,entry,py,0,2,1,3,-1.7220075875883253e-23
SEX_11E,entry,py,0,3,0,3,1.1813645790480285e-9
SEX_11E,entry,py,1,0,2,3,-2.8789413434547566e-50
SEX_11E,entry,py,1,1,1,3,-3.105255502470626e-8
SEX_11E,entry,py,1,2,0,3,3.6988272443867506e-23
SEX_11E,entry,py,2,0,1,3,-4.463067094477425e-23
SEX_11E,entry,py,2,1,0,3,-3.1816574888969304e-9
SEX_11E,entry,py,3,0,0,3,-3.78041927453716e-24
SEX_11E,entry,py,0,0,4,4,-2.440901226780181e-87
SEX_11E,entry,py,0,1,3,4,-3.319881433343932e-47
SEX_11E,entry,py,0,2,2,4,1.302870832236554e-36
SEX_11E,entry,py,0,3,1,4,-4.1970341230804085e-11
SEX_11E,entry,py,0,4,0,4,-2.5643357060933356e-25
SEX_11E,entry,py,1,0,3,4,1.4246092102068032e-62
SEX_11E,entry,py,1,1,2,4,4.232604469390628e-22
SEX_11E,entry,py,1,2,1,4,8.318803046040768e-25
SEX_11E,entry,py,1,3,0,4,7.956804741668688e-11
SEX_11E,entry,py,2,0,2,4,2.972618657003833e-37
SEX_11E,entry,py,2,1,1,4,-1.665718615204715e-10
SEX_11E,entry,py,2,2,0,4,-1.008119739471136e-24
SEX_11E,entry,py,3,0,1,4,-5.086577612346676e-25
SEX_11E,entry,py,3,1,0,4,-1.1200932367644158e-10
SEX_11E,entry,py,4,0,0,4,-3.738236635597261e-25
SEX_11E,entry,z,0,0,0,0,-3.641531518730495e-13
SEX_11E,entry,z,0,0,1,1,-8.493548726679593e-31
SEX_11E,entry,z,0,1,0,1,-9.678243817145958e-20
SEX_11E,entry,z,1,0,0,1,6.757474133283376e-5
SEX_11E,entry,z,0,0,2,2,-1.5591242301757344e-46
SEX_11E,entry,z,0,1,1,2,-3.0202136060769787e-33
SEX_11E,entry,z,0,2,0,2,1.6925008487963397e-7
SEX_11E,entry,z,1,0,1,2,-7.376450392917895e-20
SEX_11E,entry,z,1,1,0,2,-9.233378922980097e-22
SEX_11E,entry,z,2,0,0,2,-3.459641148439192e-7
SEX_11E,entry,z,0,0,3,3,-3.2730717202215803e-62
SEX_11E,entry,z,0,1,2,3,2.271602006395588e-47
SEX_11E,entry,z,0,2,1,3,1.6664970650507314e-9
SEX_11E,entry,z,0,3,0,3,1.3984259238475207e-23
SEX_11E,entry,z,1,0,2,3,-2.031938018273322e-35
SEX_11E,entry,z,1,1,1,3,-1.279356488407826e-22
SEX_11E,entry,z,1,2,0,3,3.8259036944443445e-9
SEX_11E,entry,z,2,0,1,3,-1.60170887439992e-9
SEX_11E,entry,z,2,1,0,3,8.46315091216877e-23
SEX_11E,entry,z,3,0,0,3,-2.6469413939197498e-9
SEX_11E,entry,z,0,0,4,4,-7.19344662387506e-78
SEX_11E,entry,z,0,1,3,4,-1.55930302125751e-61
SEX_11E,entry,z,0,2,2,4,-2.2714952565596792e-23
SEX_11E,entry,z,0,3,1,4,-6.483001310825357e-25
SEX_11E,entry,z,0,4,0,4,2.9329694201236498e-12
SEX_11E,entry,z,1,0,3,4,-5.687830564571409e-51
SEX_11E,entry,z,1,1,2,4,1.9052605816575465e-36
SEX_11E,entry,z,1,2,1,4,-1.674274840914142e-10
SEX_11E,entry,z,1,3,0,4,5.484191979972604e-25
SEX_11E,entry,z,2,0,2,4,-8.82732446699246e-25
SEX_11E,entry,z,2,1,1,4,-2.6694358762520516e-24
SEX_11E,entry,z,2,2,0,4,8.034978556725535e-11
SEX_11E,entry,z,3,0,1,4,4.22519071624231e-11
SEX_11E,entry,z,3,1,0,4,1.1402023234838509e-24
SEX_11E,entry,z,4,0,0,4,5.873351822548044e-11
SEX_11E,entry,pz,0,0,0,0,5.244648461889997e-14
SEX_11E,entry,pz,0,0,1,1,5.382518262308844e-31
SEX_11E,entry,pz,0,1,0,1,-3.5594237515791935e-20
SEX_11E,entry,pz,1,0,0,1,-5.485856837038512e-5
SEX_11E,entry,pz,0,0,2,2,9.884818564573113e-47
SEX_11E,entry,pz,0,1,1,2,-2.3752083003082833e-35
SEX_11E,entry,pz,0,2,0,2,1.6297898337001598e-7
SEX_11E,entry,pz,1,0,1,2,4.675334666466722e-20
SEX_11E,entry,pz,1,1,0,2,-7.741046876657737e-21
SEX_11E,entry,pz,2,0,0,2,7.761866730928683e-8
SEX_11E,entry,pz,0,0,3,3,2.075235376356006e-62
SEX_11E,entry,pz,0,1,2,3,-1.207329684789388e-48
SEX_11E,entry,pz,0,2,1,3,-1.0568473844280693e-9
SEX_11E,entry,pz,0,3,0,3,2.795834439208403e-23
SEX_11E,entry,pz,1,0,2,3,1.288299577201566e-35
SEX_11E,entry,pz,1,1,1,3,-3.963996161868569e-24
SEX_11E,entry,pz,1,2,0,3,-1.2816642767891545e-9
SEX_11E,entry,pz,2,0,1,3,1.0153549228799544e-9
SEX_11E,entry,pz,2,1,0,3,-8.644542021558719e-23
SEX_11E,entry,pz,3,0,0,3,1.0113831334287192e-9
SEX_11E,entry,pz,0,0,4,4,4.561061796108049e-78
SEX_11E,entry,pz,0,1,3,4,8.970719788757499e-63
