sample_id,scenario,rho,trial_id,active_rms_rad,global_rms_rad,maximum_abs_kick_rad,converged,newton_iterations,closure_norm,x_rmse_m,x_max_abs_m,y_rmse_m,y_max_abs_m
0,baseline,0,0,0,0,0,true,0,3.1357568361342511e-15,0,0,0,0
1,all,0.10000000000000001,1,5.0000000000000008e-07,5.0000000000000019e-07,1.2420782634359924e-06,true,2,2.407128240195288e-14,1.1751225117482821e-08,4.454022655400039e-08,1.1514157715208247e-08,3.735374766530191e-08
2,all,0.10000000000000001,2,5.0000000000000008e-07,5.0000000000000008e-07,1.454681703964587e-06,true,2,7.1718245351331138e-15,6.7436465153188064e-09,2.2200477458070663e-08,8.9979432607707236e-09,3.1973450253477054e-08
3,horizontal,0.10000000000000001,1,4.9999999999999998e-07,3.7520221085319606e-07,1.1980851941460229e-06,true,1,8.6185727028499237e-14,2.5862597923045498e-09,7.5377800059281392e-09,5.466801917132768e-21,1.7439867439149808e-20
4,horizontal,0.10000000000000001,2,4.9999999999999998e-07,3.7520221085319617e-07,1.2506582553160181e-06,true,2,5.0044357981409437e-14,6.406237174728939e-09,2.1844758501911375e-08,2.4353694223030729e-20,7.0555106625754461e-20
5,vertical,0.10000000000000001,1,5.0000000000000008e-07,3.3048948692942387e-07,1.3524417540938172e-06,true,2,4.7892791066296972e-15,1.4448002368412959e-09,5.8122712595904526e-09,5.0201759048143806e-13,1.2664032157804644e-12
6,vertical,0.10000000000000001,2,4.9999999999999998e-07,3.3048948692942382e-07,1.2655617798756048e-06,true,2,4.6912941040201563e-14,8.4678781979635634e-09,2.8384868081826791e-08,6.3191740097708249e-12,1.7228459334346375e-11
