target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_23W,entry,x,0,0,0,0,2.544952287089824e-14
SEX_23W,entry,x,0,0,1,1,3.250822025832792e-30
SEX_23W,entry,x,0,1,0,1,-4.176762779695473e-19
SEX_23W,entry,x,1,0,0,1,0.0009999999999997424
SEX_23W,entry,x,0,0,2,2,8.698181945136177e-46
SEX_23W,entry,x,0,1,1,2,-2.4111578142309466e-33
SEX_23W,entry,x,0,2,0,2,-4.1560752019626056e-7
SEX_23W,entry,x,1,0,1,2,2.5013085043518444e-19
SEX_23W,entry,x,1,1,0,2,1.6349309221043422e-20
SEX_23W,entry,x,2,0,0,2,-9.041791140274291e-6
SEX_23W,entry,x,0,0,3,3,2.750634647796488e-61
SEX_23W,entry,x,0,1,2,3,2.0945587942935958e-47
SEX_23W,entry,x,0,2,1,3,-4.692958369301862e-9
SEX_23W,entry,x,0,3,0,3,1.2810052094649919e-24
SEX_23W,entry,x,1,0,2,3,1.002943101433389e-34
SEX_23W,entry,x,1,1,1,3,-2.6152169030653417e-22
SEX_23W,entry,x,1,2,0,3,3.270060174292052e-8
SEX_23W,entry,x,2,0,1,3,4.812288869474025e-9
SEX_23W,entry,x,2,1,0,3,-1.3758298269861803e-21
SEX_23W,entry,x,3,0,0,3,9.230778548934635e-8
SEX_23W,entry,x,0,0,4,4,9.443973624924663e-77
SEX_23W,entry,x,0,1,3,4,-9.003180976460528e-62
SEX_23W,entry,x,0,2,2,4,4.1218636045185405e-23
SEX_23W,entry,x,0,3,1,4,-3.493475111800373e-24
SEX_23W,entry,x,0,4,0,4,1.2309424864454946e-11
SEX_23W,entry,x,1,0,3,4,4.2282106903808137e-50
SEX_23W,entry,x,1,1,2,4,1.7103992523705676e-36
SEX_23W,entry,x,1,2,1,4,-7.11512419282174e-10
SEX_23W,entry,x,1,3,0,4,8.75420032777464e-24
SEX_23W,entry,x,2,0,2,4,3.854984558992968e-24
SEX_23W,entry,x,2,1,1,4,-7.828821388172815e-24
SEX_23W,entry,x,2,2,0,4,-2.0123771356741487e-9
SEX_23W,entry,x,3,0,1,4,2.259223609780041e-10
SEX_23W,entry,x,3,1,0,4,-1.492639129777251e-23
SEX_23W,entry,x,4,0,0,4,-1.0600208894334452e-9
SEX_23W,entry,px,0,0,0,0,4.09742118537326e-15
SEX_23W,entry,px,0,0,1,1,4.647612952334199e-30
SEX_23W,entry,px,0,1,0,1,-2.318577585172897e-19
SEX_23W,entry,px,1,0,0,1,-5.328257480705233e-6
SEX_23W,entry,px,0,0,2,2,1.2416758407185774e-45
SEX_23W,entry,px,0,1,1,2,1.89022302838178e-33
SEX_23W,entry,px,0,2,0,2,6.564759928606599e-7
SEX_23W,entry,px,1,0,1,2,3.5708364058939984e-19
SEX_23W,entry,px,1,1,0,2,8.271220221823581e-21
SEX_23W,entry,px,2,0,0,2,-1.9062911569667951e-6
SEX_23W,entry,px,0,0,3,3,3.925915750643201e-61
SEX_23W,entry,px,0,1,2,3,-8.029004651779118e-48
SEX_23W,entry,px,0,2,1,3,-6.677936104743384e-9
SEX_23W,entry,px,0,3,0,3,3.5101957568219145e-23
SEX_23W,entry,px,1,0,2,3,1.4311266618003361e-34
SEX_23W,entry,px,1,1,1,3,5.76345662487786e-23
SEX_23W,entry,px,1,2,0,3,5.32956865225171e-8
SEX_23W,entry,px,2,0,1,3,6.85995063255392e-9
SEX_23W,entry,px,2,1,0,3,5.958788653599887e-22
SEX_23W,entry,px,3,0,0,3,2.080547558430188e-8
SEX_23W,entry,px,0,0,4,4,1.3478047928011732e-76
SEX_23W,entry,px,0,1,3,4,3.474887108291307e-62
SEX_23W,entry,px,0,2,2,4,5.865002117388212e-23
SEX_23W,entry,px,0,3,1,4,-2.1321185679442334e-24
SEX_23W,entry,px,0,4,0,4,-5.938078854193087e-12
SEX_23W,entry,px,1,0,3,4,6.033266808010275e-50
SEX_23W,entry,px,1,1,2,4,-5.470352078562489e-37
SEX_23W,entry,px,1,2,1,4,-8.138379331512031e-10
