target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_43W,entry,y,2,0,1,3,1.839242277031972e-21
SEX_43W,entry,y,2,1,0,3,-1.771512734180049e-7
SEX_43W,entry,y,3,0,0,3,4.1740357014097744e-21
SEX_43W,entry,y,0,0,4,4,-1.2265028302417925e-84
SEX_43W,entry,y,0,1,3,4,-9.836607582930846e-46
SEX_43W,entry,y,0,2,2,4,5.367970654415846e-36
SEX_43W,entry,y,0,3,1,4,7.802055085250741e-11
SEX_43W,entry,y,0,4,0,4,-1.2952065031736159e-25
SEX_43W,entry,y,1,0,3,4,1.78688104474148e-59
SEX_43W,entry,y,1,1,2,4,7.030238104956786e-21
SEX_43W,entry,y,1,2,1,4,-4.100538209135831e-23
SEX_43W,entry,y,1,3,0,4,5.942943106111123e-10
SEX_43W,entry,y,2,0,2,4,-5.05451467623323e-35
SEX_43W,entry,y,2,1,1,4,-7.67161464541503e-9
SEX_43W,entry,y,2,2,0,4,-2.0352685946002035e-23
SEX_43W,entry,y,3,0,1,4,1.9504397076134917e-23
SEX_43W,entry,y,3,1,0,4,-7.3726433317177175e-9
SEX_43W,entry,y,4,0,0,4,-2.9398059397217816e-23
SEX_43W,entry,py,0,0,0,0,1.4394605659885907e-29
SEX_43W,entry,py,0,0,1,1,-1.1356762015300632e-43
SEX_43W,entry,py,0,1,0,1,-0.00012683436836665354
SEX_43W,entry,py,1,0,0,1,5.600610114187612e-19
SEX_43W,entry,py,0,0,2,2,1.0690473097092889e-57
SEX_43W,entry,py,0,1,1,2,8.592976897539027e-19
SEX_43W,entry,py,0,2,0,2,-1.833727283067551e-23
SEX_43W,entry,py,1,0,1,2,-8.137378589465008e-33
SEX_43W,entry,py,1,1,0,2,-1.0480854336455197e-8
SEX_43W,entry,py,2,0,0,2,-4.4328540396222926e-21
SEX_43W,entry,py,0,0,3,3,-1.0576171472066699e-71
SEX_43W,entry,py,0,1,2,3,-8.481241998637927e-33
SEX_43W,entry,py,0,2,1,3,-1.2670023432097359e-23
SEX_43W,entry,py,0,3,0,3,-1.0856154338510774e-9
SEX_43W,entry,py,1,0,2,3,1.1603103706324195e-46
SEX_43W,entry,py,1,1,1,3,3.0325892243565166e-8
SEX_43W,entry,py,1,2,0,3,-3.2790887057172545e-23
SEX_43W,entry,py,2,0,1,3,-1.5887631227564296e-22
SEX_43W,entry,py,2,1,0,3,2.0076294889543276e-8
SEX_43W,entry,py,3,0,0,3,-5.527284941449526e-22
SEX_43W,entry,py,0,0,4,4,1.0443672548950596e-85
SEX_43W,entry,py,0,1,3,4,8.375906049810051e-47
SEX_43W,entry,py,0,2,2,4,-5.154013188715937e-37
SEX_43W,entry,py,0,3,1,4,-3.795742312498366e-12
SEX_43W,entry,py,0,4,0,4,3.543905672510094e-26
SEX_43W,entry,py,1,0,3,4,-1.5216730460928204e-60
SEX_43W,entry,py,1,1,2,4,-5.986289790606047e-22
SEX_43W,entry,py,1,2,1,4,4.075815153183285e-24
SEX_43W,entry,py,1,3,0,4,-8.077219370985858e-11
SEX_43W,entry,py,2,0,2,4,4.29425710881833e-36
SEX_43W,entry,py,2,1,1,4,7.107297194314541e-10
SEX_43W,entry,py,2,2,0,4,3.071731186725374e-24
SEX_43W,entry,py,3,0,1,4,-2.0563389874254554e-24
SEX_43W,entry,py,3,1,0,4,8.318632430130537e-10
SEX_43W,entry,py,4,0,0,4,5.498844418813982e-24
SEX_43W,entry,z,0,0,0,0,-1.8474111098624725e-13
SEX_43W,entry,z,0,0,1,1,3.9206429757359267e-31
SEX_43W,entry,z,0,1,0,1,6.064335775229712e-20
SEX_43W,entry,z,1,0,0,1,-8.831309053221046e-5
SEX_43W,entry,z,0,0,2,2,1.9158167693436935e-46
SEX_43W,entry,z,0,1,1,2,2.0820927109229416e-33
SEX_43W,entry,z,0,2,0,2,2.9503120866735995e-7
SEX_43W,entry,z,1,0,1,2,2.766649635745152e-20
SEX_43W,entry,z,1,1,0,2,-1.6825422762690873e-19
SEX_43W,entry,z,2,0,0,2,4.066216140583566e-7
SEX_43W,entry,z,0,0,3,3,1.1473621613071288e-61
SEX_43W,entry,z,0,1,2,3,-1.7026528741321183e-47
SEX_43W,entry,z,0,2,1,3,-4.563435322687876e-10
SEX_43W,entry,z,0,3,0,3,-5.8780031475281386e-24
SEX_43W,entry,z,1,0,2,3,2.027967842539696e-35
SEX_43W,entry,z,1,1,1,3,6.625229951451739e-23
SEX_43W,entry,z,1,2,0,3,2.68935568328088e-9
SEX_43W,entry,z,2,0,1,3,4.88085906109881e-10
SEX_43W,entry,z,2,1,0,3,-1.6379157642897778e-22
SEX_43W,entry,z,3,0,0,3,1.45028110259808e-8
SEX_43W,entry,z,0,0,4,4,7.640621868812953e-77
SEX_43W,entry,z,0,1,3,4,1.7021100841632208e-61
SEX_43W,entry,z,0,2,2,4,9.008039405238582e-24
SEX_43W,entry,z,0,3,1,4,1.8234678565887236e-25
SEX_43W,entry,z,0,4,0,4,4.212297331151855e-12
SEX_43W,entry,z,1,0,3,4,1.6193803722959043e-50
SEX_43W,entry,z,1,1,2,4,-1.4157008008394147e-36
SEX_43W,entry,z,1,2,1,4,-1.5465220713143873e-10
SEX_43W,entry,z,1,3,0,4,1.0635573585541232e-24
SEX_43W,entry,z,2,0,2,4,7.15563997558575e-25
SEX_43W,entry,z,2,1,1,4,1.786096587783976e-24
SEX_43W,entry,z,2,2,0,4,-1.8315415538036157e-11
SEX_43W,entry,z,3,0,1,4,-3.328792265702841e-11
SEX_43W,entry,z,3,1,0,4,7.444013298179494e-24
SEX_43W,entry,z,4,0,0,4,-4.875767009463685e-10
SEX_43W,entry,pz,0,0,0,0,5.244648461889997e-14
SEX_43W,entry,pz,0,0,1,1,1.589539302948798e-30
SEX_43W,entry,pz,0,1,0,1,-1.2894103003256168e-19
SEX_43W,entry,pz,1,0,0,1,6.346846711618226e-5
SEX_43W,entry,pz,0,0,2,2,7.767172055463473e-46
SEX_43W,entry,pz,0,1,1,2,4.266631244066568e-34
SEX_43W,entry,pz,0,2,0,2,1.0040478470772057e-7
SEX_43W,entry,pz,1,0,1,2,1.1217510567592227e-19
SEX_43W,entry,pz,1,1,0,2,8.268996229737583e-20
SEX_43W,entry,pz,2,0,0,2,5.271621907957211e-7
SEX_43W,entry,pz,0,0,3,3,4.6516284609288204e-61
SEX_43W,entry,pz,0,1,2,3,-1.4396765843813796e-47
SEX_43W,entry,pz,0,2,1,3,-1.8517171116707043e-9
SEX_43W,entry,pz,0,3,0,3,2.7908764113678185e-24
SEX_43W,entry,pz,1,0,2,3,8.222020686207625e-35
SEX_43W,entry,pz,1,1,1,3,2.2068271169257467e-23
SEX_43W,entry,pz,1,2,0,3,-1.7344540138341918e-9
SEX_43W,entry,pz,2,0,1,3,1.979096393004021e-9
SEX_43W,entry,pz,2,1,0,3,6.786182302334275e-23
SEX_43W,entry,pz,3,0,0,3,8.622721800762569e-9
SEX_43W,entry,pz,0,0,4,4,3.097637346777573e-76
SEX_43W,entry,pz,0,1,3,4,1.8106259025684474e-61
SEX_43W,entry,pz,0,2,2,4,3.6552845845262726e-23
SEX_43W,entry,pz,0,3,1,4,-8.24918012949422e-26
SEX_43W,entry,pz,0,4,0,4,3.0583027152034285e-13
SEX_43W,entry,pz,1,0,3,4,6.565360636458822e-50
SEX_43W,entry,pz,1,1,2,4,-9.892591925442634e-37
SEX_43W,entry,pz,1,2,1,4,4.566584488085793e-11
SEX_43W,entry,pz,1,3,0,4,2.111549997712304e-25
SEX_43W,entry,pz,2,0,2,4,2.901179018831299e-24
SEX_43W,entry,pz,2,1,1,4,-4.269665745612967e-24
SEX_43W,entry,pz,2,2,0,4,-4.527200661134218e-11
SEX_43W,entry,pz,3,0,1,4,-2.1779306652895633e-11
SEX_43W,entry,pz,3,1,0,4,3.701760216391118e-24
SEX_43W,entry,pz,4,0,0,4,-3.352952693664018e-10
SEX_43W,exit,x,0,0,0,0,2.940417208348817e-14
SEX_43W,exit,x,0,0,1,1,6.961520089084815e-30
SEX_43W,exit,x,0,1,0,1,-9.895761459646257e-19
SEX_43W,exit,x,1,0,0,1,0.0010315173803016194
SEX_43W,exit,x,0,0,2,2,3.40183584723601e-45
SEX_43W,exit,x,0,1,1,2,-1.5865310247062645e-32
