observable,control,bmad,scibmad,difference,abs_difference
"DET_00W:x","H01W","1.698947763","1.6973774046882124","-0.0015703583117876452","0.0015703583117876452"
"DET_01W:x","H01W","-0.860831341","-0.8682107492136131","-0.007379408213613048","0.007379408213613048"
"DET_02W:x","H01W","-1.520026378","-1.5284051882101066","-0.008378810210106558","0.008378810210106558"
"DET_03W:x","H01W","4.003521317","4.000120073432354","-0.0034012435676453734","0.0034012435676453734"
"DET_04W:x","H01W","8.321376133","8.320164400551251","-0.0012117324487483927","0.0012117324487483927"
"DET_05W:x","H01W","2.382314153","2.3849958928889903","0.002681739888990453","0.002681739888990453"
"DET_06W:x","H01W","-0.7331905114","-0.7253905214011839","0.007799989998816148","0.007799989998816148"
"DET_07W:x","H01W","-3.180868397","-3.176611405131845","0.00425699186815498","0.00425699186815498"
"DET_08W:x","H01W","-10.26143568","-10.259066894972362","0.002368785027638154","0.002368785027638154"
"DET_09W:x","H01W","-10.65464353","-10.655771757728925","-0.0011282277289250686","0.0011282277289250686"
"DET_10W:x","H01W","-17.7284592","-17.733406390055176","-0.00494719005517652","0.00494719005517652"
"DET_11W:x","H01W","-5.25763534","-5.261186516680268","-0.0035511766802676092","0.0035511766802676092"
"DET_12W:x","H01W","5.188974078","5.18401484044457","-0.0049592375554299295","0.0049592375554299295"
"DET_13W:x","H01W","9.319959423","9.320263826216586","0.0003044032165853139","0.0003044032165853139"
"DET_14W:x","H01W","18.88354993","18.888490860997067","0.004940930997065607","0.004940930997065607"
"DET_15W:x","H01W","0.09560957084","0.09881021784218826","0.0032006470021882505","0.0032006470021882505"
"DET_16W:x","H01W","-12.39579572","-12.391432980529569","0.0043627394704319755","0.0043627394704319755"
"DET_17W:x","H01W","-10.8501446","-10.850141489677371","3.1103226287854113e-6","3.1103226287854113e-6"
"DET_18W:x","H01W","-19.60491942","-19.60861921908284","-0.00369979908283824","0.00369979908283824"
"DET_19W:x","H01W","-11.27279482","-11.276751085615539","-0.0039562656155389675","0.0039562656155389675"
"DET_20W:x","H01W","-15.0210587","-15.02969184718587","-0.008633147185870271","0.008633147185870271"
"DET_21W:x","H01W","-2.306888216","-2.311192608101068","-0.004304392101067922","0.004304392101067922"
"DET_22W:x","H01W","5.958271333","5.953459606597636","-0.004811726402364158","0.004811726402364158"
"DET_23W:x","H01W","8.282080484","8.283001148760599","0.0009206647605992657","0.0009206647605992657"
"DET_24W:x","H01W","20.20774654","20.21517475949173","0.007428219491732335","0.007428219491732335"
"DET_25W:x","H01W","6.28514113","6.2900330970940574","0.004891967094057037","0.004891967094057037"
"DET_26W:x","H01W","1.855280506","1.863383244247439","0.008102738247439012","0.008102738247439012"
"DET_27W:x","H01W","-6.077540785","-6.075482090345527","0.002058694654473392","0.002058694654473392"
"DET_28W:x","H01W","-18.55166218","-18.552494312542596","-0.0008321325425946213","0.0008321325425946213"
"DET_29W:x","H01W","-10.54347765","-10.546426593591644","-0.002948943591643882","0.002948943591643882"
"DET_30W:x","H01W","-12.35914941","-12.366659074538902","-0.007509664538901006","0.007509664538901006"
"DET_31W:x","H01W","0.7697103468","0.7668911038741167","-0.002819242925883203","0.002819242925883203"
"DET_32W:x","H01W","12.30024542","12.299141441434136","-0.0011039785658635282","0.0011039785658635282"
"DET_33W:x","H01W","13.75628927","13.758770831194608","0.002481561194608517","0.002481561194608517"
"DET_34W:x","H01W","18.72484835","18.728938427035214","0.004090077035215245","0.004090077035215245"
"DET_35W:x","H01W","10.15003474","10.154351462122118","0.004316722122117866","0.004316722122117866"
"DET_36W:x","H01W","4.539825481","4.546284965514338","0.006459484514337532","0.006459484514337532"
"DET_37W:x","H01W","-4.826721412","-4.824834432972539","0.0018869790274615994","0.0018869790274615994"
"DET_38W:x","H01W","-16.50648511","-16.507057796114392","-0.0005726861143919848","0.0005726861143919848"
"DET_39W:x","H01W","-11.43204629","-11.434496588838273","-0.0024502988382728574","0.0024502988382728574"
"DET_40W:x","H01W","-15.03471978","-15.040600948105729","-0.005881168105728918","0.005881168105728918"
"DET_41W:x","H01W","-2.870781801","-2.873854501286256","-0.003072700286256058","0.003072700286256058"
"DET_42W:x","H01W","5.169722498","5.1665856536254395","-0.003136844374560077","0.003136844374560077"
"DET_43W:x","H01W","8.91410715","8.91445741526501","0.00035026526501091837","0.00035026526501091837"
"DET_44W:x","H01W","11.51571703","11.519423676697626","0.0037066466976263257","0.0037066466976263257"
"DET_45W:x","H01W","17.98631581","17.99357198545369","0.0072561754536906165","0.0072561754536906165"
"DET_46W:x","H01W","0.3173756314","0.3191675960649871","0.0017919646649871002","0.0017919646649871002"
