column,control,relative_2norm
"1","H01W","0.0003805887607216557"
"2","HB01","0.00027236684151720505"
"3","H02W","0.0002709568531347886"
"4","HB02","0.00032118495351514506"
"5","H03W","0.00023028839879408414"
"6","HB03","0.0005397754314580233"
"7","H04W","0.00022036561164933948"
"8","HB04","0.0005166021605914253"
"9","HB05","0.00031524352240702307"
"10","HB06","0.00024091755027798965"
"11","H08W","0.00019835007993419384"
"12","H10W","0.0006766557486733953"
"13","H12W","0.00020545216796507543"
"14","H14W","0.0006745935240417702"
"15","H16W","0.00020456849482315556"
"16","H18W","0.000531343382549876"
"17","H20W","0.0006588020498611441"
"18","H22W","0.00020550277608578875"
"19","H24W","0.0006772604938912168"
"20","H26W","0.0003831612875065697"
"21","H28W","0.00048531288257678217"
"22","H30W","0.0006335850263232783"
"23","H32W","0.0003460580652873373"
"24","H34W","0.0006700554099592008"
"25","H36W","0.0005077708211878207"
"26","H38W","0.0004279774859624107"
"27","H40W","0.0006846440765306881"
"28","H42W","0.00021923508603534665"
"29","H44W","0.0006183170764157486"
"30","H46W","0.0006390897984762701"
"31","H47W","0.0006919662446799818"
"32","H49W","0.0006369207406186571"
"33","H49E","0.0006516574911426317"
"34","H47E","0.0006867402358946789"
"35","H46E","0.0006687257035607966"
"36","H44E","0.0005857060694739485"
"37","H42E","0.000248674780695932"
"38","H40E","0.000689526918843743"
"39","H38E","0.0004189429229160704"
"40","H36E","0.0005930726118100473"
"41","H34E","0.0006435456770404289"
"42","H32E","0.0002999312607904719"
"43","H30E","0.0006406792125154882"
"44","H28E","0.000482429067662627"
"45","H26E","0.0004570261971079737"
"46","H24E","0.0006736435623459921"
"47","H22E","0.0002469094170753908"
"48","H20E","0.0006511256203525198"
"49","H18E","0.0005623196698343024"
"50","H16E","0.0002174178633354333"
"51","H14E","0.0006164602533044845"
"52","H12E","0.00025526942611673963"
"53","H10E","0.0006760414513556117"
"54","H08E","0.00019186910925113223"
"55","H04E","0.0001863084373059184"
"56","H03E","0.0002924697163962019"
"57","H02E","0.0003413841836263667"
"58","H01E","0.00037489128704260136"
"59","V01W","0.0007259943387289942"
"60","V02W","0.0003523200323565245"
"61","V04W","0.0027605660638199835"
"62","V05W","0.003176635424327927"
"63","V06W","0.0028662463492493723"
"64","V07W","0.002244322548501431"
"65","V08W","0.0008666502232158988"
"66","V09W","0.0010911715710389147"
"67","V10W","0.0009540477571957365"
"68","V11W","0.0028651949566596228"
"69","V13W","0.003271531970249458"
"70","V15W","0.0012875982142409041"
"71","V16W","0.0008690350975060954"
"72","V17W","0.0026168132614690152"
"73","V19W","0.0020181578004172685"
"74","V21W","0.0029894409854048466"
"75","V23W","0.0023423926240713944"
"76","V25W","0.002862010494688355"
"77","V27W","0.0002733625337476837"
"78","V29W","0.0032541848536024915"
"79","V31W","0.0022723276824516184"
"80","V33W","0.000622087408561762"
"81","V35W","0.0026965045803828253"
"82","V37W","0.0033098515006509677"
"83","V39W","0.0009786382705104842"
"84","V41W","0.0028079678897884102"
"85","V43W","0.0032726075208235573"
"86","V45W","0.0009312441108133601"
"87","V47W","0.0032234252058098486"
"88","V48W","0.0027025177822213686"
"89","V49W","0.002006581627731502"
"90","V49E","0.0017865296912622259"
"91","V48E","0.002584422001499409"
"92","V47E","0.003260818213091757"
"93","V45E","0.0006838951770253755"
"94","V43E","0.003218163419379739"
"95","V41E","0.0029845512314528176"
"96","V39E","0.0006670075916975163"
"97","V37E","0.0033465223592954855"
"98","V35E","0.002845000868351961"
"99","V34E","0.002050207069139447"
"100","V33E","0.0012138879747490853"
"101","V31E","0.0015534522408812985"
"102","V29E","0.003498513718870381"
"103","V27E","0.0008920200839406908"
"104","V25E","0.003316590238711565"
"105","V23E","0.0016221593473965527"
"106","V21E","0.003417779442375132"
"107","V19E","0.0013044508062026586"
"108","V17E","0.003142953559807203"
"109","V15E","0.0005188095421837062"
"110","V13E","0.003299935072361981"
"111","V11E","0.0030666906382899968"
"112","V09E","0.00100673398730173"
"113","V08E","0.0007105552715058765"
"114","V07E","0.0022324561788770476"
"115","V06E","0.0032666751976203044"
"116","V05E","0.0035854903237178782"
"117","V04E","0.0032341861009743734"
"118","V02E","0.0002693915690861949"
"119","V01E","0.0006797196358665744"
