target_sextupole,observable_ablation,input_representation,observable_count,true_x_offset_m,true_y_offset_m,estimated_x_offset_m,estimated_y_offset_m,error_x_m,error_y_m,absolute_error_2d_m,whitened_residual_rms
SEX_08W,orbit_only,full_slopes,198,0.00035,-0.00025,0.00035211104415523286,-0.00025733526749140763,2.111044155232863e-06,-7.3352674914076285e-06,7.63299787736407e-06,3.64544635554431e-05
SEX_08W,orbit_only,modes2,198,0.00035,-0.00025,0.000352111044155233,-0.0002573352674914075,2.1110441552330255e-06,-7.33526749140752e-06,7.632997877364011e-06,0.0002152679533012938
SEX_08W,orbit_phase_tune,full_slopes,398,0.00035,-0.00025,0.0003649515011376679,-0.0002566707252039865,1.4951501137667903e-05,-6.670725203986505e-06,1.6372109241535904e-05,0.0006115050279516513
SEX_08W,orbit_phase_tune,modes2,398,0.00035,-0.00025,0.00036495150113766784,-0.0002566707252039863,1.4951501137667848e-05,-6.670725203986288e-06,1.6372109241535768e-05,0.0064476658725495534
SEX_08W,orbit_phase_coupling_tune,full_slopes,794,0.00035,-0.00025,0.0003647102380269915,-0.00025146874840340747,1.4710238026991482e-05,-1.4687484034074639e-06,1.4783380015519395e-05,0.00043349274265636214
SEX_08W,orbit_phase_coupling_tune,modes2,794,0.00035,-0.00025,0.0003647102380269914,-0.000251468748403407,1.4710238026991427e-05,-1.468748403406976e-06,1.4783380015519292e-05,0.006443513210852588
SEX_08W,all_saved,full_slopes,1190,0.00035,-0.00025,0.0003703864316089148,-0.0002512533886981173,2.038643160891479e-05,-1.253388698117309e-06,2.0424925384772604e-05,0.0005366893599265814
SEX_08W,all_saved,modes2,1190,0.00035,-0.00025,0.00037038643160891473,-0.000251253388698117,2.0386431608914737e-05,-1.2533886981169837e-06,2.042492538477253e-05,0.01063047968625015
