response,target_count,target_amplitude_median,target_amplitude_p90,target_amplitude_max,off_target_rms_median,off_target_rms_p90,off_target_rms_max,off_target_max_median,off_target_max_p90,off_target_max_max,offdiag_l2_over_target_median,offdiag_l2_over_target_p90,offdiag_l2_over_target_max,target_energy_fraction_median,target_energy_fraction_p90,target_energy_fraction_max,participation_count_median,participation_count_p90,participation_count_max,observations_for_50pct_energy_median,observations_for_50pct_energy_p90,observations_for_50pct_energy_max,observations_for_90pct_energy_median,observations_for_90pct_energy_p90,observations_for_90pct_energy_max,observations_for_99pct_energy_median,observations_for_99pct_energy_p90,observations_for_99pct_energy_max
alignment_bx_cx,76,0.4619790910021856,1.0154343361323042,1.5782226189600452,1.6144441911441807,2.4993155769238964,2.8231704675783496,3.532843778338917,5.460504114309156,6.123955786363145,32.075481976537176,67.23186847096113,90.03512521033133,0.0009711195903657651,0.0023953528253630903,0.004231683467212088,31.51834595097014,34.87860070336314,36.182471123382825,12.0,13.0,14.0,37.0,39.0,40.0,59.5,62.0,64.0
alignment_bx_cy,76,1.1978088832021216,2.9473867474393947,3.83218426619404,2.2017344876554246,3.4602367195898402,4.231571454802713,4.729012327993235,7.811575284405677,8.225901682568567,16.253226357064584,28.689947871673226,55.430880509893605,0.0037712032555527897,0.009646585519848316,0.013343927846049037,33.94147914265618,36.381152508999165,37.52484133623503,13.0,14.0,14.0,39.0,41.0,42.0,60.0,61.0,63.0
alignment_by_cx,76,1.1978088832021228,2.947386747439399,3.832184266194064,2.2017344876554246,3.4602367195898394,4.231571454802739,4.729012327993228,7.811575284405687,8.225901682568601,16.25322635706458,28.689947871673226,55.4308805098936,0.0037712032555527906,0.009646585519848318,0.013343927846049038,33.941479142656185,36.381152508999165,37.52484133623502,13.0,14.0,14.0,39.0,41.0,42.0,60.0,61.0,63.0
alignment_by_cy,76,0.46197909100218526,1.0154343361323037,1.578222618960044,1.6144441911441791,2.499315576923891,2.8231704675783447,3.532843778338909,5.460504114309163,6.1239557863631395,32.075481976537176,67.23186847096112,90.03512521033133,0.0009711195903657653,0.002395352825363091,0.004231683467212087,31.51834595097014,34.878600703363134,36.182471123382825,12.0,13.0,14.0,37.0,39.0,40.0,59.5,62.0,64.0
bump_x,76,1.0,1.0000000000000022,1.0000000000000078,0.4561496067518881,0.9855959257573359,1.1943062054454738,1.5615617485860904,3.001785048202581,3.7414769729022743,3.950371473734169,8.53551109572295,10.342995138131773,0.06024204159136734,0.1404688539810881,0.7485514743938394,15.042510831467116,16.313376686887025,18.69347421814412,6.0,6.0,7.0,18.0,20.0,21.0,30.0,33.0,35.0
bump_y,76,0.9999999999999999,1.000000000000001,1.0000000000000033,0.617249476140314,1.1959304585067498,2.7423250217740684,1.6034772579933367,3.0734690570951537,5.416473883129731,5.3455372681014826,10.357061582264171,23.749231342900575,0.03382648429652939,0.08496906693461147,0.19035908839867477,23.570047821230375,34.503916919714555,36.51360297307502,9.0,12.5,14.0,32.0,39.0,40.0,55.0,60.0,62.0
source_normal,76,0.46197909100218537,1.0154343361323042,1.5782226189600435,1.6144441911441803,2.499315576923893,2.8231704675783416,3.532843778338911,5.460504114309165,6.123955786363138,32.075481976537176,67.2318684709611,90.03512521033133,0.0009711195903657653,0.002395352825363091,0.004231683467212086,31.518345950970144,34.87860070336312,36.18247112338282,12.0,13.0,14.0,37.0,39.0,40.0,59.5,62.0,64.0
source_skew,76,1.197808883202122,2.9473867474393987,3.832184266194066,2.2017344876554255,3.4602367195898394,4.231571454802742,4.729012327993226,7.811575284405679,8.22590168256858,16.25322635706458,28.689947871673226,55.4308805098936,0.0037712032555527906,0.009646585519848316,0.013343927846049037,33.94147914265618,36.38115250899917,37.52484133623501,13.0,14.0,14.0,39.0,41.0,42.0,60.0,61.0,63.0
