matrix,rows,columns,numerical_rank,effective_rank,modes_for_90pct_energy,modes_for_99pct_energy,sigma_max,sigma_min_retained,condition_number_retained
bump_152x152,152,152,14,6.251087909484091,6,7,48.45420549748525,0.0009455947696403508,51242.04051584846
periodic_kick_152x152,152,152,152,12.070697652375861,11,43,455.4983785265452,0.8012849441481711,568.4599240920168
sextupole_source_152x152,152,152,152,12.070697652375856,11,43,123.89555895922032,0.2179495048083041,568.4599240920128
shared_alignment_template_304x152,304,152,152,22.451250444773166,20,68,124.76780644325659,0.7132902614397527,174.91870166770104
separate_scan_block_design_23104x152,23104,152,152,143.41579046122484,128,150,38.19326951018944,18.539923322210058,2.0600554191308595
