response,target_index,target,target_amplitude,off_target_rms,off_target_max,offdiag_l2_over_target,target_energy_fraction,participation_count,observations_for_50pct_energy,observations_for_90pct_energy,observations_for_99pct_energy
bump_x,1,SEX_09AW,1.0,0.07105856386757699,0.6149812119844239,0.6153852146576069,0.7253215003841812,1.6629482308427592,1,2,2
bump_x,2,SEX_10W,0.9999999999999998,0.18621033672269488,1.5920586364513243,1.6126288204910815,0.27773367114971376,1.7460637498386036,1,2,7
bump_x,3,SEX_10AW,1.0000000000000027,0.30500069973071064,0.9064743906119624,2.6413835413882434,0.1253618725159778,14.625787350376623,6,17,30
bump_x,4,SEX_12W,0.9999999999999998,0.461412994117666,1.3463685505743799,3.9959537454213856,0.058935693273203194,16.764608921164644,6,20,33
bump_x,5,SEX_13W,1.000000000000002,0.9351482055995795,2.793947363179565,8.098621023526674,0.015017797031990484,16.394895320812115,6,19,33
bump_x,6,SEX_14W,0.9999999999999969,0.3466633441915771,1.0149665930271186,3.002192626307753,0.09986856731827466,15.358294131215322,6,20,33
bump_x,7,SEX_15W,0.9999999999999998,0.8874908959783545,2.835831100846767,7.685896615446678,0.016646411650522167,15.55921330241139,6,20,32
bump_x,8,SEX_16W,0.9999999999999998,0.42154310940322404,1.3010604368788146,3.6506704153347496,0.06979636118054715,15.871841274751649,6,19,33
bump_x,9,SEX_17W,1.0000000000000009,1.0612699813507553,3.053055081802982,9.190867641235906,0.011699731355624089,15.01989495487579,6,18,32
bump_x,10,SEX_18W,0.9999999999999988,0.2801856208943954,0.9582590604248858,2.4264786546966275,0.1451842670083834,13.844463801506233,6,18,31
bump_x,11,SEX_19W,0.9999999999999982,0.7517628625450956,2.2972097685393917,6.510457365857629,0.023048880507885464,16.005913429773894,6,20,32
bump_x,12,SEX_20W,1.0000000000000013,0.5290862260629046,1.634519181501142,4.582021125629112,0.04546504871629882,15.44468752109742,6,19,32
bump_x,13,SEX_21W,1.0000000000000004,0.8573433289006146,2.4144701648164117,7.4248110259304925,0.017816477139151094,14.527947717320396,6,18,33
bump_x,14,SEX_22W,1.0,0.28266119918665383,0.9685538252654796,2.4479177915981554,0.14301442778709314,13.964697287896243,5,19,32
bump_x,15,SEX_23W,0.9999999999999998,1.1496513160028747,3.2640287588014516,9.95627245152701,0.009987280087320832,17.825131788997215,7,20,34
bump_x,16,SEX_24W,1.0000000000000009,0.33059804962457384,1.029763025704114,2.8630630941646915,0.10872956774871465,15.431325523735804,6,20,33
bump_x,17,SEX_25W,0.999999999999997,1.1360045969774508,3.7414769729022743,9.838088397983784,0.010226205367797628,14.485560175549804,6,19,30
bump_x,18,SEX_26W,0.9999999999999998,0.3846895828726647,1.22715816319489,3.3315095133896677,0.08265176184920282,15.515799625893242,6,19,31
bump_x,19,SEX_27W,1.000000000000001,0.9638214170194798,2.7399251594640965,8.346938318503838,0.014149999759525795,16.01527036507622,6,19,31
bump_x,20,SEX_28W,1.0000000000000016,0.37808734676694694,1.2508871154123842,3.274332471496318,0.08531510996108674,13.765278542744365,6,17,32
bump_x,21,SEX_29W,0.9999999999999997,0.9114386297089706,2.4895845472820506,7.89329007318447,0.015796783060400894,18.69347421814412,7,20,35
bump_x,22,SEX_30W,1.0000000000000029,0.3255355423846338,1.0439987250323477,2.8192204953983797,0.11175676468869866,14.64220688497617,6,18,34
bump_x,23,SEX_31W,1.000000000000001,0.9009516530594334,2.6579059422199953,7.802470191310524,0.016160691290467002,15.725411080453341,6,21,35
bump_x,24,SEX_32W,1.0000000000000004,0.4652025501637368,1.5310648607208566,4.028772263471007,0.05803491698910344,15.15677352890639,6,20,31
bump_x,25,SEX_33W,0.9999999999999992,0.5441001204668845,1.6789952242018116,4.712045265264957,0.043097186956958945,16.723815899060593,7,18,30
bump_x,26,SEX_34W,1.000000000000001,0.30421318536289543,0.8720845420212079,2.6345634669045146,0.12592991908015913,15.76270954800357,6,19,31
bump_x,27,SEX_35W,1.0000000000000018,0.7636596635132435,2.336063978299273,6.61348668447944,0.022352259658967536,15.400057116938328,6,18,32
bump_x,28,SEX_36W,0.9999999999999998,0.4508862193861102,1.428617656642912,3.904789202046952,0.061548389909531494,14.137286417777872,6,17,32
bump_x,29,SEX_37W,1.0000000000000004,0.834569274087758,2.2558925692470573,7.227581925779362,0.01878359663660302,18.263263025234902,7,19,33
bump_x,30,SEX_38W,1.0,0.3370782933258028,1.026563628004256,2.919183650844478,0.10502399959365641,14.962997299155136,5,19,33
bump_x,31,SEX_39W,1.0,1.1943062054454738,3.426873914751351,10.342995138131773,0.009261184519967132,15.066462391465583,6,18,32
bump_x,32,SEX_40W,1.0000000000000004,0.3465952263454927,1.1439374281251689,3.001602708456141,0.09990390423866502,15.283454384384466,6,20,31
bump_x,33,SEX_41W,0.9999999999999986,1.1864938407037893,3.4992437288758103,10.275338074832499,0.009382396915885605,15.214703257184299,6,18,34
bump_x,34,SEX_42W,1.000000000000004,0.3745163416219925,1.0920387621527663,3.243406659770555,0.08680791594233389,15.186801190384777,6,19,32
