target,target_index,rmse_2d_um,median_2d_um,p90_2d_um,max_2d_um,bias_x_um,bias_y_um
SEX_09AW,1,3.963614842355229,4.05464206721077,4.971459511492847,5.017540903251479,-0.3360114706309385,-0.20382664248204851
SEX_10W,2,5.667989079225341,5.616173825469382,7.517093947157051,7.927246898510229,-1.1158329860996212,-0.1925399806255849
SEX_10AW,3,3.515214090630653,3.0573267234209256,4.758511058241004,5.696255229421348,0.5834936462036012,1.1769219458550009
SEX_12W,4,3.9829601779107566,3.445536380771025,5.495331952535938,6.161453654852351,-0.07310192654622083,2.429106290903086
SEX_13W,5,6.8861016641297415,6.097526663269047,9.922363359614577,10.63572980793823,-1.390613607655928,-1.4773395591935659
SEX_14W,6,3.3024200197443543,2.80189258538252,4.571565954252999,5.628302880359009,0.8269323906321645,1.4627567266614494
SEX_15W,7,2.5382855022600284,2.3700762579481935,3.582159530390323,4.57256924874703,0.6345221857367068,-0.8101720548417728
SEX_16W,8,4.434263869992657,3.9977986719990017,6.449931292157828,6.899167877795364,0.5417889766000893,0.9390965585592683
SEX_17W,9,12.017708788095158,13.331064979351499,15.195477651084175,15.87747530799703,1.4941131591951646,-0.5057348841151033
SEX_18W,10,6.547350925793392,5.779897881700994,8.642358398453043,13.183952645968784,-1.521960600662606,0.37445912137494614
SEX_19W,11,1.077488012987209,1.1453320158931664,1.5037972356517264,1.5158239314457662,0.04803088299357919,-0.26186820711212977
SEX_20W,12,4.608168756571897,3.7265670290800195,6.784563007974183,7.070287761993821,-0.6422902968312614,0.05850778580154667
SEX_21W,13,9.990160706789338,10.397464091822647,12.705819684540693,13.820911776478576,0.5035515544345689,1.6241068751429248
SEX_22W,14,4.03524245507205,3.2683315104949893,5.566780607899541,8.067375040360574,1.0320264342074825,-0.9355772999044215
SEX_23W,15,6.443792109500804,5.337742981697705,9.821943831201763,9.913047354185954,1.6142626731568308,2.1352860921776773
SEX_24W,16,13.435874648924091,13.027549312580732,16.87255796073154,20.086181966917675,-8.85193614413517,4.611879229804639
SEX_25W,17,2.9352912135838345,2.1986542159095475,4.259358451463493,5.436772476904429,-0.23982411099486964,-0.8733883832440682
SEX_26W,18,4.320546816245034,3.1607959552661913,6.834526459943609,8.755049613809005,0.9580710859291611,-1.0460878269232181
SEX_27W,19,3.53870264626904,2.4693075430827482,5.970724080852087,6.382397772417893,0.5624613532106215,0.3070412386607467
