rho,trial,fd_x_qhh_rmse_m,gtpsa_x_qhh_rmse_m,relative_difference_x_qhh_rmse_m,fd_x_qhv_rmse_m,gtpsa_x_qhv_rmse_m,relative_difference_x_qhv_rmse_m,fd_x_qvv_rmse_m,gtpsa_x_qvv_rmse_m,relative_difference_x_qvv_rmse_m,fd_y_qhh_rmse_m,gtpsa_y_qhh_rmse_m,relative_difference_y_qhh_rmse_m,fd_y_qhv_rmse_m,gtpsa_y_qhv_rmse_m,relative_difference_y_qhv_rmse_m,fd_y_qvv_rmse_m,gtpsa_y_qvv_rmse_m,relative_difference_y_qvv_rmse_m
0.10000000000000001,1,2.2054594527051207e-09,2.2054565650684974e-09,1.3093146648075635e-06,4.2833316758232908e-11,4.2837159016465921e-11,8.9694515724899972e-05,8.6922443952466309e-09,8.6922430795480941e-09,1.5136467362759727e-07,3.3513129894626075e-11,3.3513523407324924e-11,1.1741907708893611e-05,6.7324062746668898e-09,6.7324069827355977e-09,1.0517318838291292e-07,8.8383003614553427e-11,8.8383037064554026e-11,3.7846629523348218e-07
0.14000000000000001,1,4.3226834274102187e-09,4.3226948675342549e-09,2.6465259257963697e-06,8.3963636929577577e-11,8.3960831672273202e-11,3.3411499725552709e-05,1.7036805731819443e-08,1.7036796435914263e-08,5.4563692266400746e-07,6.5685470608800579e-11,6.5686505878356855e-11,1.5760764595909225e-05,1.3195514838957769e-08,1.3195517686161771e-08,2.1577054193265613e-07,1.7323076455639816e-10,1.7323075264652587e-10,6.8751489631237995e-08
0.20000000000000001,1,8.8218289057363912e-09,8.8218262602739897e-09,2.9987695557082612e-07,1.7135013810429103e-10,1.7134863606586368e-10,8.7659783108584441e-06,3.4768997475736155e-08,3.4768972318192376e-08,7.2356305352769323e-07,1.3405405461615618e-10,1.340540936292997e-10,2.9102537982317833e-07,2.6929617332764279e-08,2.6929627930942391e-08,3.9355085554051206e-07,3.5353214242466649e-10,3.535321482582161e-10,1.6500761370899614e-08
0.28000000000000003,1,1.7290770771452874e-08,1.729077947013702e-08,5.0308224452142783e-07,3.3584362155712485e-10,3.3584332668909281e-10,8.7799282762970338e-07,6.8147281487019085e-08,6.8147185743657054e-08,1.4049496099686319e-06,2.6274605371899016e-10,2.6274602351342742e-10,1.1496106518401168e-07,5.27820272484631e-08,5.2782070744647084e-08,8.2407119253865586e-07,6.9292312353703863e-10,6.9292301058610347e-10,1.6300647177687481e-07
0.40000000000000002,1,3.5287299152152015e-08,3.5287305041095959e-08,1.6688562464618226e-07,6.8539604910464338e-10,6.8539454426345473e-10,2.1955838447243653e-06,1.3907631542317149e-07,1.3907588927276951e-07,3.064157304435189e-06,5.3621635252326205e-10,5.3621637451719879e-10,4.1016906206638583e-08,1.0771834180340455e-07,1.0771851172376956e-07,1.5774481311989529e-06,1.4141291230733899e-09,1.4141285930328644e-09,3.7481776985275759e-07
0.56999999999999995,1,7.1655241429487212e-08,7.165528379907546e-08,5.9129747315303323e-07,1.3917956438097804e-09,1.3917792964449774e-09,1.1745658844581914e-05,2.8241268136926029e-07,2.8241097765451744e-07,6.032749707530843e-06,1.088854206961127e-09,1.0888543755039864e-09,1.5478916487004007e-07,2.1873520205614293e-07,2.1873590286907952e-07,3.2039227552254213e-06,2.871564537487974e-09,2.8715648742273594e-09,1.172668562808864e-07
0.80000000000000004,1,1.4114906823294428e-07,1.4114922016438384e-07,1.0763887989153267e-06,2.7416688350133519e-09,2.7415781770538189e-09,3.3067800251607487e-05,5.5631016677716861e-07,5.5630355709107802e-07,1.1881437762422171e-05,2.1448653332621137e-09,2.1448654980687951e-09,7.6837769846092594e-08,4.3087132709367029e-07,4.3087404689507825e-07,6.3122887710611191e-06,5.65651311884467e-09,5.6565143721314577e-09,2.2156520875256535e-07
1.1299999999999999,1,2.8161415053548715e-07,2.816147487935963e-07,2.1243848616303721e-06,5.4702106581454846e-09,5.4698768348125313e-09,6.1029405786372746e-05,1.1099388360581812e-06,1.1099125188274955e-06,2.3711085548868805e-05,4.2793392570075164e-09,4.2793418038813179e-09,5.9515549780227675e-07,8.5965021829631007e-07,8.5966104762550815e-07,1.2597208199670493e-05,1.1285624694856474e-08,1.1285630002772897e-08,4.7032522079809115e-07
0.10000000000000001,2,1.5066182451322466e-09,1.50660539925374e-09,8.5263722756824702e-06,2.8903641946144762e-11,2.890316316874159e-11,1.65648790887371e-05,2.5014182788787836e-09,2.5014193758058977e-09,4.3852187471391384e-07,2.7467451815367125e-11,2.7466866227289697e-11,2.1319799375072944e-05,3.3159399714243906e-09,3.3159399933617259e-09,6.6157214232397253e-09,3.9703235873279306e-11,3.9670556111481886e-11,0.00082377876694202145
0.14000000000000001,2,2.9529490903469201e-09,2.9529465825373301e-09,8.4925667291341515e-07,5.6651868464672275e-11,5.6650199810733514e-11,2.9455393702693464e-05,4.9027818646111497e-09,4.902781976579559e-09,2.2837729649849201e-08,5.3835118824665051e-11,5.3835057805487802e-11,1.1334468603866309e-06,6.4992423526749974e-09,6.499242386988982e-09,5.2796899380809936e-09,7.7754314814263979e-11,7.7754289978504495e-11,3.1941336602041112e-07
