lambda2,rho,trial,active_rms_rad,max_closure_norm,y_even_rmse_m,y_odd_nl_rmse_m,y_odd_over_rho3_rmse_m
0,1.1299999999999999,28,5.6500000000000001e-06,6.3527464952876079e-14,2.4785752030243999e-09,2.9545659400374616e-08,2.0476624042031156e-08
0,1.6000000000000001,28,8.0000000000000013e-06,3.1684063689694089e-14,4.9694988598930411e-09,8.388376261438109e-08,2.0479434232026627e-08
0,2.2599999999999998,28,1.13e-05,9.6946569810833697e-14,9.9161694964308715e-09,2.3646211636043712e-07,2.0485013514516041e-08
0,0.40000000000000002,29,2.0000000000000003e-06,2.2995342490860553e-14,1.1340560651806723e-10,3.0040362422643577e-10,4.693806628538058e-09
0,0.56999999999999995,29,2.8499999999999998e-06,8.450353341014159e-14,2.3028500580684569e-10,8.6926689246178301e-10,4.6938431391131585e-09
0,0.80000000000000004,29,4.0000000000000007e-06,5.9501372668406519e-14,4.5362604727559597e-10,2.4032858883283085e-09,4.6939177506412262e-09
0,1.1299999999999999,29,5.6500000000000001e-06,8.0516841674516389e-14,9.0506253707424906e-10,6.7730499780520825e-09,4.6940633864039392e-09
0,1.6000000000000001,29,8.0000000000000013e-06,4.516252100500141e-14,1.8145686906544992e-09,1.9228066473226521e-08,4.6943521663150675e-09
0,2.2599999999999998,29,1.13e-05,9.7606898327647322e-14,3.6205185633094558e-09,5.419448917740785e-08,4.6949374398699168e-09
0,0.40000000000000002,30,2.0000000000000003e-06,1.8188112815756198e-14,1.2636007329299066e-10,2.0167947751090603e-10,3.1512418361079062e-09
0,0.56999999999999995,30,2.8499999999999998e-06,5.7934746865904156e-14,2.5658975157504232e-10,5.835880964088248e-10,3.1512427381641038e-09
0,0.80000000000000004,30,4.0000000000000007e-06,7.5804737897697926e-14,5.0543931443007174e-10,1.6134461854791077e-09,3.1512620810138814e-09
0,1.1299999999999999,30,5.6500000000000001e-06,9.7993274947715995e-14,1.0084271068978754e-09,4.5469994050830579e-09,3.1512986755693993e-09
0,1.6000000000000001,30,8.0000000000000013e-06,8.5675745135915152e-14,2.0217471968491585e-09,1.2908051567212252e-08,3.151379777151428e-09
0,2.2599999999999998,30,1.13e-05,3.6394656245648116e-14,4.0336768648780199e-09,3.6378698724647282e-08,3.1515328818210255e-09
0,0.40000000000000002,31,2.0000000000000003e-06,7.8670341336743279e-14,5.1815166047059025e-10,2.0281673325328204e-09,3.1690114570825308e-08
0,0.56999999999999995,31,2.8499999999999998e-06,6.2597111507362785e-14,1.052190510591776e-09,5.8689081773528693e-09,3.1690766807346232e-08
0,0.80000000000000004,31,4.0000000000000007e-06,7.9143370570792352e-14,2.0726864649245724e-09,1.6226245245714396e-08,3.1691885245535922e-08
0,1.1299999999999999,31,5.6500000000000001e-06,5.8923235344008023e-14,4.1355563579285822e-09,4.5731602679241975e-08,3.1694294658067758e-08
0,1.6000000000000001,31,8.0000000000000013e-06,8.8085332993434375e-14,8.2920867859718542e-09,1.298397169841043e-07,3.1699149654322333e-08
0,2.2599999999999998,31,1.13e-05,9.3932541045241476e-14,1.6547581957856739e-08,3.6602016800793529e-07,3.1708792104351127e-08
0,0.40000000000000002,32,2.0000000000000003e-06,4.1174455273900889e-14,1.3022423403353309e-09,2.7976466756076311e-09,4.3713229306369222e-08
0,0.56999999999999995,32,2.8499999999999998e-06,8.4306908779390646e-14,2.6444502755692152e-09,8.0956720010928427e-09,4.3714784042014788e-08
0,0.80000000000000004,32,4.0000000000000007e-06,3.8700765719480169e-14,5.2094580499442754e-09,2.2383498144811849e-08,4.3717769814085633e-08
