family,element_count,eta_x_percent,magnitude_x_percent,eta_y_percent,magnitude_y_percent
normal_sextupole,76,96.50829143674534,99.29495469534716,98.64726911701827,99.85906509229255
sbend,98,1.7021134477570568,11.992849588432367,0.3843306030270899,6.833237298482659
drift,562,1.0077458727298378,6.84338473872903,0.5016999907724828,5.127995010715657
kicker,82,0.39547295047530306,2.48037759971919,0.2457031562162086,1.9659132777854982
quadrupole,122,0.35657477939660764,2.348504804960879,0.20326012831638077,1.8295517983827312
rfcavity,4,0.02058407279497168,0.1464416233815952,0.016729372483161118,0.13500293289191104
wiggler,3,0.00461489727664763,0.06722959183122748,0.0010007034648341876,0.07444151050998621
octupole,2,0.0027802463454267576,0.028341713086888876,-0.00016206147654131172,0.02526439335001488
other_sextupole,6,0.001822296478778138,0.0154493406295108,0.00016899017812149216,0.009400328013982958
marker,222,3.503789531071336e-14,1.8423273752895294e-13,-3.5495085987599077e-15,2.0293701945458535e-13
