acquisition,method,target,target_index,relative_x_rmse_um,relative_y_rmse_um,relative_rmse_2d_um,relative_median_2d_um,relative_p90_2d_um,relative_p95_2d_um,relative_p99_2d_um,relative_max_2d_um,absolute_x_rmse_um,absolute_y_rmse_um,absolute_rmse_2d_um,absolute_median_2d_um,absolute_p90_2d_um,absolute_p95_2d_um,absolute_p99_2d_um,absolute_max_2d_um
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_09AW,1,13.526420519879773,12.972524329354837,18.741676540702752,15.476949228573613,30.530249558069343,31.798958913356326,31.9024380121136,31.928307786802918,28.572478450464434,38.73682729510299,48.13448154590315,44.80865036128726,64.63137363245917,69.9226208887215,79.70182030823085,82.1466201631082
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_10W,2,9.221380408477751,10.327240945701728,13.845062736890563,8.52764722951606,19.594502429530046,26.759708032487154,33.3480020697402,34.99507557905346,12.90192006001693,43.983636369994414,45.836882633562276,34.718923370965065,70.56756685414476,82.727142310825,91.05357798763801,93.13518690684127
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_10AW,3,13.18633851657308,12.872092261885628,18.427432883398453,16.95312367357873,28.29735680240609,30.42425780080686,30.505405159538967,30.525691999221994,13.816518082767757,13.207345265158077,19.11361140351404,18.9371949699754,28.4135986328263,30.33533183214494,30.4428984538321,30.46979010925389
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_12W,4,14.582166322743245,10.621543669248032,18.040420299480004,12.301240650319276,28.857183871838885,31.76268291982997,36.28930372183323,37.420958922334044,14.636752732458984,10.109858219720563,17.788866286922193,12.155129367440553,28.572560593983795,32.780666340502705,36.33394790464871,37.22226829568522
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_13W,5,9.162030707062202,13.419953664904025,16.249244999239863,6.668318861439695,27.9331844730986,29.73233237762948,32.990478145663,33.80501458767138,9.131902423861446,14.015542450816726,16.728032522373105,8.592021413265163,27.15783353489443,30.602032266909028,35.94195112091889,37.27693083442136
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_14W,6,8.811430709653994,6.017671693855499,10.670224166626642,10.551253525890363,13.57289018450582,14.025978933818571,14.779273998896741,14.967597765166284,7.845028731716655,6.211528679268712,10.006376183955785,8.843055864376081,13.82740449974116,16.476407087524535,16.71514073270105,16.774824143995183
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_15W,7,5.763547603729779,5.684302660868573,8.095046492813788,6.289341302077025,12.633597169714545,15.179904454396,16.62223363528776,16.9828159305107,5.987673700457865,7.798677266410242,9.83217185817959,9.04077240271268,15.460324989786667,16.345797684662312,18.055739225117435,18.483224610231215
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_16W,8,7.59381640640664,8.953542892797653,11.740186452837026,8.906423599437327,19.706227052554127,21.630948510372328,23.257821187498802,23.664539356780423,7.256685632805759,10.087461114858048,12.426437869202205,10.054844206941883,21.770977778156883,23.414802265814792,23.8564767943066,23.966895426429552
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_17W,9,23.03492765489759,17.103539896787908,28.69039855190899,17.563730275897182,43.94055396508427,49.89029961142866,54.2184322208906,55.30046537325609,23.57595702413212,16.847871666509445,28.977172555218292,20.163192732187603,43.63024741663262,49.515526238010196,53.91114296656662,55.01004714870573
deterministic_static_readback,bpm_gtpsa_two_sided,SEX_18W,10,42.826263902889494,32.46443970090919,53.74038262772144,38.41067514386201,80.73271658196566,90.62611228270308,109.9122771599143,114.73381837921711,43.04815773548419,33.0473072793989,54.2703270935245,38.78866181375361,80.12116121009376,91.0896031160936,111.38236204694088,116.45555177965272
