acquisition,method,fit_count,relative_x_rmse_um,relative_y_rmse_um,relative_rmse_2d_um,relative_median_2d_um,relative_p90_2d_um,relative_p95_2d_um,relative_p99_2d_um,relative_max_2d_um,absolute_x_rmse_um,absolute_y_rmse_um,absolute_rmse_2d_um,absolute_median_2d_um,absolute_p90_2d_um,absolute_p95_2d_um,absolute_p99_2d_um,absolute_max_2d_um,fit_residual_median,fit_bound_hit_count,worst_target_relative_rmse_2d_um,worst_target_absolute_rmse_2d_um
deterministic_static_readback,bpm_gtpsa_two_sided,1216,17.15346567639241,13.222032984586157,21.657874802405175,12.664954128338634,32.5083874555713,42.14317110989956,65.60908467859804,148.83961863540992,17.79745773541974,15.109864056855885,23.346466406304774,13.796160525277653,36.430327070452904,46.464010135666015,72.37634748455619,148.83985727258025,0.05949126069976832,0,67.01862567618025,66.9654350481558
deterministic_static_readback,exact_local_orbit_oracle,1216,16.703459093316177,12.582267749723513,20.912173665303648,12.407535666219484,29.803089751362037,40.19503786458177,63.61739755718857,151.3123014366632,16.703459093316177,12.582267749723513,20.912173665303644,12.407535666219466,29.803089751362013,40.195037864581764,63.61739755718857,151.3123014366632,0.05832710306479748,0,66.68435502679657,66.68435502679657
stochastic_15_state_means,bpm_gtpsa_two_sided,7296,43.13828526493354,42.65703239247628,60.667405318931785,43.070516223199036,93.25110113272868,113.72801248549766,165.48632562521536,312.16556372160176,43.119204104486165,42.65795032340206,60.65448448711913,43.28173010031347,93.24945680356265,114.61231649026183,165.3330089989484,315.4249966205208,0.5655200967492828,0,95.5554458809245,95.35954812720139
