acquisition,quantity,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um
deterministic_static_readback,relative_local_orbit_nonzero_bumps,10.126124691801682,10.105291566104587,14.305779213656983,9.763622809987751,23.529398644870746,27.917679475373,36.33321543907016,47.449046477061444
deterministic_static_readback,absolute_reference_orbit,3.71722622412072,6.932617190734154,7.866317557444113,1.383212639561794,6.936645130565978,12.509224016482355,35.45571270091196,88.47393179181215
stochastic_15_state_means,relative_local_orbit_nonzero_bumps,9.538677133675337,10.042931655914344,13.85087858967319,9.792472883554339,21.894602833380816,27.069433554529148,38.20980401477253,43.66442149733659
stochastic_15_state_means,absolute_reference_orbit,4.617305640595901,5.979556174413111,7.5547735519763055,4.851454699282973,11.713748313053358,14.22557561780566,23.117420447452854,38.37833596423456
