sample_id,Q1,Q2,Qx_fractional,Qy_fractional,slip_tps_constant,xi_1,xi_2,slip_factor,bmad_physics_seconds,xi_1_finite_difference,xi_2_finite_difference
0,10.5300081497137,9.57846038795881,0.5300081497136997,0.5784603879588097,0.0,-1.16777003142943,-0.935513022426448,8.842355804616666,0.9126121890731156,-1.1677700349821407,-0.9355130234922625
1,10.5297352720424,9.57862554016929,0.5297352720423998,0.5786255401692895,0.0,-1.168149854891,-0.941489662587003,8.842680220706793,0.9118699869140983,-1.1681498550686342,-0.9414896619652778
2,10.5301044855061,9.57808915435184,0.5301044855061008,0.57808915435184,0.0,-1.16955749138725,-0.9479529122558,8.841943635072607,0.6740814601071179,-1.1695574900549843,-0.947952911989347
3,10.5300158426486,9.57837566769005,0.5300158426486004,0.5783756676900502,0.0,-1.16810355965669,-0.954972280009514,8.84210839663617,0.6219685019459575,-1.1681035600119571,-0.9549722820523242
4,10.5300869363936,9.57887992346672,0.5300869363935998,0.5788799234667206,0.0,-1.17182672108029,-0.932446573553847,8.84276391119008,0.6865621050819755,-1.1718267250770964,-0.9324465739979358
5,10.5299145581076,9.57851433097363,0.5299145581076008,0.5785143309736291,0.0,-1.1643678701212,-0.94160429826573,8.842087200717147,0.6163955919910222,-1.1643678699435611,-0.94160429497947
6,10.5299523283729,9.5783879049297,0.5299523283729002,0.5783879049297003,0.0,-1.15819664694428,-0.949646478787258,8.842735511796073,0.6741981040686369,-1.1581966499640828,-0.9496464785208046
7,10.5300258843268,9.57829562583715,0.5300258843268004,0.5782956258371499,0.0,-1.17429206030195,-0.916516467697193,8.842627154814595,0.7026793968398124,-1.1742920600354978,-0.9165164704505456
8,10.5298275330465,9.5785398181447,0.5298275330465003,0.5785398181446997,0.0,-1.16780836894037,-0.942776546875024,8.842452460531362,0.721729835961014,-1.1678083700061848,-0.9427765479408378
9,10.5300008190864,9.57833102019113,0.5300008190863998,0.5783310201911291,0.0,-1.17753406563281,-0.921438643786132,8.841363333394298,0.7015764510724694,-1.1775340650110877,-0.9214386444966748
10,10.5299166458416,9.57805190068622,0.5299166458416007,0.5780519006862193,0.0,-1.16535454663946,-0.960541370087498,8.842707313663649,0.6822721469216049,-1.1653545500145412,-0.9605413694657726
11,10.5296862717385,9.57862702914952,0.5296862717385,0.5786270291495192,0.0,-1.15278840109312,-0.957630445519442,8.84341778506091,0.6966547081246972,-1.152788399938487,-0.9576304469405271
12,10.5299543230304,9.57886356305161,0.5299543230304007,0.5788635630516108,0.0,-1.16863714891835,-0.925644004290404,8.842488868239784,0.6249766910914332,-1.1686371499841641,-0.9256440050009472
13,10.5299900033125,9.57873039568357,0.5299900033125002,0.5787303956835697,0.0,-1.16941666830073,-0.952006350996015,8.842747532398246,0.6830345029011369,-1.1694166700770836,-0.9520063515289222
14,10.5298531810967,9.57878972603874,0.5298531810966995,0.5787897260387407,0.0,-1.16358711332865,-0.918804248950522,8.843382088046473,0.6848241828847677,-1.1635871150161847,-0.9188042505492432
15,10.5297612311841,9.57866332152458,0.5297612311841,0.57866332152458,0.0,-1.16354314290135,-0.944346326825496,8.842732062460612,0.714081984013319,-1.1635431399703577,-0.9443463275360385
16,10.5299535021917,9.57864338545506,0.5299535021917006,0.5786433854550594,0.0,-1.17391333853689,-0.943527057017945,8.842262966934236,0.7094963921699673,-1.173913339957977,-0.9435270575508524
17,10.5298699056012,9.57845881609803,0.5298699056012008,0.5784588160980295,0.0,-1.15747950966139,-0.945958309284123,8.842754222053292,0.6656312961131334,-1.1574795100166568,-0.9459583109716617
18,10.5299298336895,9.5785343601371,0.5299298336895006,0.5785343601371,0.0,-1.16003915788809,-0.941242915875051,8.842977867181858,0.7063355590216815,-1.1600391600197213,-0.9412429180066794
19,10.5300794801435,9.57791369894259,0.5300794801435007,0.5779136989425897,0.0,-1.17214725570136,-0.926927588285054,8.841638733542194,0.6324216388165951,-1.1721472549908185,-0.9269275899725925
20,10.5297575409728,9.57848588376,0.5297575409728008,0.5784858837600009,0.0,-1.15783603273911,-0.953989064367278,8.842993997516283,0.6727035380899906,-1.1578360349595584,-0.9539890674759021
21,10.5297707947601,9.57862428550788,0.5297707947601005,0.57862428550788,0.0,-1.16363993063473,-0.932015458410262,8.843001714504188,0.622256375150755,-1.1636399349868043,-0.9320154600089835
22,10.5300815099591,9.57763813446068,0.5300815099590999,0.5776381344606794,0.0,-1.17039592995027,-0.935071165120149,8.842255951265011,0.8003222909756005,-1.1703959299502742,-0.935071168051138
23,10.5300536097642,9.57837901649293,0.5300536097642006,0.5783790164929297,0.0,-1.1701071232828,-0.924478637909232,8.841819278119702,0.7067409369628876,-1.170107119996544,-0.9244786395079528
24,10.5302077199417,9.57818122576881,0.5302077199416999,0.5781812257688106,0.0,-1.16695215321982,-0.971191794540971,8.841675886296217,0.6828161410521716,-1.1669521549961814,-0.97119179498506
25,10.5299592425821,9.57795314117014,0.5299592425821,0.5779531411701395,0.0,-1.16773241236601,-0.941532963949498,8.84256373030484,0.7009208430536091,-1.1677324149417245,-0.9415329654594017
26,10.5298692610443,9.5786800858282,0.5298692610443005,0.5786800858282,0.0,-1.15865147396477,-0.950709058855637,8.842893912669373,0.7024521790444851,-1.1586514800043801,-0.9507090604543577
27,10.5298384564899,9.57899455214516,0.5298384564898999,0.5789945521451596,0.0,-1.16399576217674,-0.938272532291506,8.84265867494495,0.6864618649706244,-1.1639957650189103,-0.9382725339790453
28,10.5299645073199,9.57801811935759,0.5299645073198995,0.5780181193575906,0.0,-1.16544430737164,-0.942017007243834,8.842512375607997,0.6792923319153488,-1.1654443100361789,-0.9420170070661981
29,10.5299424766434,9.57773908978793,0.5299424766434004,0.5777390897879293,0.0,-1.17301151201232,-0.945746565594874,8.841669427710494,0.6365082010161132,-1.1730115149433118,-0.9457465655060558
30,10.5298646970361,9.579234304959,0.5298646970360998,0.5792343049589999,0.0,-1.16403659404796,-0.929509420810604,8.843385959781376,0.6899792570620775,-1.1640365950249532,-0.929509423919228
31,10.5298436814309,9.57878010248102,0.5298436814309007,0.5787801024810193,0.0,-1.1678699706863,-0.951239990332198,8.842301488130781,0.702645872021094,-1.1678699750383714,-0.9512399920197366
32,10.5303230780778,9.57890019121291,0.5303230780777994,0.5789001912129095,0.0,-1.16257062279246,-0.946444789651224,8.841632894964935,0.7113862161058933,-1.1625706250129042,-0.946444788496592
33,10.5302156730777,9.57881220331276,0.5302156730777003,0.5788122033127596,0.0,-1.16197590589451,-0.967657790518217,8.842872775851772,0.7002397181931883,-1.1619759099801286,-0.967657790518217
34,10.530086548911,9.57794616094687,0.5300865489109992,0.5779461609468708,0.0,-1.17485457948874,-0.92073416437799,8.841678346037611,0.6790116380434483,-1.174854584995444,-0.9207341674866142
35,10.5300713014115,9.57892954743546,0.5300713014114997,0.5789295474354592,0.0,-1.16171329231918,-0.938480891132798,8.842431975878563,0.6927683830726892,-1.1617132900099136,-0.938480890511073
36,10.5299519287772,9.57856945130671,0.5299519287771997,0.5785694513067092,0.0,-1.16495960034158,-0.946042870708652,8.842174422990343,0.694170881062746,-1.1649595999863038,-0.9460428715080126
37,10.5299715443721,9.57802350331113,0.5299715443720991,0.5780235033111296,0.0,-1.17019477423597,-0.923969851029938,8.842156616673725,0.6956713241524994,-1.1701947749465091,-0.9239698520069338
38,10.5298812028995,9.57864567163425,0.5298812028994995,0.5786456716342503,0.0,-1.16443761015717,-0.930510604391088,8.842507472265137,0.6996577049139887,-1.1644376099795295,-0.9305106055457201
39,10.5298330202484,9.578702496764,0.5298330202484003,0.5787024967640004,0.0,-1.16793343503119,-0.948050477767026,8.842435013445419,0.64471714803949,-1.1679334350311876,-0.9480504799874722
40,10.5299884471918,9.57848754018555,0.5299884471917995,0.5784875401855505,0.0,-1.17882396910574,-0.921672784848226,8.842371392707856,0.67833081795834,-1.178823969993914,-0.9216727860028583
41,10.5301544491157,9.5782338272443,0.5301544491157006,0.5782338272443006,0.0,-1.16970886727685,-0.940996546816564,8.841726573438521,0.6759727851022035,-1.169708864967589,-0.9409965475271064
42,10.5302916755888,9.57804552960896,0.5302916755887992,0.5780455296089606,0.0,-1.17185826367106,-0.924390260781394,8.842080280001095,0.6196587330196053,-1.1718582650033227,-0.9243902630018396
43,10.5301647238313,9.57787945317618,0.5301647238312999,0.5778794531761804,0.0,-1.1755632609578,-0.912094249727602,8.841751727411634,0.6948454771190882,-1.1755632649546044,-0.9120942515039586
44,10.5300050361524,9.57777085797546,0.5300050361523994,0.5777708579754606,0.0,-1.17039716771572,-0.947135179174552,8.841595541939983,0.7229043731931597,-1.1703971700249838,-0.9471351789969161
