burst_size,visits_per_signal_state,idealized_signal_state_visits,reference_cycle_count,reference_event_count,total_signal_turns,total_protocol_acquisitions,physical_state_visits_excluding_calibration,physical_state_switches_excluding_calibration,bump_changes_excluding_calibration,k2_changes_excluding_calibration,unfiltered_relative_rmse_2d_um,unfiltered_relative_median_2d_um,unfiltered_relative_p90_2d_um,unfiltered_relative_p95_2d_um,unfiltered_relative_p99_2d_um,unfiltered_relative_maximum_2d_um,unfiltered_relative_worst_target_rmse_2d_um,unfiltered_absolute_rmse_2d_um,unfiltered_absolute_median_2d_um,unfiltered_absolute_p90_2d_um,unfiltered_absolute_p95_2d_um,unfiltered_absolute_p99_2d_um,unfiltered_absolute_maximum_2d_um,unfiltered_absolute_worst_target_rmse_2d_um,filtered_relative_rmse_2d_um,filtered_relative_median_2d_um,filtered_relative_p90_2d_um,filtered_relative_p95_2d_um,filtered_relative_p99_2d_um,filtered_relative_maximum_2d_um,filtered_relative_worst_target_rmse_2d_um,filtered_absolute_rmse_2d_um,filtered_absolute_median_2d_um,filtered_absolute_p90_2d_um,filtered_absolute_p95_2d_um,filtered_absolute_p99_2d_um,filtered_absolute_maximum_2d_um,filtered_absolute_worst_target_rmse_2d_um,unfiltered_bpm_state_rmse_um,filtered_bpm_state_rmse_um,delta_filtered_relative_rmse_2d_um_vs_b1_um,delta_filtered_relative_p99_2d_um_vs_b1_um,delta_filtered_absolute_rmse_2d_um_vs_b1_um,delta_filtered_absolute_p99_2d_um_vs_b1_um
1,3072,24576,13,156,24576,24732,24732,24731,12287,24692,27.08052772151541,20.460197004515393,41.7753717742052,49.85227721180001,69.18369300720255,112.1338259183339,47.611057904198454,28.78286130788058,21.014944202676034,43.49049625695524,52.32254604624453,75.20705800905198,162.53720494068997,72.5292706884393,27.08053076428776,20.45975379530388,41.776325536571356,49.85249865416429,69.18429388295708,112.1336924676368,47.6110707892969,28.782864980911732,21.015131930529783,43.48819156334617,52.3202945560328,75.20708171673726,162.53707729188613,72.52927492173048,2.631652729152541,0.3200343231154575,0.0,0.0,0.0,0.0
2,1536,12288,13,156,24576,24732,12444,12443,6143,12404,27.079951939299775,20.45398122704806,41.78534969252469,49.8699858615591,69.21586801580277,112.1614852268474,47.59900988842164,28.781633824233026,21.03606499672559,43.500412902293135,52.261850358118636,75.04616344748283,162.4793058715628,72.5297774565832,27.07995472987282,20.45306919920192,41.78404619145981,49.868931186276455,69.21931554031484,112.16116375631088,47.598999910605016,28.781638819348007,21.035988884254714,43.49969706524782,52.263285002665256,75.04600136203227,162.47892826504204,72.52978795860521,2.6318366119751984,0.31987947809352946,-0.000576034414940807,0.03502165735775975,-0.0012261615637250145,-0.1610803547049926
4,768,6144,13,156,24576,24732,6300,6299,3071,6260,27.09529895910929,20.466968192192603,41.82327052140597,49.817479774442894,69.22500025633545,112.44202392114202,47.67930411137295,28.795746676648598,21.047941473052,43.50866943928007,52.14379393657199,75.170116155195,163.6220740426505,72.54012508997216,27.095298127843982,20.46565587740062,41.82067147591899,49.816712167693666,69.21925752473327,112.44101251101722,47.679265561993134,28.795751248694685,21.050999507158785,43.50246695870984,52.13864477551607,75.15317526306546,163.62200323664783,72.54015451168735,2.631221333230923,0.3197140913638117,0.014767363556220658,0.03496364177618716,0.012886267782953098,-0.053906453671800136
8,384,3072,13,156,24576,24732,3228,3227,1535,3188,27.107086047386627,20.489485833657824,41.76825942888176,49.824654179348485,69.22240727253953,111.86718406429726,47.607138422068566,28.809095077251854,21.05771501336456,43.53398808349575,52.38312564347167,74.97548086348957,162.5426475990987,72.52759357880642,27.106965222758134,20.48030527307759,41.77266609057551,49.822633569552735,69.22357034989479,111.88424173725079,47.60666363448465,28.809005229822848,21.050029870511672,43.54167962962186,52.37758732818448,74.97552452510014,162.53750678691503,72.52774332273773,2.631015645539931,0.3188700407550187,0.026434458470372846,0.039276466937707255,0.02614024891111555,-0.23155719163712263
16,192,1536,13,156,24576,24732,1692,1691,767,1652,27.192812870447597,20.571780778429716,41.89891762142575,50.177630120400494,69.21573418902952,113.53595980157334,47.69615400629677,28.867758026062745,21.101995923329337,43.506480420890895,52.39598934385908,75.18893416666175,167.3371129462375,71.90188027621392,27.191954347418612,20.558560685192393,41.88262455682494,50.143995823060465,69.16081213042183,113.51107063229857,47.694586120076835,28.86708648242425,21.102795916549233,43.50173504166888,52.38829827308519,75.19861143003813,167.3454412246976,71.90241149296642,2.628178297658897,0.3172458264352728,0.11142358313085055,-0.02348175253524687,0.08422150151251628,-0.008470286699136409
32,96,768,13,156,24576,24732,924,923,383,884,27.529366511731233,20.862154076965286,42.43263639903946,50.65624140763822,69.7468461783138,112.06197416002318,47.79893519348633,29.212146243759374,21.43931279211577,44.1548161672183,52.88596661199728,75.59717160225655,164.31995828814934,72.54731992441113,27.521451718454514,20.867462780230326,42.39694151372036,50.63501867996558,69.79090026567954,112.20459380215394,47.7866140111164,29.20471878330365,21.43918753665353,44.125603402888274,52.827821267067414,75.87116219527653,164.24258822355512,72.54898630383951,2.629846510130836,0.3152989628392894,0.4409209541667529,0.606606382722461,0.4218538023919187,0.6640804785392618
64,48,384,13,156,24576,24732,540,539,191,500,28.779497414020145,21.925473959716875,44.559218543259604,52.82643995052893,72.11111339663297,111.28568764704593,47.928896558084276,30.3991641675259,22.469650553894414,46.268731211872996,55.02050866241875,77.73696374992609,165.03308399039042,72.59371403618354,28.66260905893862,21.901843154194204,44.23706683933498,52.651664540721306,71.68478778497146,112.35955963562674,47.91707645910876,30.288532080193953,22.399709465879496,45.9877247022206,54.89237689120828,77.60816435635547,164.65934559848174,72.59806711373777,2.6290121206379298,0.31095733769724765,1.5820782946508594,2.5004939020143837,1.5056670992822205,2.4010826396182097
128,24,192,13,156,24576,24732,348,347,95,307,33.34462109993514,24.454519364538136,51.42772108407039,62.42968820582253,87.04729794946084,217.22480351454385,54.2022809497269,34.72971360846675,25.04004044177046,53.107490404243435,64.28377568393329,94.37323519507554,217.88740877390117,72.79917534580301,32.34292489815521,24.252276222887854,49.91920088029997,60.09374022090544,82.4182160497484,177.6675067879863,50.35709588636435,33.77273032053857,24.828648005146334,51.67569138285684,62.02211028334253,87.98108191613765,178.23003620126167,72.81154431341258,2.628323388989366,0.30710418782972393,5.262394133867449,13.233922166791316,4.989865339626839,12.77400019940039
