target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_36E,entry,x,0,0,0,0,5.730627538283245e-14
SEX_36E,entry,x,0,0,1,1,1.057407397415623e-28
SEX_36E,entry,x,0,1,0,1,-6.389301302676484e-19
SEX_36E,entry,x,1,0,0,1,0.0010000000000007308
SEX_36E,entry,x,0,0,2,2,3.944685009020294e-43
SEX_36E,entry,x,0,1,1,2,2.1872179371989187e-32
SEX_36E,entry,x,0,2,0,2,5.900462154811231e-6
SEX_36E,entry,x,1,0,1,2,3.69003340410078e-18
SEX_36E,entry,x,1,1,0,2,-7.626393571588404e-20
SEX_36E,entry,x,2,0,0,2,3.6757474921246673e-6
SEX_36E,entry,x,0,0,3,3,1.8369686637657026e-57
SEX_36E,entry,x,0,1,2,3,7.841792263609939e-47
SEX_36E,entry,x,0,2,1,3,-3.047754497835699e-8
SEX_36E,entry,x,0,3,0,3,1.1693647793283358e-21
SEX_36E,entry,x,1,0,2,3,2.0648631921996526e-32
SEX_36E,entry,x,1,1,1,3,1.8513018756152777e-22
SEX_36E,entry,x,1,2,0,3,-1.8815867693975497e-7
SEX_36E,entry,x,2,0,1,3,3.219276362634453e-8
SEX_36E,entry,x,2,1,0,3,-8.431843968413216e-22
SEX_36E,entry,x,3,0,0,3,-2.0019483145762175e-8
SEX_36E,entry,x,0,0,4,4,9.578418949031537e-72
SEX_36E,entry,x,0,1,3,4,4.989704861283807e-61
SEX_36E,entry,x,0,2,2,4,3.726317328796693e-23
SEX_36E,entry,x,0,3,1,4,-5.2750065989142875e-24
SEX_36E,entry,x,0,4,0,4,3.0736402842070896e-9
SEX_36E,entry,x,1,0,3,4,1.2820925816950792e-46
SEX_36E,entry,x,1,1,2,4,2.5805384409657324e-36
SEX_36E,entry,x,1,2,1,4,9.861688529677255e-10
SEX_36E,entry,x,1,3,0,4,3.7669455882676886e-23
SEX_36E,entry,x,2,0,2,4,3.602873230300049e-22
SEX_36E,entry,x,2,1,1,4,-2.1098779737962243e-24
SEX_36E,entry,x,2,2,0,4,1.5732665681648133e-9
SEX_36E,entry,x,3,0,1,4,-4.3151591089235314e-10
SEX_36E,entry,x,3,1,0,4,2.5325232984169217e-23
SEX_36E,entry,x,4,0,0,4,-4.6536640651867277e-10
SEX_36E,entry,px,0,0,0,0,5.479636790769939e-15
SEX_36E,entry,px,0,0,1,1,3.3762929805799515e-29
SEX_36E,entry,px,0,1,0,1,7.181536734125346e-20
SEX_36E,entry,px,1,0,0,1,9.493592944900296e-5
SEX_36E,entry,px,0,0,2,2,1.2595386272632205e-43
SEX_36E,entry,px,0,1,1,2,2.686054721501823e-33
SEX_36E,entry,px,0,2,0,2,3.4343426390880627e-7
SEX_36E,entry,px,1,0,1,2,1.1782238425615074e-18
SEX_36E,entry,px,1,1,0,2,-1.02088475910494e-20
SEX_36E,entry,px,2,0,0,2,5.373058219765093e-7
SEX_36E,entry,px,0,0,3,3,5.865449031040992e-58
SEX_36E,entry,px,0,1,2,3,2.3876695479461096e-47
SEX_36E,entry,px,0,2,1,3,-9.727735539781759e-9
SEX_36E,entry,px,0,3,0,3,2.0040072347106596e-22
SEX_36E,entry,px,1,0,2,3,6.593110514225205e-33
SEX_36E,entry,px,1,1,1,3,-4.856450577384678e-24
SEX_36E,entry,px,1,2,0,3,-1.9085385818468338e-8
SEX_36E,entry,px,2,0,1,3,1.027910962534237e-8
SEX_36E,entry,px,2,1,0,3,-8.747616669709751e-23
SEX_36E,entry,px,3,0,0,3,-3.556192807448696e-9
SEX_36E,entry,px,0,0,4,4,3.058394493527634e-72
SEX_36E,entry,px,0,1,3,4,1.3746321650955019e-61
SEX_36E,entry,px,0,2,2,4,1.1878939110745084e-23
SEX_36E,entry,px,0,3,1,4,-8.613097006037223e-25
SEX_36E,entry,px,0,4,0,4,3.0113469877199653e-10
SEX_36E,entry,px,1,0,3,4,4.093726757087017e-47
SEX_36E,entry,px,1,1,2,4,8.346488843673436e-37
SEX_36E,entry,px,1,2,1,4,2.4547466117864315e-10
SEX_36E,entry,px,1,3,0,4,1.82393115142407e-24
SEX_36E,entry,px,2,0,2,4,1.1503975966690942e-22
SEX_36E,entry,px,2,1,1,4,-3.1826114381443933e-25
SEX_36E,entry,px,2,2,0,4,2.800308309631871e-10
SEX_36E,entry,px,3,0,1,4,6.598808062823438e-11
SEX_36E,entry,px,3,1,0,4,3.239280303248669e-24
SEX_36E,entry,px,4,0,0,4,-4.1780171583377074e-11
SEX_36E,entry,y,0,0,0,0,-1.193363099422447e-28
SEX_36E,entry,y,0,0,1,1,-2.9272968366307266e-43
SEX_36E,entry,y,0,1,0,1,0.0010000000000000675
SEX_36E,entry,y,1,0,0,1,4.760964064818746e-19
SEX_36E,entry,y,0,0,2,2,-4.5395662083132194e-58
SEX_36E,entry,y,0,1,1,2,-2.4408303043713015e-18
SEX_36E,entry,y,0,2,0,2,-1.7644110472524348e-20
SEX_36E,entry,y,1,0,1,2,-1.6609863661357048e-32
SEX_36E,entry,y,1,1,0,2,-5.52818443636695e-6
SEX_36E,entry,y,2,0,0,2,-1.3737214788510308e-20
SEX_36E,entry,y,0,0,3,3,-6.031153776235655e-72
SEX_36E,entry,y,0,1,2,3,1.4895416948535137e-33
SEX_36E,entry,y,0,2,1,3,1.8938100584784206e-22
SEX_36E,entry,y,0,3,0,3,1.5925115477955485e-8
SEX_36E,entry,y,1,0,2,3,-3.96778216330594e-47
SEX_36E,entry,y,1,1,1,3,-4.258890503898163e-8
SEX_36E,entry,y,1,2,0,3,1.246355209255559e-21
SEX_36E,entry,y,2,0,1,3,-1.508716348752837e-22
SEX_36E,entry,y,2,1,0,3,9.235886211426436e-9
SEX_36E,entry,y,3,0,0,3,2.2358145194366373e-22
SEX_36E,entry,y,0,0,4,4,-2.896252137141772e-86
SEX_36E,entry,y,0,1,3,4,-9.378263064253592e-48
SEX_36E,entry,y,0,2,2,4,-2.1639796612547728e-36
SEX_36E,entry,y,0,3,1,4,-4.0155774954846026e-10
SEX_36E,entry,y,0,4,0,4,-1.954311385735172e-23
SEX_36E,entry,y,1,0,3,4,-4.754558960319532e-61
SEX_36E,entry,y,1,1,2,4,5.198098849500603e-23
SEX_36E,entry,y,1,2,1,4,-9.589480765346278e-24
SEX_36E,entry,y,1,3,0,4,6.358226320627912e-10
SEX_36E,entry,y,2,0,2,4,-1.112519769553436e-36
SEX_36E,entry,y,2,1,1,4,9.088134428856212e-10
SEX_36E,entry,y,2,2,0,4,-2.826726576241498e-23
SEX_36E,entry,y,3,0,1,4,2.709793057344978e-24
SEX_36E,entry,y,3,1,0,4,8.80251470919385e-10
SEX_36E,entry,y,4,0,0,4,-1.4852196045589707e-24
SEX_36E,entry,py,0,0,0,0,1.340939841636658e-29
SEX_36E,entry,py,0,0,1,1,2.84113232799608e-43
SEX_36E,entry,py,0,1,0,1,-0.00010730618325023125
SEX_36E,entry,py,1,0,0,1,3.2960903093177805e-20
SEX_36E,entry,py,0,0,2,2,1.1719483029659237e-57
SEX_36E,entry,py,0,1,1,2,-5.089204839784626e-19
SEX_36E,entry,py,0,2,0,2,3.1446240689322855e-21
SEX_36E,entry,py,1,0,1,2,8.846884636132055e-33
SEX_36E,entry,py,1,1,0,2,2.727889053495586e-7
SEX_36E,entry,py,2,0,0,2,2.1189260369665674e-21
SEX_36E,entry,py,0,0,3,3,5.252422826697211e-72
SEX_36E,entry,py,0,1,2,3,3.105983473974365e-34
SEX_36E,entry,py,0,2,1,3,-5.999587276802439e-23
SEX_36E,entry,py,0,3,0,3,2.4185353492683252e-9
SEX_36E,entry,py,1,0,2,3,6.400160530710006e-47
SEX_36E,entry,py,1,1,1,3,-8.879893677076105e-9
SEX_36E,entry,py,1,2,0,3,-6.796271953029688e-23
SEX_36E,entry,py,2,0,1,3,6.399891415379643e-23
SEX_36E,entry,py,2,1,0,3,-6.077304134977079e-10
SEX_36E,entry,py,3,0,0,3,-1.8368317014891046e-23
SEX_36E,entry,py,0,0,4,4,2.9237953324020157e-86
SEX_36E,entry,py,0,1,3,4,-1.955361557951125e-48
SEX_36E,entry,py,0,2,2,4,-2.5740214460518034e-37
SEX_36E,entry,py,0,3,1,4,-2.403744259067983e-10
SEX_36E,entry,py,0,4,0,4,-1.2746826804902932e-24
SEX_36E,entry,py,1,0,3,4,3.785587769233395e-61
SEX_36E,entry,py,1,1,2,4,1.0838989080026053e-23
SEX_36E,entry,py,1,2,1,4,4.015196835364794e-24
SEX_36E,entry,py,1,3,0,4,1.6847199521542214e-10
SEX_36E,entry,py,2,0,2,4,1.1389917275748275e-36
SEX_36E,entry,py,2,1,1,4,1.1580878908118066e-10
SEX_36E,entry,py,2,2,0,4,2.9931138676721116e-24
SEX_36E,entry,py,3,0,1,4,1.0458904710533242e-24
