family,element_count,eta_hh,eta_hv,eta_vv,eta_total,magnitude_hh,magnitude_hv,magnitude_vv,magnitude_total
drift,429,0.060146512359619771,0.0031140307474758228,-0.00075210302062754476,0.0031887125998553275,0.21136122053800169,0.023136635918288725,0.033621663917228893,0.022953498894358
kicker,35,0.0038753680743431828,0.00061941275247582369,-0.000835238536268158,0.00062984515598145255,0.016796732744647946,0.0043801188506121871,0.0081056432851328349,0.0043978187660860578
marker,102,-8.3468052497664803e-16,-2.2507341618394957e-16,1.7911115548022666e-15,-2.3748350206026894e-16,1.1652020235473982e-14,4.2052400891176942e-15,2.6134898345448558e-14,4.351214443775112e-15
normal_sextupole,76,0.88835438882847328,0.97835361756504569,0.99789424579242014,0.97803769966750642,0.95908898534998499,0.99055989014139956,1.0184843037531079,0.99021718904100575
octupole,4,0.0010626235313013811,6.1566373307038818e-05,-0.00017362351409920299,6.4082999749496067e-05,0.0060020462614550673,0.00049443328654709526,0.0019804449707919868,0.00049775895458687108
other_sextupole,3,2.523700865707017e-05,4.8544204551442733e-06,-1.2322985558531542e-06,4.9145614728057853e-06,0.00016595564407150093,4.6575645954788675e-05,4.7545092663418923e-05,4.6719634580419914e-05
quadrupole,124,0.030379354749167722,0.0012701038716737372,-0.00021161832148515442,0.0012885783660208437,0.11462846219428534,0.0092314375684360937,0.012871376504523366,0.0091410816262199532
rfcavity,4,0.00015004823781136458,-4.112735646523021e-07,-6.5179852555378063e-06,8.9857902335462728e-07,0.00099262058660612093,0.00059824718473176883,0.00070869295972285763,0.00060015799959758497
sbend,84,0.025641520689902608,0.0066597082753717587,-0.0061094043107201984,0.006803671161693752,0.14869574826590012,0.05138549517290137,0.074046246972014826,0.051608275275806172
solenoid,6,-0.0099005343505101217,0.0096272484409488136,0.0098542996308696763,0.0096913573362700563,0.074852206829202406,0.097084488627341994,0.10532953793237153,0.097172524845257069
wiggler,2,0.00026548087123503763,0.00028986882681081939,0.00034119256372678052,0.00029023957242627958,0.0016235782668129412,0.0015904184003787975,0.006217159548145639,0.0015822259582254617
