quantity,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p99_2d_um,max_2d_um
relative_local_orbit_nominal_k2_nonzero_bumps,0.025372635148578244,0.031155963128170587,0.04018040135223631,0.007368831414240295,0.05731950631380718,0.1753076397153372,0.3266475902387416
relative_local_orbit_all_states,0.02486269883481721,0.030527980727480693,0.03937145413428685,0.006678288003702935,0.056162854163977545,0.1744622195546124,0.32878768938768216
absolute_zero_bump_reference_orbit,0.006448702139878559,0.007761801408309535,0.010091150597969995,0.002330414891226602,0.014512851700290886,0.03689357967987096,0.04368394104663808
