lord_name,lord_key,variable,observation_index,relation_count,bmad_norm,scibmad_norm,absolute_max,relative_l2,cosine_similarity,dx,dpx,dy,dpy,dz,dpz,bmad_dx,bmad_dpx,bmad_dy,bmad_dpy,bmad_dz,bmad_dpz
"H_CANT_S7","Overlay","HKICK","151","3","0.65158289683764","0.6515828968376686","1.5189672436521917e-10","2.3311957337936907e-10","1.0000000000000002","0.03577584923236877","0.6506000000000036","-2.4890029273749725e-9","0.0","7.941410658414416e-6","0.0","0.03577584923237555","0.6505999999999765","-2.4890029273749725e-9","0.0","7.941258761690051e-6","0.0"
"H_CANT_S7","Overlay","HKICK","157","3","1.2322022442044414","1.2322022442052558","4.838740085694182e-9","3.926904195456379e-9","1.0000000000000002","1.181626820035168","-0.34939999999999366","-8.220699376218152e-8","0.0","0.0002622938105318988","0.0","1.181626820035385","-0.34940000000002075","-8.220782724260162e-8","0.0","0.0002622889717918131","0.0"
"H_CANT_S7","Overlay","HKICK","165","3","0.6413750067693383","0.6413750067697646","2.321900267540644e-9","3.6201914247228826e-9","1.0000000000000002","0.5662512194333524","0.30120000000000996","-3.9394648567586676e-8","0.0","0.00012569466732097016","0.0","0.5662512194334066","0.30119999999996927","-3.9395028038347046e-8","0.0","0.00012569234542070262","0.0"
"H_CANT_S7","Overlay","HKICK","1177","3","1.9583322641627834","1.9578695722803283","0.0004601909863377607","0.0002730300923796788","0.9999999906364326","1.942336740503323","0.24464480607739453","0.004306231928062187","-0.0010560880937121597","-0.026654131087705014","-0.00025642136470529955","1.9427969314896607","0.24468910391487386","0.0045730574284503535","-0.0010869513361751702","-0.026653745470331478","-0.0002565454735990345"
"H_CANT_TRIM_S7","Overlay","HKICK","151","2","1.0015107544384736","1.0015107544384627","2.2497195079074217e-10","2.2463258652806924e-10","1.0","-0.05498900896461917","-0.9999999999999972","3.825661575723727e-9","0.0","-1.2206287521542014e-5","0.0","-0.05498900896461917","-1.0000000000000109","3.825661575723727e-9","0.0","-1.2206062549591223e-5","0.0"
"H_CANT_TRIM_S7","Overlay","HKICK","165","2","4.270525106231141","4.27052510623359","1.5447929394007964e-8","3.6173372855024167e-9","1.0","-3.7732458151361423","-1.9999999999999944","2.625082768346887e-7","0.0","-0.0008375732557606291","0.0","-3.773245815136793","-2.000000000000008","2.6251125839066303e-7","0.0","-0.0008375578078312351","0.0"
"H_CANT_TRIM_S7","Overlay","HKICK","1177","2","13.016420925450351","13.013351452881425","0.003052852171471443","0.00027258228576880993","0.9999999906516968","-12.910367185032039","-1.6240515661922175","-0.028465181785866614","0.007042866476537728","0.17699978998813692","0.0017029414081681273","-12.91342003720351","-1.62434575241209","-0.03023723289573364","0.007247807963875214","0.17699662169866717","0.0017037626789132227"
"V09AW","Overlay","VKICK","180","1","1.0091009723537343","1.009133641134824","4.2299969909708086e-5","5.401778538353093e-5","0.9999999990651124","5.6526634501646855e-6","8.052338861615129e-5","0.13596796323675672","0.9999316988200456","-9.910683328152002e-5","0.0","1.8025294798440505e-8","0.00012282335852585938","0.13597257177751926","0.9998980984081506","-9.921515068929757e-5","0.0"
"V09AW","Overlay","VKICK","1177","1","8.793559820313241","8.793415346293767","0.0011413877192565092","0.00016079308285313912","0.9999999872075466","-0.11321182425598833","-0.018522175906530644","8.790601746749179","-0.18268107533972716","0.054237037442500004","0.0006023416785152797","-0.11247252791244354","-0.018491498959003275","8.79078156717242","-0.18153968762047065","0.05389552132898821","0.0006010154994398696"
"H09AW","Overlay","HKICK","182","1","1.0005116621077756","1.0005116621075372","2.9429854820489654e-9","2.941487663933263e-9","0.9999999999999998","0.03199353027232184","0.9999999999999972","4.235761047466369e-9","0.0","-5.8229047939731965e-6","0.0","0.03199353027839337","1.0000000000000244","4.238146292245837e-9","0.0","-5.8258477794552455e-6","0.0"
"H09AW","Overlay","HKICK","1177","1","1.7850435138263216","1.7875838032817977","0.003723829581931515","0.002129695306698516","0.9999987465847275","-1.289344346091701","1.2296613819479043","0.10905238660485544","0.01628807409803125","-0.0939229864322386","-0.0008030817907921962","-1.2856205165097694","1.229809313566736","0.10979260510254472","0.01617315263316302","-0.09387573711070428","-0.0008031361724080517"
"V10W","Overlay","VKICK","190","1","1.0092423663356482","1.0092288184149674","1.9844386740406825e-5","2.424076729367857e-5","0.9999999997962897","-2.699147329254803e-6","-4.019028276955501e-5","0.13597434582240595","1.0000268909221441","3.1740917159168644e-5","0.0","1.3023870176764873e-8","-6.0034669509961835e-5","0.13597248350112787","1.0000408157281682","3.179453835627788e-5","0.0"
"V10W","Overlay","VKICK","1177","1","11.292450572029606","11.291698434341695","0.0014453726657919774","0.00018300622215461872","0.9999999854715304","-0.13369413261242555","-0.018777010144335228","11.290643000746758","-0.0435666443535359","0.06090097180459146","0.0006955077362831314","-0.13250329225836505","-0.018837023116140793","11.291416788933374","-0.04212127168774392","0.060499432351075834","0.0006939616268376901"
"H10AW","Overlay","HKICK","194","1","1.0028826760930607","1.002882677699983","2.120981341946493e-8","2.254402229675e-8","1.0","0.0759846317359425","0.9999999999999972","7.249843086976071e-9","0.0","3.1155206073416736e-5","0.0","0.07598461052612908","0.9999999999999701","0.0","-5.421010862427522e-14","3.1158164264834254e-5","0.0"
"H10AW","Overlay","HKICK","1177","1","4.632870069124872","4.637056283043178","0.004448130383667426","0.0009713108462609075","0.9999999365721529","-4.433924043585006","1.3415825863687136","0.184364478843425","0.022540995771205656","-0.09091651841756379","-0.0007354661773800904","-4.429475913201339","1.3417295352469096","0.1850179309999863","0.022434516979438855","-0.09085473504875106","-0.000735380159341153"
"H11W","Overlay","HKICK","212","1","3.4344862649921253","3.434570054520661","8.234264301210104e-5","2.889954430303762e-5","0.9999999998800063","3.2847922686873865","0.9997336806353512","6.11652716323019e-5","1.745681035706173e-5","-0.08332931500376617","0.0","3.2847099260443744","0.9997166167694872","1.4251398889122968e-5","4.1346740728464074e-5","-0.08332640882358686","0.0"
"H11W","Overlay","HKICK","1177","1","7.4940607937139205","7.498027620404942","0.00402106903395083","0.0005388444058647249","0.999999994920848","-7.426727380608484","1.003973521602271","0.19578285494447875","0.0228136604405859","-0.13161986041188944","-0.0007754672407683794","-7.422706311574533","1.0040336625046202","0.19613719357491033","0.02274956183503929","-0.13155475813713563","-0.0007751732853701621"
"H12W","Overlay","HKICK","218","2","1.7173505905256867","1.7173596385460699","3.323220127901538e-5","2.0232991412336374e-5","0.9999999998091927","1.64247593870126","0.4998776499250894","2.3757363697834988e-5","7.968920770658194e-6","-0.04146388032921777","0.0","1.642466495340887","0.49987761230612004","-9.474837581180395e-6","1.1677923737610577e-5","-0.04146365819044989","0.0"
"H12W","Overlay","HKICK","234","2","4.106241390380788","4.106220863890061","5.056815621622135e-5","1.3538890554590234e-5","0.999999999920843","4.062546606731221","0.4493157470953055","0.014592649245654538","0.0019827396956532354","-0.39327259493404654","0.0","4.062566619639327","0.449323638987008","0.014542081089438316","0.0019911415719074243","-0.39327299392272286","0.0"
"H12W","Overlay","HKICK","1177","2","4.097662055508076","4.096162541789748","0.0015332795487910111","0.00041200344917506447","0.999999982077425","-3.928861210901252","-0.7187623199374021","-0.01973913703891522","-0.0017176876026137738","-0.9086063242757928","-0.004454792867396502","-3.930394490450043","-0.7188908012101151","-0.020431907946476802","-0.0016663828597703566","-0.9086195044872994","-0.004454536696633731"
"RAW_XQUNEING_1","Group","COMMAND","232","67","6.391298985463795e-9","6.38861931125974e-9","5.23344388658753e-12","0.0011393329728623938","0.9999994386181092","7.489093980378447e-11","5.33210935054298e-10","-8.561877335583334e-10","-6.308048565916921e-9","7.079840186330344e-14","0.0","8.0124383690372e-11","5.365180887994918e-10","-8.534994542716556e-10","-6.310782029329137e-9","7.052735132018206e-14","0.0"
"RAW_XQUNEING_1","Group","COMMAND","238","67","1.2143136231288186e-7","1.2147304061055888e-7","2.8333834844324057e-10","0.002363821720866774","0.999997266013561","2.2036115336979134e-9","-1.7333362162578157e-8","-6.271010403666177e-8","-1.0255624374364523e-7","-2.407663369889679e-10","0.0","1.920273185254673e-9","-1.7301207341779978e-8","-6.269596408876865e-8","-1.025266493746976e-7","-2.4245319293902945e-10","0.0"
