case,label,nuisance_magnitude,fit_count,local_orbit_rmse_2d_um,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p99_2d_um,max_2d_um,delta_rmse_2d_vs_baseline_um,incremental_error_vector_rms_um
baseline,Reference: no added nuisance,none,304,0.03982362393955757,4.224075474424378,4.33260533392085,6.050973689676144,4.0556392176070695,8.94461996054076,17.09054988277789,24.160581519334162,0.0,0.0
bpm_gain,BPM gain,"1% RMS per BPM/plane, fixed in scan",304,4.767149108835831,4.790935915518885,4.788731643742171,6.773848071988799,4.469268941259633,10.240871457883776,19.19971147787862,23.70281150407232,0.7228743823126553,2.8974284553019993
corrector_gain,Corrector gain,"1% RMS per corrector, fixed in scan",304,0.056651053828342735,4.244374408370269,4.353725725360895,6.080266590380534,3.973875680889077,9.036626415721601,16.430922187234593,24.082062414839985,0.029292900704390057,0.4759566394853186
k2_calibration,K2 calibration gain,1% RMS intervention gain per target scan,304,0.03982362393241736,4.224050157399702,4.33261908448904,6.0509658620345155,4.055606828131841,8.945630929369345,17.09053891738496,24.16060970066862,-7.827641628210813e-06,0.0007915270421188496
quadrupole_strength,Quadrupole strength,independent uniform +/-1%,304,0.3461840396282336,4.083561794579363,4.185338113282702,5.847438075999183,3.955645496270299,8.694325158160472,15.554565859903487,24.036281988322358,-0.20353561367696038,1.5191624372460006
quadrupole_roll,Quadrupole roll,1 mrad RMS,304,0.12604174917253383,4.236654036974383,4.00368706676127,5.82912922807196,4.044665359573791,8.514421415156981,17.501196234126542,27.177699243094782,-0.22184446160418325,2.025743299748011
quadrupole_misalignment,Quadrupole misalignment,100 um RMS in x and y,304,0.23641872227227625,875.5366587029807,794.0499236982246,1181.9812697576626,224.16937786184963,1917.1961888145797,4285.038701222762,6204.898645363911,1175.9302960679865,1181.17511831454
time_drift,Time drift,+/-5 um target-local linear drift across scan,304,0.04503642063278665,1402.4996098597933,1405.627437936531,1985.646909683816,2025.7330026810828,2241.2076088186172,2425.061129418403,2499.564527370026,1979.5959359941398,1985.596803811629
bpm_noise,BPM noise,5 um RMS per BPM/plane/state,304,9.649423189771568,706.1129685445106,633.3176998004508,948.5182303083451,445.89712667822954,1705.8018925807517,2126.1244832003126,2496.4504924194325,942.4672566186689,948.745828369697
