scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm
all,0,1,1,0,0,0,0,0,0,0,0,0,3.1357568361342511e-15
all,0.10000000000000001,2,2,9.2474666492791293e-09,1.1751213759658692e-08,3.3370702336988874e-08,4.4540555059177959e-08,1.0256051539090001e-08,1.1514156457476635e-08,3.4663606888488618e-08,3.7353752145008446e-08,2,8.1824155530174597e-14
horizontal,0,1,1,0,0,0,0,0,0,0,0,0,3.1357568361342511e-15
horizontal,0.10000000000000001,2,2,4.4962802176236646e-09,6.4062363784918214e-09,1.4691015297057165e-08,2.1845084220692749e-08,2.2111903730418215e-20,2.5899037103068861e-20,5.4597560106840708e-20,6.2896479236262865e-20,1.5,8.3370762575922663e-14
vertical,0,1,1,0,0,0,0,0,0,0,0,0,3.1357568361342511e-15
vertical,0.10000000000000001,2,2,4.9563256800753824e-09,8.4678632399550979e-09,1.7098761043291533e-08,2.8385084927716077e-08,3.4118198765682183e-12,6.3231048093830307e-12,9.2524761389227623e-12,1.7241239150614113e-11,3,8.8057913674880333e-14
