observable,H01W,HB01,H02W,HB02,H03W,HB03,H04W,HB04,HB05,HB06,H08W,H10W,H12W,H14W,H16W,H18W,H20W,H22W,H24W,H26W,H28W,H30W,H32W,H34W,H36W,H38W,H40W,H42W,H44W,H46W,H47W,H49W,H49E,H47E,H46E,H44E,H42E,H40E,H38E,H36E,H34E,H32E,H30E,H28E,H26E,H24E,H22E,H20E,H18E,H16E,H14E,H12E,H10E,H08E,H04E,H03E,H02E,H01E,V01W,V02W,V04W,V05W,V06W,V07W,V08W,V09W,V10W,V11W,V13W,V15W,V16W,V17W,V19W,V21W,V23W,V25W,V27W,V29W,V31W,V33W,V35W,V37W,V39W,V41W,V43W,V45W,V47W,V48W,V49W,V49E,V48E,V47E,V45E,V43E,V41E,V39E,V37E,V35E,V34E,V33E,V31E,V29E,V27E,V25E,V23E,V21E,V19E,V17E,V15E,V13E,V11E,V09E,V08E,V07E,V06E,V05E,V04E,V02E,V01E
DET_00W:x,1.699288031,1.4525181279999999,1.5655948669999999,-1.3211074030000001,1.5539182600000001,-1.4708792319999999,1.793823497,-0.20652574430000001,-2.540838011,1.0223190040000001,-2.0862109979999999,-1.283576464,1.3754917360000001,1.527161193,-2.23743194,-2.5702692159999998,-0.80708058589999998,1.5179572050000001,1.663439417,-0.83759583459999998,-2.3107494000000002,-0.52603296150000001,2.0390615580000002,2.0880860559999999,-0.22346197949999999,-2.2908083979999998,-1.0766345509999999,1.5333981430000001,1.743452121,0.52071563249999997,-0.93055111629999998,-0.61015522590000004,2.2770525689999999,1.195438373,-1.6970145700000001,-0.098133306769999998,1.888619475,1.445671878,-0.83808425900000005,-1.7394804070000001,-0.66491823009999995,1.1827961279999999,1.7922508340000001,-0.62043993649999996,-2.1648946520000001,-1.074385559,1.807528754,1.958213344,-0.27590650169999997,-1.804275066,-0.3733679016,1.662115797,0.94056125830000004,-1.9948645709999999,1.63782589,2.148836942,2.7048261949999999,4.0919475050000003,0.079722105730000006,-0.011087167049999999,-0.10894566679999999,-0.2616698744,-0.16267786440000001,-0.1743899468,-0.028114047640000001,0.1174802112,0.114202157,0.33165951799999999,0.34727900859999999,0.097157512390000006,-0.056307085409999999,-0.22409751480000001,-0.13748928899999999,0.2953604011,0.17368587939999999,-0.3299338731,0.051136252649999998,0.32150373920000003,0.19274571300000001,-0.093182399459999996,-0.28164548830000002,-0.359268904,-0.048466564650000002,0.29235799070000001,0.28720346159999999,0.024661133969999999,-0.34785789680000001,-0.075271023440000001,-0.065057887980000007,0.078094112310000005,0.083418383109999994,0.33319217350000002,-0.04311963077,-0.30439232649999998,-0.27957968490000001,0.074886724259999995,0.36761498980000001,0.26256484860000001,0.1144776793,0.072111696660000002,-0.18679631869999999,-0.30699984479999998,-0.038016746519999998,0.31338180780000002,-0.15628622449999999,-0.30583686500000001,0.12270578629999999,0.2297647693,-0.088092086289999996,-0.3428754826,-0.2779332068,-0.052030419789999997,0.065488993169999996,0.21304709159999999,0.1806803001,0.2714859731,0.096758185819999995,-0.047758247240000003,-0.21148724860000001
DET_01W:x,-0.85725671219999999,4.8895266949999998,1.6366949909999999,-0.79579288039999996,2.8390051340000002,-6.8719514720000001,5.1867935960000002,2.3374971969999998,-9.6453321069999998,1.793156704,-5.50579705,-8.4056746469999997,3.169398867,8.6332471579999996,-7.0881478229999999,-12.09762106,-8.2740615870000003,3.5700987359999998,11.00373664,0.55025548769999999,-10.423997440000001,-6.6097508840000003,7.4893457200000002,12.09153244,2.9275591080000001,-9.578479432,-8.5186617229999992,3.2755480729999999,8.8745856090000004,6.4876204690000003,-7.38286423,-8.3075495920000009,12.739237599999999,8.0976465500000003,-9.6633898630000008,-4.5021256999999997,5.8984447229999999,9.5258289820000002,0.80037443909999995,-8.7305148760000009,-8.3764640559999997,1.278637389,10.023317219999999,1.901141032,-9.4279511459999998,-9.3634547619999999,5.7209117220000003,11.60830427,4.2236565239999999,-4.3511571680000003,-5.5759593030000003,5.4119377350000004,7.5986946509999997,-4.7124676870000002,4.0818865390000001,7.1651780929999997,9.9034595999999997,16.49286992,-0.15401980439999999,-0.1167520918,-0.0062207412490000004,0.064875554840000002,0.065341205920000006,0.12797446309999999,0.091363336889999994,0.093286066139999999,0.1035457446,0.027437024819999999,-0.086883245230000003,-0.1486090997,-0.054587236019999999,-0.030742554290000002,0.1112180134,0.0091213396839999999,-0.11482023030000001,-0.015652777430000001,0.11089662259999999,-0.01978779537,-0.1344998979,-0.11326311980000001,-0.036313030150000002,0.10129758429999999,0.1146828158,0.033037090640000003,-0.087715158690000003,-0.066137874269999994,0.0057132564650000002,0.039264384100000001,0.054965067909999998,0.033303420299999997,0.01442806563,-0.10077276440000001,-0.055534920770000003,0.0036201483150000002,0.1186500784,0.091342640480000001,-0.029778622389999999,-0.13003267869999999,-0.097819003720000006,-0.1399318162,-0.09556465116,0.054344671919999997,0.12524754160000001,-0.1050594044,-0.080479873270000002,0.07686172174,0.083319217740000007,-0.088393443469999999,-0.12823686249999999,-0.00097101574179999999,0.11148836149999999,0.12746149009999999,0.075797559240000006,0.061484771729999999,0.0087354623599999997,-0.021886613039999999,-0.038471757189999997,-0.1071168277,-0.58175654099999996
DET_02W:x,-1.51603121,5.2874959869999998,0.87363060189999997,0.040129240699999999,2.4800720809999999,-7.9050198070000004,5.3988795449999998,3.2758552380000001,-10.699750209999999,1.5324860929999999,-5.57975069,-10.097449360000001,3.0670050639999999,10.197442069999999,-7.5555974490000004,-13.93218042,-10.318395949999999,3.480802073,13.232454329999999,1.4263205379999999,-11.92501611,-8.3414336959999993,8.2531791620000003,14.324517070000001,4.0735813109999999,-10.818645739999999,-10.41937031,3.076823826,10.338311340000001,8.1836115829999994,-9.0322334620000007,-10.526335039999999,15.02774172,9.7615520409999998,-11.42446266,-5.897644949,6.2652480820000003,11.45054141,1.7589743920000001,-10.15029788,-10.57248476,0.71589552349999996,11.82348228,3.0401292639999999,-10.72330348,-11.54319433,6.0968793000000003,13.790637370000001,5.8384457530000002,-4.2804142240000003,-7.0952498180000001,5.8072376280000002,9.3105864900000004,-4.6019234569999998,4.0609587930000002,7.7314457780000003,10.90638206,18.502794550000001,-0.0476573416,0.0046925234620000004,-0.00026843843639999998,-0.0038361576349999998,-0.0034066868320000001,-0.0059745089809999999,-0.0038286093550000001,-0.003110036237,-0.0036170512800000002,0.0023695757400000001,0.0095681201099999998,0.01369684266,0.0045585396780000002,0.0017756033899999999,-0.011230169870000001,0.00063937351769999999,0.012664671670000001,-0.0013390364179999999,-0.0073643799359999996,0.0045764828210000004,0.012598600600000001,0.0073314240929999996,0.0021838208050000002,-0.0058311270080000002,-0.006707795626,-0.0011766343329999999,0.0070260509529999999,0.0045061959530000003,-0.001968687918,-0.0029699577019999999,-0.00398070461,-0.001797836298,-0.00049306031309999995,0.0085848549150000005,0.0034428561390000001,-0.0017490400530000001,-0.0088214694320000002,-0.0095466540109999994,-0.0012216184179999999,0.0105861103,0.0084181637860000005,0.013089416330000001,0.0086582414730000008,-0.0044171399869999996,-0.01158132381,0.0106290415,0.0015167099309999999,-0.0082037111480000001,-0.0042198230209999996,0.0081294950299999995,0.0076475802289999997,-0.0040998439660000002,-0.011089632150000001,-0.011093307510000001,-0.0063848892440000003,-0.0048161026040000002,-0.00033001868769999998,0.0025572982690000002,0.0035626947569999999,0.009161752976,-0.51528374939999999
DET_03W:x,4.0019827069999998,1.3899084580000001,1.268438382,3.030600347,0.045685362020000002,-3.6664539889999999,0.71478798789999998,3.3695329420000002,-3.715794721,-0.96055793109999998,-0.2121122198,-6.032881701,-0.40211478630000003,5.5692365830000004,-1.619048885,-6.5120535320000004,-7.3089878749999997,-0.35875088729999999,7.9482765339999997,3.1622466770000002,-5.3228419909999998,-6.1952365049999996,2.6867181100000002,7.9528154549999996,4.1144771210000002,-4.3881574829999996,-6.7872325560000002,-0.75145192279999995,5.2035563539999998,6.0673726370000001,-5.8898028550000001,-7.9394663730000001,8.1470503329999993,5.9351846750000004,-6.2708077879999999,-5.0008397850000001,1.267085005,6.8638254099999996,3.4580588369999998,-5.0460982760000004,-7.8563552860000003,-2.047637972,6.4084101560000004,4.0992970230000001,-4.5891080989999997,-7.7876406530000004,1.301908093,7.7743992149999999,5.7964814249999996,0.29955642249999997,-5.4375847390000001,1.374944567,6.113660136,0.44703276339999998,-0.1166593323,1.975605802,3.5269988759999999,7.1166868570000004,0.1112417217,-0.0001367758701,-0.00079815862249999999,-0.0018481728649999999,-0.001137343985,-0.001169843292,-0.00014052656260000001,0.00098293297290000009,0.00093268151359999997,0.003340964122,0.0048424805449999997,0.0041239454820000002,0.0007779597504,-0.0010453883899999999,-0.0038377262950000002,0.0021397181529999999,0.005072553112,-0.0028972151290000002,-0.00044747964879999997,0.0031733150099999999,0.0035157584289999999,0.00033576720919999999,-0.001066544712,-0.0017631664760000001,-0.00067413729980000004,0.0013471855400000001,0.0032610666010000002,0.0011648229529999999,-0.0025345357969999999,-0.001129945233,-0.0013022341950000001,9.2899771210000002e-05,0.00042590439860000002,0.0040651171010000001,0.00050759383849999999,-0.0022586309700000002,-0.0036139173650000002,-0.002400526021,0.0007700800934,0.0038548857750000001,0.0025969162339999998,0.0037688763810000002,0.0002284784809,-0.0036103831489999998,-0.0031011855169999999,0.0051502180110000002,-0.0023894034859999998,-0.0046244474080000004,0.00097591352009999998,0.003641289931,0.0001129263766,-0.0045540626809999997,-0.0054793161870000003,-0.0036501250010000002,-0.0015412620939999999,-0.00019771482370000001,0.00096528006070000004,0.0023796355039999999,0.001646662888,0.0024951808139999998,-0.19715033130000001
DET_04W:x,8.3064578099999995,0.76844550430000003,4.5044255929999997,5.5719615149999999,2.8907683159999999,-1.9914317800000001,0.85285873010000002,4.2416833589999996,-0.39300318960000002,-2.7001957609999998,2.9815290779999999,-5.0357885109999998,-2.5966759100000001,4.1191844729999998,1.5780073590000001,-3.6023469650000002,-7.2586379860000001,-2.7667601999999998,6.677451746,4.9770410849999998,-2.6198032379999998,-6.3971784319999996,-0.028198929540000001,6.0256322249999998,5.1350151630000003,-1.562691646,-6.2341358480000002,-3.2476878930000002,3.3587678369999998,6.2564794619999997,-5.4155538849999996,-8.2971532470000007,5.9591700300000001,5.0584490359999998,-4.6728971149999996,-5.6690189780000004,-1.447859939,5.7521810689999997,5.3221753390000002,-3.1816727949999999,-8.1157830999999998,-4.2139014870000002,4.6857645430000003,5.7317521669999998,-1.991400058,-7.4020591949999996,-1.2817701260000001,6.0189280509999996,7.174017375,3.140854842,-5.751494074,-0.97180165269999996,5.6606457360000002,3.607547265,-2.6704515099999999,-1.025907659,-0.08054029134,1.9557043220000001,0.23422676510000001,-0.0030892226739999999,-0.0013122421149999999,-0.0010956396420000001,-4.2055606389999997e-05,0.0014500087789999999,0.0020543200860000002,0.0036951048579999999,0.0039087304599999999,0.0047382559819999998,0.0031606501829999998,-0.00066312034940000004,-0.001319257135,-0.0030052065439999998,-0.00029891203490000002,0.0035660966910000002,0.001712752631,-0.004542699283,0.003625264867,0.0030950457469999999,-0.0011216777669999999,-0.0038119972090000002,-0.0032914999629999999,0.00026668798330000001,0.002809335553,0.0032001895990000002,0.001776884515,-0.00057257168280000004,-0.0034925221489999999,-0.00029176871769999999,1.098151951e-06,0.001258603556,0.0010849125090000001,0.002319713039,-0.0011439287209999999,-0.003115486388,-0.001342590556,0.001338328628,0.0021627946659999999,0.00072160490079999995,-0.00029211729039999999,-0.00095185779569999999,-0.0048131444280000001,-0.0039987438859999998,0.001273859444,0.0030875845639999999,-0.0053297255220000001,-0.0035821664990000001,0.0043531515930000002,0.001811577101,-0.004414466479,-0.0059332950519999997,-0.0034159588980000001,-3.4895497949999997e-05,0.001013678623,0.0025469985000000001,0.0019829062730000002,0.0028499070870000001,0.00088780385820000005,-0.00093065951129999997,-0.052539956810000003
DET_05W:x,2.3574369970000002,2.1894925829999998,2.2477692139999998,1.209338953,2.2684999729999999,2.344808268,2.6776761329999998,-0.2215312894,3.679354955,-1.132235388,2.6183949129999999,2.4479426719999999,-1.6495605229999999,-2.6843982940000002,3.005592504,4.1122782979999997,2.0376195410000002,-1.832537665,-3.190803947,0.59085614760000005,3.6216230170000001,1.531006622,-2.910799007,-3.7182652740000002,-0.30612840330000002,3.4643645300000001,2.2981115509999999,-1.7959620839999999,-2.9009437679999999,-1.506359164,1.9896656960000001,1.8827689190000001,-3.9803501469999998,-2.3247533740000002,2.9946509899999998,0.83083030000000002,-2.5228924789999998,-2.7668469789999999,0.54956533480000003,2.8736597210000001,1.9388351619999999,-1.1772181580000001,-3.132257004,0.18861092160000001,3.3366763260000001,2.4371808619999999,-2.427167952,-3.531844794,-0.47953825830000002,2.196092953,1.2342034550000001,-2.2571707449999998,-2.033814375,2.411718123,-2.015569867,-2.946252994,-3.8560547220000001,-6.0824124509999997,0.068210424729999997,-0.0023229081929999999,-0.00019040357489999999,0.0011072802480000001,0.0011902289969999999,0.0024250804759999999,0.0018034106500000001,0.0019128548529999999,0.0021386092140000001,0.0002120463926,-0.0026736002139999999,-0.0049755434730000001,-0.001899520707,-0.0012934301740000001,0.0038908873060000001,0.00056268314230000004,-0.004086057794,-0.00053721396080000003,0.003394963204,-0.00092769657059999996,-0.0046862640130000003,-0.0034289307139999999,-0.0015025287689999999,0.0021081188470000001,0.0029834371510000001,0.0011225355119999999,-0.0020834266530000002,-0.0017158696869999999,-8.3834816260000005e-05,0.00098214400240000002,0.0014033976880000001,0.0009126017034,0.00041424258290000002,-0.0025131320149999999,-0.0014679942489999999,-7.6929732119999995e-05,0.0028108471860000001,0.0036603494209999999,0.00090825413900000004,-0.003571428696,-0.0030315373800000002,-0.0048250787579999996,-0.0041175562609999999,0.00067212168640000001,0.0043623263759999999,-0.003064577923,-0.00171458484,0.002098136666,0.00244760528,-0.0024651082749999999,-0.003673678572,0.0001300291606,0.0031535576809999999,0.0039030518040000001,0.0024753528470000002,0.0022607697520000002,0.00055513908310000004,-0.00027134064349999999,-0.0010595943290000001,-0.003438543234,0.16979956700000001
DET_06W:x,-0.79443775539999995,5.721507838,2.0277545250000002,-0.07717446889,3.3961752839999999,7.5708584600000002,6.0957341290000002,-4.0206972529999998,9.6521450079999997,-0.66975276880000001,4.2095776689999997,10.31492532,-2.0662202779999999,-10.167192119999999,6.3360877860000002,13.36716833,11.08685702,-2.3915977750000001,-13.537667519999999,-2.559940712,11.32154888,9.0995024640000004,-7.3594476059999998,-14.343907679999999,-4.9637142430000001,10.060693240000001,10.91210195,-1.9066655100000001,-10.096325090000001,-8.9222580990000004,9.462307955,11.54096938,-14.954417899999999,-10.02096669,11.40558427,6.7299259280000001,-5.217978982,-11.707913339999999,-2.9461002440000001,9.8827169319999992,11.535269270000001,0.4504991257,-11.765075420000001,-4.1955478340000001,10.08643376,12.2171863,-5.1106365169999997,-13.86563651,-7.066207264,3.0086038510000002,7.8202248540000001,-4.9322464119999996,-9.7741359019999994,3.1749175950000001,-2.9343427790000001,-6.6357939610000001,-9.7141476840000003,-17.021130320000001,-0.018009640090000001,-0.0033801674650000002,0.00058509669160000004,0.0037041005400000001,0.003052896835,0.0049646225969999999,0.0028940459650000001,0.0018307942819999999,0.0022287923379999998,-0.003334534687,-0.0093614705799999996,-0.01206979391,-0.0037362184529999998,-0.00082097905380000005,0.01010821923,-0.001488064196,-0.011756349520000001,0.002352698515,0.0056469975400000004,-0.0048829768999999997,-0.01096644462,-0.0055763142250000002,-0.001115444247,0.00513167729,0.0052703377239999996,0.00022924716989999999,-0.0067348207569999999,-0.0038809464809999999,0.0026449568719999999,0.0027282105739999999,0.0035565638059999998,0.0012843640339999999,0.0001629947618,-0.0082676595429999993,-0.0027851587619999998,0.0023538109999999999,0.0082229669969999999,0.0081852511730000008,0.0005328349168,-0.0096446558499999994,-0.0074466595249999996,-0.01145261901,-0.0065045173930000002,0.0049698807410000004,0.010018728100000001,-0.01029152035,8.2285359080000003e-06,0.0082450099280000008,0.002650699181,-0.0077294993360000003,-0.0057046212299999999,0.0051779312380000001,0.010783152460000001,0.0099213139150000004,0.0054455638439999997,0.0036488948750000002,-0.00021383013940000001,-0.0030173282659999999,-0.0034112842589999999,-0.0079522443180000003,0.47350519660000001
DET_07W:x,-3.2210750290000001,2.8823714119999999,-0.53840547569999997,1.041464693,0.6840308907,4.3995077719999998,2.705260972,-3.4215261670000001,4.8777011129999996,0.59099216619999995,1.052867853,6.7855837079999999,-0.13061224969999999,-6.4006255349999996,2.5762762079999999,7.7971994159999998,7.9224585210000003,-0.23256643199999999,-8.9289204249999994,-2.954193428,6.457005863,6.6521627920000004,-3.6073683910000001,-9.1030434430000007,-4.1894193739999999,5.4770919249999999,7.48744663,0.1696531466,-6.106665564,-6.5171081480000002,6.495959289,8.4995424269999997,-9.3804450660000001,-6.6488369479999996,7.1979494390000003,5.2394401750000004,-2.0711073579999999,-7.7143342610000003,-3.2615937920000002,5.9413290490000001,8.4349346149999995,1.657399319,-7.3790203559999998,-4.015238257,5.6358356719999998,8.5268596579999993,-2.0749505020000001,-8.8657007280000002,-5.9175804850000002,0.40832655820000002,5.8033987659999999,-2.0929057609999999,-6.7327392550000003,0.33102847699999999,-0.53213108099999995,-2.9117174669999999,-4.746806393,-9.0319024559999992,-0.088666313920000003,-0.0006054750867,0.00073522798789999995,0.0021925883799999999,0.0015161912539999999,0.0019476501749999999,0.00072472508900000003,-0.00035615915770000002,-0.00023314717860000001,-0.0032519397710000001,-0.0056791717959999996,-0.0057107627650000003,-0.001389494282,0.00061569480590000002,0.0050717527380000002,-0.0019451843449999999,-0.0063642591939999998,0.0026976210169999998,0.0015434354249999999,-0.0034539421270000001,-0.0050107209489999999,-0.001447587474,0.00056691671149999997,0.002428699514,0.0016357887819999999,-0.00097596998359999998,-0.0039166401080000003,-0.0017143775579999999,0.0024838890670000001,0.001440704467,0.0017486464459999999,0.00020400471759999999,-0.00028843644309999998,-0.0048553697230000002,-0.0009816127182000001,0.0022133235989999999,0.0044987471200000004,0.0035699724309999998,-0.00047481558439999998,-0.0049886180269999997,-0.0035627119640000001,-0.0053089817960000002,-0.0015638659030000001,0.0038021039599999999,0.0044931823849999998,-0.0061118916179999996,0.0018146844479999999,0.0052707900559999998,-0.0001776102893,-0.0044175111950000004,-0.0013059320919999999,0.0045604418189999999,0.006463423926,0.0048912170620000004,0.0023336693980000002,0.00092807965650000004,-0.000779373727,-0.0024534038669999998,-0.0019795101999999999,-0.0035961382379999999,0.25061363019999999
DET_08W:x,-10.312370120000001,0.87555794919999996,-5.3252472429999997,5.5034482880000004,-3.1900880599999999,3.2736817550000001,-0.38809956330000001,-5.658511796,1.5318289430000001,3.2515011509999998,1.359574281,7.3195422499999996,2.9724319870000002,-6.175080887,-1.254736018,5.8862274169999997,10.13991429,3.1464945709999999,-9.6905372740000004,-6.4052073649999999,4.4545087900000002,8.8635884160000007,-0.76435960380000001,-8.9756209459999994,-6.8606871849999997,3.016195631,8.8596715009999993,3.7912194659999998,-5.2312343769999998,-8.671139342,7.6944987810000001,11.46774022,-8.9600880650000008,-7.3155360829999996,6.991204883,7.7098678669999998,1.215908019,-8.3527594500000006,-6.872031926,4.9900056050000003,11.243835839999999,5.2366644579999999,-7.0460965900000003,-7.511926237,3.5467750410000001,10.439207469999999,1.0230892840000001,-8.9154369399999993,-9.5991961660000005,-3.5400519780000002,7.9297843539999997,0.66085521609999998,-8.0301021190000004,-4.0965409509999997,2.9689983789999999,0.54249674439999995,-0.95559255330000004,-4.2558088950000004,-0.2902992439,0.0034482706670000002,0.0016809449980000001,0.0017466078969999999,0.00038814465530000002,-0.0012374808369999999,-0.0022057579320000002,-0.0043378099380000004,-0.0045568216269999996,-0.0061865200479999998,-0.0049096070590000001,-0.00051196742679999996,0.0012084510680000001,0.0035949748200000001,0.001473464238,-0.0045444582229999999,-0.0033948557849999999,0.0058280007449999999,-0.0038369236990000001,-0.0043357893249999996,0.00017828073909999999,0.0040661897790000004,0.0039107316410000002,0.0002241498775,-0.002875471132,-0.0039055096500000002,-0.0029216391390000001,0.0002756232551,0.0045690042150000002,0.00065736295230000002,0.00038899289169999998,-0.0014037772370000001,-0.0013136026570000001,-0.00375719568,0.001096531111,0.0040758821159999998,0.0025478220750000001,-0.00074684165619999998,-0.0026002265309999998,-0.0019445056830000001,-0.0004580139601,-8.9226681599999995e-05,0.0051946567260000003,0.0054546038090000004,-0.00046800477379999999,-0.004923293778,0.0065432832709999998,0.0053008505399999998,-0.0050595174349999999,-0.0030737752189999999,0.0047917582120000001,0.0078484462679999992,0.0053778179339999998,0.001132375239,-0.00064638443210000005,-0.0027281645399999999,-0.002458416257,-0.003831952439,-0.00146495,0.00026435064730000001,0.11607254960000001
DET_09W:x,-10.682265170000001,-1.778514559,-6.6742164239999999,6.3982673500000002,-5.0342974390000004,-0.085006945900000006,-3.3114772590000001,-4.1588295669999997,-2.9416051510000001,3.8052030069999998,4.5404579109999998,2.9506634470000002,4.169186077,-1.7934622360000001,-4.3550674730000001,-0.036208924759999997,5.6087428590000004,4.5104033430000001,-3.962793096,-5.6534376970000002,-0.60006672169999997,5.1838651389999999,2.6757332389999999,-2.813137979,-5.0002144609999997,-1.5437325079999999,4.3187440380000002,4.9715168509999996,-0.81488451439999998,-5.0616844849999998,3.7577502429999998,6.8170870040000002,-2.5065089,-3.0860064170000001,2.0805122599999999,5.072017336,3.7823639830000002,-3.3971473809999999,-5.9706761479999999,0.65762381619999999,6.5796673820000002,5.4021229699999997,-1.968653639,-6.0634939279999998,-0.98693525090000001,5.3928546270000002,3.5245903360000002,-2.9757548319999998,-6.9385470040000001,-5.225536548,4.7900144640000004,3.0513808870000001,-3.9695858159999999,-5.9013410339999997,4.5778310720000004,3.7335711580000002,3.5890430219999998,3.5202564170000001,-0.30276822289999999,0.0053177999449999999,0.0015382260069999999,0.0001405619492,-0.001022148224,-0.0036785997770000002,-0.0037446993410000001,-0.0055135502050000004,-0.0059382359119999999,-0.005007759015,-0.00076480087189999995,0.0052001926269999998,0.0030678235940000001,0.004234467768,-0.0032312523840000002,-0.0041291073409999999,0.0019685507619999999,0.0051216717619999999,-0.0067962216310000004,-0.0022862450980000002,0.0054293784949999997,0.0070056348920000001,0.0047124180320000002,-0.0022066866489999998,-0.0055935843670000002,-0.0042615609250000004,0.000108129096,0.0021434916579999999,0.0036330551930000001,-0.00059722474190000002,-0.0012782453269999999,-0.0021093008690000001,-0.0014786604530000001,-5.02615085e-05,0.002497083479,0.0032417676789999999,-0.001184803079,-0.0046849985210000002,-0.002987783422,0.002536481788,0.0030619657940000001,0.0053568567639999997,0.0086514508749999993,0.003477952081,-0.005266664955,-0.00034308453819999998,0.0070054032189999999,0.001757532756,-0.0066759803289999997,0.00040752023459999999,0.0078454780399999993,0.005946911666,0.00063421344560000005,-0.0035049167389999999,-0.003276344335,-0.0046372467910000001,-0.0025151295749999999,-0.0026408119939999998,6.0451447670000002e-05,0.0040600574599999996,-0.1004190687
