source_target_index,source_target,observation_index,observation_sextupole,observation_plane,kick_px_response,kick_py_response,bump_x_response_m_per_m,bump_y_response_m_per_m,normal_source_response,skew_source_response,k2_bx_center_x_response,k2_bx_center_y_response,k2_by_center_x_response,k2_by_center_y_response
1,SEX_09AW,1,SEX_09AW,x,-1.6759625766899209,-6.830868905920464e-15,1.0,-1.249398596990259e-25,0.45586182085965854,-1.8579963424103666e-15,-0.45586182085965854,1.857996342410397e-15,1.8579963424673215e-15,0.4558618208596585
1,SEX_09AW,1,SEX_09AW,y,-5.895366706292109e-15,-6.268556213553949,6.680665791090444e-29,0.9999999999999999,1.6035397441114538e-15,-1.7050472900866742,-1.6035397441113398e-15,1.7050472900866742,1.705047290086674,1.6035397438984252e-15
1,SEX_09AW,2,SEX_10W,x,-0.46791821159524316,-4.634118105685573e-15,0.6149812119844239,-2.1852131275087178e-16,0.12727375355390616,-1.260480124746476e-15,-0.12727375355390616,1.2604801247464845e-15,1.2604801247623774e-15,0.12727375355390613
1,SEX_09AW,2,SEX_10W,y,-7.331617014989871e-15,-7.542900351729822,5.3872816538692534e-17,1.0467956193308927,1.994199828077245e-15,-2.051668895670512,-1.9941998280771077e-15,2.051668895670512,2.0516688956705114,1.9941998278209094e-15
1,SEX_09AW,3,SEX_10AW,x,2.742947963186837,-7.20914447685748e-15,-0.006734749093710001,-8.571801501299432e-16,-0.7460818459868197,-1.9608872977052347e-15,0.7460818459868197,1.960887297705185e-15,1.960887297612019e-15,-0.7460818459868196
1,SEX_09AW,3,SEX_10AW,y,-4.8737385746378675e-15,-1.7779290088041968,3.462774031692005e-16,0.33310442139852514,1.3256568923015e-15,-0.48359669039474157,-1.3256568923014677e-15,0.48359669039474157,0.4835966903947415,1.3256568922410794e-15
1,SEX_09AW,4,SEX_12W,x,6.804696988382697,6.838756675032361e-15,0.0034369076441539354,2.1519365889924022e-16,-1.850877580840094,1.860141815608802e-15,1.850877580840094,-1.8601418156089256e-15,-1.86014181584005e-15,-1.8508775808400937
1,SEX_09AW,4,SEX_12W,y,-1.5531793910995564e-15,5.4752292125697455,9.412545045795754e-16,0.1501767081343906,4.224647943790794e-16,1.4892623458189709,-4.224647943791789e-16,-1.4892623458189709,-1.4892623458189707,4.2246479456514757e-16
1,SEX_09AW,5,SEX_13W,x,-1.4934201554565312,1.789476738950974e-15,0.0032758294347924283,2.9840715004489124e-16,0.4062102822841765,4.86737672994665e-16,-0.4062102822841765,-4.867376729946379e-16,-4.867376729439131e-16,0.40621028228417644
1,SEX_09AW,5,SEX_13W,y,5.3418311816050275e-16,15.324677858384774,2.1531613256859657e-15,0.12551534745115842,-1.4529780813965675e-16,4.1683123774806585,1.4529780813937829e-16,-4.1683123774806585,-4.168312377480658,-1.4529780761886836e-16
1,SEX_09AW,6,SEX_14W,x,-8.874766662832645,5.288354159255355e-15,0.006213376786112216,6.610153011065857e-16,2.4139365322904798,1.4384323313174566e-15,-2.4139365322904798,-1.4384323313172953e-15,-1.4384323310158595e-15,2.4139365322904793
1,SEX_09AW,6,SEX_14W,y,1.421909437521715e-15,9.080773367080283,1.1170422849586596e-15,-0.023827588014317277,-3.867593670059065e-16,2.4699703558458372,3.867593670057415e-16,-2.4699703558458372,-2.469970355845837,-3.867593666973087e-16
1,SEX_09AW,7,SEX_15W,x,-4.161264642512428,8.653126393700774e-16,0.00022095544363073946,2.5077205833045676e-17,1.1318639827633805,2.353650379086611e-16,-1.1318639827633805,-2.3536503790858545e-16,-2.3536503776724613e-16,1.1318639827633803
1,SEX_09AW,7,SEX_15W,y,4.708491566280366e-15,15.077724999309467,1.5066351965054626e-15,-0.254793091480241,-1.2807097060282596e-15,4.101141199812175,1.2807097060279857e-15,-4.101141199812175,-4.101141199812174,-1.2807097055158635e-15
1,SEX_09AW,8,SEX_16W,x,-3.6181386904679123,3.1605007464504863e-15,-0.0033648401260321812,-5.032935944769955e-16,0.9841337238072722,8.596562030345323e-16,-0.9841337238072722,-8.596562030344665e-16,-8.596562029115747e-16,0.984133723807272
1,SEX_09AW,8,SEX_16W,y,1.7621335037247987e-15,7.216644290341993,5.282978228416787e-16,-0.24128016412233755,-4.793003130131453e-16,1.9629272469730221,4.793003130130142e-16,-1.9629272469730221,-1.962927246973022,-4.793003127678973e-16
1,SEX_09AW,9,SEX_17W,x,3.182681794544357,2.9285139143701275e-16,-0.0009305631105834482,-2.5129229095559895e-16,-0.8656894481160652,7.965557847086748e-17,0.8656894481160652,-7.965557847092531e-17,-7.965557857902658e-17,-0.8656894481160651
1,SEX_09AW,9,SEX_17W,y,1.625197110349169e-15,9.9841678396028,3.7965021567132026e-16,-0.5511588336650186,-4.42053614014974e-16,2.715693652371962,4.4205361401479255e-16,-2.715693652371962,-2.7156936523719617,-4.4205361367567554e-16
1,SEX_09AW,10,SEX_18W,x,13.20076911599092,4.034570787066329e-15,0.0006593351107850833,-6.789352091781857e-16,-3.5906091995495304,1.0974032540820417e-15,3.5906091995495304,-1.0974032540822815e-15,-1.0974032545306517e-15,-3.59060919954953
1,SEX_09AW,10,SEX_18W,y,8.929644813403656e-16,-3.20131904011192,-4.127731759481359e-16,-0.002901537483425308,-2.4288633892457946e-16,-0.8707587789104423,2.4288633892463764e-16,0.8707587789104423,0.8707587789104422,-2.428863390333719e-16
1,SEX_09AW,11,SEX_19W,x,4.636571640289885,1.3462942372007863e-15,0.0015829586154979954,-1.3771739146334028e-16,-1.2611474861588488,3.661920325186139e-16,1.2611474861588488,-3.6619203251869814e-16,-3.661920326761814e-16,-1.2611474861588485
1,SEX_09AW,11,SEX_19W,y,1.4764020919766769e-15,-15.95686226254405,-1.4127855849204353e-15,0.3833836869312201,-4.0158136901765613e-16,-4.340266535411982,4.015813690179461e-16,4.340266535411982,4.340266535411981,-4.015813695599284e-16
1,SEX_09AW,12,SEX_20W,x,1.5281077795147051,-9.883523164456857e-15,0.005023866051385242,5.073309533271368e-16,-0.4156453160279998,-2.6883183007322654e-15,0.4156453160279998,2.688318300732238e-15,2.6883183006803343e-15,-0.41564531602799976
1,SEX_09AW,12,SEX_20W,y,3.572254522669282e-15,-7.153743769705316,-4.510432823100452e-16,0.2837063264446009,-9.716532301660447e-16,-1.9458183053598461,9.716532301661747e-16,1.9458183053598461,1.945818305359846,-9.716532304091547e-16
