scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm
all,0,1,1,0,0,0,0,0,0,0,0,0,3.1357568361342511e-15
all,0.40000000000000002,600,600,1.8112065524569881e-07,7.6297608168930545e-07,5.852288970175767e-07,2.4768553220045624e-06,1.4447717825731253e-07,6.380926236020616e-07,4.3826821287725809e-07,1.7357498851856406e-06,3.8716666666666666,9.9999962434786188e-14
all,0.56999999999999995,600,600,3.6778497291450707e-07,1.5501637383450782e-06,1.1883549195603383e-06,5.0303302949951484e-06,2.9336950837156906e-07,1.2969659767539083e-06,8.8993418869821982e-07,3.5268025340517799e-06,3.9283333333333332,9.9883229069402145e-14
all,0.80000000000000004,600,600,7.2446935486304644e-07,3.0558343556756611e-06,2.3408031910522436e-06,9.9110578636383943e-06,5.7786776734829643e-07,2.5581310649314467e-06,1.752963552806414e-06,6.9529086220760815e-06,4.1133333333333333,9.9737216821641947e-14
all,1.1299999999999999,600,600,1.4454148646452158e-06,6.1033964154973711e-06,4.6701032097152809e-06,1.9780548285255485e-05,1.1528842804907266e-06,5.1134440382427307e-06,3.497281552221729e-06,1.3888266431130454e-05,4.5933333333333337,9.9518381095195313e-14
horizontal,0,1,1,0,0,0,0,0,0,0,0,0,3.1357568361342511e-15
horizontal,0.40000000000000002,600,600,9.1572179041674559e-08,3.861379269809283e-07,2.7273465846981248e-07,1.2478808126406896e-06,6.2684634615835694e-20,2.0530836200801576e-19,1.7232159349764202e-19,5.9879853120992336e-19,3.375,9.9702074785931467e-14
horizontal,0.56999999999999995,600,600,1.8594710358090697e-07,7.8410314044855265e-07,5.5382591329299195e-07,2.5304444217611561e-06,8.793351691987389e-20,2.7860737200846449e-19,2.4043131919013656e-19,7.3789551478492644e-19,3.6850000000000001,9.9667397278925226e-14
horizontal,0.80000000000000004,600,600,3.6628110322220358e-07,1.5445562528036385e-06,1.0909570659375054e-06,4.9751797697859161e-06,1.290491393160781e-19,4.7688257853241488e-19,3.5496176808320811e-19,1.3850823339744156e-18,3.7016666666666667,9.9895101448960672e-14
horizontal,1.1299999999999999,600,600,7.3077572472201648e-07,3.0816181546519531e-06,2.1766578783109023e-06,9.8995358506986193e-06,1.7711249100495707e-19,5.8236076932678035e-19,4.8828717326469059e-19,1.6931266640233321e-18,4.1183333333333332,9.9912600700849927e-14
vertical,0,1,1,0,0,0,0,0,0,0,0,0,3.1357568361342511e-15
vertical,0.40000000000000002,600,600,1.3190240894880246e-07,6.4830235754793511e-07,4.3854269057248847e-07,2.5601378816584063e-06,3.663153436459109e-10,2.9330000217578942e-09,1.0922696115893865e-09,9.6074580651110339e-09,3.2766666666666668,9.9830856770081017e-14
vertical,0.56999999999999995,600,600,2.6784502743990372e-07,1.3164414890715498e-06,8.9051759843779658e-07,5.1985890339861361e-06,1.0599892834045934e-09,8.4871956216370989e-09,3.1606484329207132e-09,2.7800088145684028e-08,3.6400000000000001,9.9966472953046166e-14
vertical,0.80000000000000004,600,600,5.2761364978511812e-07,2.5931091879252808e-06,1.7541814171216029e-06,1.0240029554114566e-05,2.930557380461648e-09,2.3465178470145438e-08,8.7382565082840493e-09,7.6855865007883703e-08,3.8666666666666667,9.9990922259305859e-14
vertical,1.1299999999999999,600,600,1.052682323012646e-06,5.1733926793734209e-06,3.49989435525053e-06,2.0429076400500408e-05,8.2589015345351725e-09,6.6133031682060291e-08,2.4626157966616783e-08,2.1657798487950686e-07,4.0999999999999996,9.9877505830529902e-14
