target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_10AW,entry,y,1,0,2,3,-8.075788545498889e-49
SEX_10AW,entry,y,1,1,1,3,-1.1940753535210047e-7
SEX_10AW,entry,y,1,2,0,3,6.334641402371737e-22
SEX_10AW,entry,y,2,0,1,3,-1.8802438831865796e-22
SEX_10AW,entry,y,2,1,0,3,2.9962897705306824e-8
SEX_10AW,entry,y,3,0,0,3,1.1201788559811344e-23
SEX_10AW,entry,y,0,0,4,4,1.0030342715687604e-93
SEX_10AW,entry,y,0,1,3,4,3.344231176855982e-52
SEX_10AW,entry,y,0,2,2,4,1.2368717772951308e-36
SEX_10AW,entry,y,0,3,1,4,-2.6293220563763557e-9
SEX_10AW,entry,y,0,4,0,4,3.851243680121098e-24
SEX_10AW,entry,y,1,0,3,4,-1.0364188615854479e-64
SEX_10AW,entry,y,1,1,2,4,-1.205694328756258e-23
SEX_10AW,entry,y,1,2,1,4,-3.2662650068254595e-23
SEX_10AW,entry,y,1,3,0,4,2.9840492554837984e-10
SEX_10AW,entry,y,2,0,2,4,4.427357978035907e-37
SEX_10AW,entry,y,2,1,1,4,8.421770481978086e-10
SEX_10AW,entry,y,2,2,0,4,2.2852200902289385e-24
SEX_10AW,entry,y,3,0,1,4,1.7867613119123822e-24
SEX_10AW,entry,y,3,1,0,4,2.78719287209876e-10
SEX_10AW,entry,y,4,0,0,4,1.1962508453329663e-24
SEX_10AW,entry,py,0,0,0,0,-3.52075150143546e-30
SEX_10AW,entry,py,0,0,1,1,1.142213521719478e-45
SEX_10AW,entry,py,0,1,0,1,5.834617617393043e-5
SEX_10AW,entry,py,1,0,0,1,8.100282021834747e-20
SEX_10AW,entry,py,0,0,2,2,5.978768631505279e-62
SEX_10AW,entry,py,0,1,1,2,1.604260448216644e-20
SEX_10AW,entry,py,0,2,0,2,5.72034908314036e-21
SEX_10AW,entry,py,1,0,1,2,-1.5049718259569599e-33
SEX_10AW,entry,py,1,1,0,2,5.805729500864975e-7
SEX_10AW,entry,py,2,0,0,2,-2.6077975221888652e-23
SEX_10AW,entry,py,0,0,3,3,4.5177666361903e-78
SEX_10AW,entry,py,0,1,2,3,8.097867479349265e-37
SEX_10AW,entry,py,0,2,1,3,3.0191679179389676e-23
SEX_10AW,entry,py,0,3,0,3,5.109357153416952e-9
SEX_10AW,entry,py,1,0,2,3,-1.5501484416998857e-49
SEX_10AW,entry,py,1,1,1,3,-2.2191963515350862e-8
SEX_10AW,entry,py,1,2,0,3,8.81132577347324e-23
SEX_10AW,entry,py,2,0,1,3,-4.7282578968754715e-23
SEX_10AW,entry,py,2,1,0,3,1.896993305355978e-9
SEX_10AW,entry,py,3,0,0,3,3.019841983438136e-24
SEX_10AW,entry,py,0,0,4,4,2.1555866743919138e-94
SEX_10AW,entry,py,0,1,3,4,6.214982815058317e-53
SEX_10AW,entry,py,0,2,2,4,2.397408262122245e-37
SEX_10AW,entry,py,0,3,1,4,-3.661140130200163e-10
SEX_10AW,entry,py,0,4,0,4,6.82879861015478e-25
SEX_10AW,entry,py,1,0,3,4,-1.7799683778553392e-65
SEX_10AW,entry,py,1,1,2,4,-2.2407366169651823e-24
SEX_10AW,entry,py,1,2,1,4,-4.384739211495193e-24
SEX_10AW,entry,py,1,3,0,4,5.243641748310464e-11
SEX_10AW,entry,py,2,0,2,4,9.618602845709226e-38
SEX_10AW,entry,py,2,1,1,4,1.7790520836239478e-11
SEX_10AW,entry,py,2,2,0,4,1.7584980173017194e-25
SEX_10AW,entry,py,3,0,1,4,1.6862099969184594e-26
SEX_10AW,entry,py,3,1,0,4,2.4988688515555126e-11
SEX_10AW,entry,py,4,0,0,4,1.4151629191971147e-25
SEX_10AW,entry,z,0,0,0,0,-1.0953036122768406e-14
SEX_10AW,entry,z,0,0,1,1,1.9387764533044093e-37
SEX_10AW,entry,z,0,1,0,1,2.147918760769142e-19
SEX_10AW,entry,z,1,0,0,1,2.7192785739045245e-6
SEX_10AW,entry,z,0,0,2,2,-1.4128505606296467e-53
SEX_10AW,entry,z,0,1,1,2,-1.599416001995118e-37
SEX_10AW,entry,z,0,2,0,2,-2.846956123712294e-7
SEX_10AW,entry,z,1,0,1,2,-5.362937527319384e-25
SEX_10AW,entry,z,1,1,0,2,8.165885586122373e-23
SEX_10AW,entry,z,2,0,0,2,-8.349095872561163e-8
SEX_10AW,entry,z,0,0,3,3,1.2862894842906318e-69
SEX_10AW,entry,z,0,1,2,3,-1.3634122888005268e-53
SEX_10AW,entry,z,0,2,1,3,-3.86005923488057e-13
SEX_10AW,entry,z,0,3,0,3,-2.3809406891032885e-23
SEX_10AW,entry,z,1,0,2,3,5.862246438671382e-41
SEX_10AW,entry,z,1,1,1,3,1.3042578628180644e-25
SEX_10AW,entry,z,1,2,0,3,-3.5323186325390333e-9
SEX_10AW,entry,z,2,0,1,3,3.7088219476268327e-13
SEX_10AW,entry,z,2,1,0,3,-7.003850472505708e-23
SEX_10AW,entry,z,3,0,0,3,1.426253505198367e-11
SEX_10AW,entry,z,0,0,4,4,-1.3114683826826357e-85
SEX_10AW,entry,z,0,1,3,4,-5.995371161578962e-70
SEX_10AW,entry,z,0,2,2,4,-3.8976497991292004e-29
SEX_10AW,entry,z,0,3,1,4,6.927916054267112e-25
SEX_10AW,entry,z,0,4,0,4,-5.275184000122651e-11
SEX_10AW,entry,z,1,0,3,4,-7.116157592602435e-57
SEX_10AW,entry,z,1,1,2,4,2.5652778334766275e-41
SEX_10AW,entry,z,1,2,1,4,7.768110344132634e-11
SEX_10AW,entry,z,1,3,0,4,-1.1982166616966678e-24
SEX_10AW,entry,z,2,0,2,4,-8.108054156502458e-29
SEX_10AW,entry,z,2,1,1,4,1.182216499014377e-24
SEX_10AW,entry,z,2,2,0,4,-1.2195611416821336e-10
SEX_10AW,entry,z,3,0,1,4,-1.0325793805604564e-11
SEX_10AW,entry,z,3,1,0,4,-4.286515190075756e-25
SEX_10AW,entry,z,4,0,0,4,-3.482611959193967e-12
SEX_10AW,entry,pz,0,0,0,0,5.244648461889997e-14
SEX_10AW,entry,pz,0,0,1,1,-4.741661429753333e-37
SEX_10AW,entry,pz,0,1,0,1,2.2108475737921594e-19
SEX_10AW,entry,pz,1,0,0,1,8.398669217143459e-6
SEX_10AW,entry,pz,0,0,2,2,3.4553519923011913e-53
SEX_10AW,entry,pz,0,1,1,2,7.196916870707737e-36
SEX_10AW,entry,pz,0,2,0,2,3.039903895892377e-7
SEX_10AW,entry,pz,1,0,1,2,1.3115901908602425e-24
SEX_10AW,entry,pz,1,1,0,2,9.238990502706103e-21
SEX_10AW,entry,pz,2,0,0,2,5.038288172240446e-8
SEX_10AW,entry,pz,0,0,3,3,-3.1458172608485124e-69
SEX_10AW,entry,pz,0,1,2,3,5.492789412818332e-52
SEX_10AW,entry,pz,0,2,1,3,9.43964244509506e-13
SEX_10AW,entry,pz,0,3,0,3,-1.0636871498023272e-23
SEX_10AW,entry,pz,1,0,2,3,-1.4336981199731986e-40
SEX_10AW,entry,pz,1,1,1,3,-8.863067712101973e-24
SEX_10AW,entry,pz,1,2,0,3,2.0194055744492446e-10
SEX_10AW,entry,pz,2,0,1,3,-9.070349491591227e-13
SEX_10AW,entry,pz,2,1,0,3,-3.056411360238964e-23
SEX_10AW,entry,pz,3,0,0,3,3.6315175631286443e-11
SEX_10AW,entry,pz,0,0,4,4,3.207391995139763e-85
SEX_10AW,entry,pz,0,1,3,4,3.2566586785315974e-70
SEX_10AW,entry,pz,0,2,2,4,9.530957124396616e-29
SEX_10AW,entry,pz,0,3,1,4,7.340057462095425e-25
SEX_10AW,entry,pz,0,4,0,4,2.7352171808338748e-12
SEX_10AW,entry,pz,1,0,3,4,1.7403591261433422e-56
SEX_10AW,entry,pz,1,1,2,4,-1.264215746760492e-39
SEX_10AW,entry,pz,1,2,1,4,-6.117259923332755e-11
SEX_10AW,entry,pz,1,3,0,4,-5.138257706668527e-25
SEX_10AW,entry,pz,2,0,2,4,1.982932189061961e-28
SEX_10AW,entry,pz,2,1,1,4,9.547520568964036e-26
SEX_10AW,entry,pz,2,2,0,4,-1.035069539906535e-11
SEX_10AW,entry,pz,3,0,1,4,-2.434154166497421e-11
SEX_10AW,entry,pz,3,1,0,4,-7.885880868521807e-27
SEX_10AW,entry,pz,4,0,0,4,-1.2573493742404e-12
SEX_10AW,exit,x,0,0,0,0,-6.974453832213596e-16
SEX_10AW,exit,x,0,0,1,1,2.5507696088532037e-32
SEX_10AW,exit,x,0,1,0,1,-1.9306252702854395e-19
SEX_10AW,exit,x,1,0,0,1,0.0009758277992557818
SEX_10AW,exit,x,0,0,2,2,-1.8589221772498865e-48
SEX_10AW,exit,x,0,1,1,2,-6.983566002759259e-33
SEX_10AW,exit,x,0,2,0,2,8.049890320101176e-6
SEX_10AW,exit,x,1,0,1,2,-7.056182052256602e-20
SEX_10AW,exit,x,1,1,0,2,1.7420729021691718e-20
SEX_10AW,exit,x,2,0,0,2,-1.0694100326547925e-6
SEX_10AW,exit,x,0,0,3,3,1.6924187489790512e-64
SEX_10AW,exit,x,0,1,2,3,-7.793604109411163e-49
SEX_10AW,exit,x,0,2,1,3,-5.080060986829226e-8
SEX_10AW,exit,x,0,3,0,3,4.683955436639102e-22
SEX_10AW,exit,x,1,0,2,3,7.713238787455644e-36
SEX_10AW,exit,x,1,1,1,3,9.375658743809379e-23
SEX_10AW,exit,x,1,2,0,3,1.0679183561488523e-7
SEX_10AW,exit,x,2,0,1,3,4.880075846572003e-8
SEX_10AW,exit,x,2,1,0,3,3.1412962929367474e-22
SEX_10AW,exit,x,3,0,0,3,9.983656152336741e-9
SEX_10AW,exit,x,0,0,4,4,-1.725554598788719e-80
SEX_10AW,exit,x,0,1,3,4,-8.690662973032881e-65
SEX_10AW,exit,x,0,2,2,4,-5.130581924752011e-24
SEX_10AW,exit,x,0,3,1,4,-1.993341664715976e-23
SEX_10AW,exit,x,0,4,0,4,6.956207432944801e-10
SEX_10AW,exit,x,1,0,3,4,-9.363092261212473e-52
SEX_10AW,exit,x,1,1,2,4,1.0376033891502396e-36
SEX_10AW,exit,x,1,2,1,4,-1.6323741636034096e-9
SEX_10AW,exit,x,1,3,0,4,1.2850259908580672e-23
SEX_10AW,exit,x,2,0,2,4,-1.0668345441710075e-23
SEX_10AW,exit,x,2,1,1,4,2.1658095833589033e-23
SEX_10AW,exit,x,2,2,0,4,9.183945248275304e-10
SEX_10AW,exit,x,3,0,1,4,-1.3220969708290519e-9
SEX_10AW,exit,x,3,1,0,4,2.917577897041108e-24
SEX_10AW,exit,x,4,0,0,4,1.0273937449108379e-10
SEX_10AW,exit,px,0,0,0,0,1.23200885900522e-16
SEX_10AW,exit,px,0,0,1,1,-6.069808907244394e-33
SEX_10AW,exit,px,0,1,0,1,9.529554026828204e-20
SEX_10AW,exit,px,1,0,0,1,-8.886838508667826e-5
SEX_10AW,exit,px,0,0,2,2,4.423324754986813e-49
SEX_10AW,exit,px,0,1,1,2,1.6784979959768612e-33
SEX_10AW,exit,px,0,2,0,2,-6.149845318997651e-7
SEX_10AW,exit,px,1,0,1,2,1.6790199083301906e-20
SEX_10AW,exit,px,1,1,0,2,-1.5242199048410308e-21
SEX_10AW,exit,px,2,0,0,2,2.2617254380314497e-7
SEX_10AW,exit,px,0,0,3,3,-4.027099297099659e-65
SEX_10AW,exit,px,0,1,2,3,1.8212541860198133e-49
SEX_10AW,exit,px,0,2,1,3,1.2085754967979016e-8
SEX_10AW,exit,px,0,3,0,3,-4.929274195011772e-23
SEX_10AW,exit,px,1,0,2,3,-1.8353486665484656e-36
SEX_10AW,exit,px,1,1,1,3,3.0931461196871764e-23
SEX_10AW,exit,px,1,2,0,3,-8.278036230219702e-9
SEX_10AW,exit,px,2,0,1,3,-1.1611676267463967e-8
SEX_10AW,exit,px,2,1,0,3,-2.402066607039219e-23
SEX_10AW,exit,px,3,0,0,3,-1.3228526852841852e-9
SEX_10AW,exit,px,0,0,4,4,4.1059332268752473e-81
SEX_10AW,exit,px,0,1,3,4,1.991831500864604e-65
SEX_10AW,exit,px,0,2,2,4,1.2204068198504793e-24
SEX_10AW,exit,px,0,3,1,4,2.4473319111202266e-24
SEX_10AW,exit,px,0,4,0,4,-6.683680364324194e-11
SEX_10AW,exit,px,1,0,3,4,2.227923752822498e-52
SEX_10AW,exit,px,1,1,2,4,-2.369315118497778e-37
SEX_10AW,exit,px,1,2,1,4,7.52722152372577e-11
SEX_10AW,exit,px,1,3,0,4,-1.0379553929644464e-24
SEX_10AW,exit,px,2,0,2,4,2.5384759972978318e-24
SEX_10AW,exit,px,2,1,1,4,-2.0641735611376316e-24
SEX_10AW,exit,px,2,2,0,4,-5.0459558528161e-11
SEX_10AW,exit,px,3,0,1,4,1.3239097428159968e-10
SEX_10AW,exit,px,3,1,0,4,-7.005773886568214e-26
SEX_10AW,exit,px,4,0,0,4,-1.3394415884656313e-11
SEX_10AW,exit,y,0,0,0,0,7.090501003036061e-29
SEX_10AW,exit,y,0,0,1,1,6.366015080537548e-45
SEX_10AW,exit,y,0,1,0,1,0.0010158701599192212
SEX_10AW,exit,y,1,0,0,1,1.5756297366883e-18
SEX_10AW,exit,y,0,0,2,2,3.2843836276802656e-61
SEX_10AW,exit,y,0,1,1,2,8.801055309816797e-20
SEX_10AW,exit,y,0,2,0,2,2.2124283412416284e-20
SEX_10AW,exit,y,1,0,1,2,-8.183247858239426e-33
SEX_10AW,exit,y,1,1,0,2,4.618263502856165e-6
SEX_10AW,exit,y,2,0,0,2,-2.3811772267706724e-21
SEX_10AW,exit,y,0,0,3,3,2.583662747212655e-77
SEX_10AW,exit,y,0,1,2,3,4.442392234846519e-36
SEX_10AW,exit,y,0,2,1,3,2.2879459407350095e-22
SEX_10AW,exit,y,0,3,0,3,3.8073977989159865e-8
SEX_10AW,exit,y,1,0,2,3,-8.239172900839914e-49
SEX_10AW,exit,y,1,1,1,3,-1.217550229105617e-7
SEX_10AW,exit,y,1,2,0,3,6.564699720880362e-22
SEX_10AW,exit,y,2,0,1,3,-1.951576507814738e-22
SEX_10AW,exit,y,2,1,0,3,3.0425900118377856e-8
SEX_10AW,exit,y,3,0,0,3,1.2083882950198336e-23
SEX_10AW,exit,y,0,0,4,4,1.0262665936744556e-93
SEX_10AW,exit,y,0,1,3,4,3.4095472629998006e-52
SEX_10AW,exit,y,0,2,2,4,1.2610340507294296e-36
SEX_10AW,exit,y,0,3,1,4,-2.697778487321882e-9
SEX_10AW,exit,y,0,4,0,4,4.0266777510599964e-24
SEX_10AW,exit,y,1,0,3,4,-1.0550644977430898e-64
SEX_10AW,exit,y,1,1,2,4,-1.2293184558076734e-23
SEX_10AW,exit,y,1,2,1,4,-3.367190897792422e-23
SEX_10AW,exit,y,1,3,0,4,3.0984909242512765e-10
SEX_10AW,exit,y,2,0,2,4,4.524124135042774e-37
SEX_10AW,exit,y,2,1,1,4,8.605772306290867e-10
SEX_10AW,exit,y,2,2,0,4,2.3143766980546032e-24
SEX_10AW,exit,y,3,0,1,4,1.778058439198481e-24
SEX_10AW,exit,y,3,1,0,4,2.849735450149886e-10
SEX_10AW,exit,y,4,0,0,4,1.2342833888970923e-24
SEX_10AW,exit,py,0,0,0,0,-3.520751501435454e-30
SEX_10AW,exit,py,0,0,1,1,-2.4458004195841162e-46
SEX_10AW,exit,py,0,1,0,1,5.834617617393051e-5
SEX_10AW,exit,py,1,0,0,1,8.100282021833996e-20
SEX_10AW,exit,py,0,0,2,2,-1.2779094935689674e-62
SEX_10AW,exit,py,0,1,1,2,-3.536598121250951e-21
SEX_10AW,exit,py,0,2,0,2,5.7434293034074724e-21
SEX_10AW,exit,py,1,0,1,2,3.82861110779011e-34
SEX_10AW,exit,py,1,1,0,2,4.698846587152273e-7
