sample_id,scenario,rho,trial_id,active_rms_rad,global_rms_rad,maximum_abs_kick_rad,converged,newton_iterations,closure_norm,x_rmse_m,x_max_abs_m,y_rmse_m,y_max_abs_m
16,all,0.10000000000000001,16,4.9999999999999998e-07,5.0000000000000008e-07,1.5537014593033294e-06,true,2,2.4870053546407755e-14,5.9264497780969769e-09,1.6577323095831598e-08,3.0451742414993319e-09,8.2833804042158196e-09
17,all,0.10000000000000001,17,4.9999999999999998e-07,5.0000000000000008e-07,1.2407454384820868e-06,true,3,7.991477366647377e-14,1.3354587743856944e-08,3.9257591935917824e-08,1.0989412080888969e-08,2.6164757757298927e-08
18,all,0.10000000000000001,18,4.9999999999999998e-07,5.0000000000000008e-07,1.6463262251801219e-06,true,2,2.893050654510596e-15,6.7780967337872209e-09,2.7312524538899985e-08,3.9893820020286641e-09,1.383288830127062e-08
19,all,0.10000000000000001,19,4.9999999999999998e-07,4.9999999999999998e-07,1.6060292256417712e-06,true,5,5.2162030246023372e-14,2.953852613823024e-09,1.2982339658157427e-08,2.6417049844140557e-09,6.9360981995467364e-09
20,all,0.10000000000000001,20,5.0000000000000008e-07,5.0000000000000008e-07,1.5253405192516177e-06,true,2,2.3176612459620179e-14,6.3122808753683091e-09,1.8357324754053606e-08,4.5866433717890346e-09,1.6337172391611189e-08
21,all,0.10000000000000001,21,5.0000000000000019e-07,5.0000000000000008e-07,1.3199476776118266e-06,true,5,4.2572213075943497e-15,5.1585021977966045e-09,1.6070887554758828e-08,5.3113098061645022e-09,1.2209761532558209e-08
22,all,0.10000000000000001,22,5.0000000000000008e-07,5.0000000000000008e-07,1.7244675434726411e-06,true,3,4.8980442925689295e-14,4.5232023556549956e-09,1.7379469228334665e-08,3.8666043534162175e-09,1.3487714711513674e-08
23,all,0.10000000000000001,23,5.0000000000000008e-07,5.0000000000000008e-07,1.6675665488224945e-06,true,2,5.8762913962545314e-15,1.0228754616299041e-08,3.8062292482751725e-08,6.8555269177534252e-09,1.5851682368746463e-08
24,all,0.10000000000000001,24,5.0000000000000008e-07,5.0000000000000008e-07,1.2290581004056986e-06,true,4,3.8133409322871462e-14,2.2403958070102611e-09,6.4359352690973592e-09,2.7797274336933749e-09,8.4025614837041681e-09
25,all,0.10000000000000001,25,4.9999999999999987e-07,4.9999999999999998e-07,1.3866712472112904e-06,true,4,4.3475797205446205e-15,3.5969616299847521e-09,1.2242980214696719e-08,6.6967942437483328e-09,1.7260779687534053e-08
26,all,0.10000000000000001,26,5.0000000000000008e-07,5.0000000000000008e-07,1.3538673095582889e-06,true,2,3.1479789927539152e-14,1.6864648331031963e-08,4.6156270784580844e-08,7.321527286522647e-09,2.2397690136456029e-08
27,all,0.10000000000000001,27,5.000000000000003e-07,5.0000000000000008e-07,1.1474601769823875e-06,true,2,4.7225566731144365e-14,4.5515188240717256e-09,1.8020466674428803e-08,2.3434645497996485e-09,5.684714307128253e-09
28,all,0.10000000000000001,28,5.0000000000000008e-07,5.0000000000000008e-07,1.29865042545612e-06,true,3,9.5434645936008196e-14,7.6497454738255294e-09,2.2085196772075877e-08,1.1580711619297697e-08,3.2100825959413895e-08
29,all,0.10000000000000001,29,5.0000000000000019e-07,5.0000000000000008e-07,1.4035885779243687e-06,true,3,3.2892289846754862e-14,7.3980905808619393e-09,2.2430184161426059e-08,6.2707916182331701e-09,1.3611288099188022e-08
30,all,0.10000000000000001,30,5.0000000000000019e-07,5.0000000000000008e-07,1.2372215188062512e-06,true,2,1.9332768696624948e-14,1.3984904349220792e-08,3.9900460128625137e-08,1.8569208137709057e-08,4.6466983973648788e-08
31,all,0.10000000000000001,31,5.0000000000000008e-07,5.0000000000000008e-07,1.7349470284417442e-06,true,2,2.6345242932735563e-15,8.217869736861826e-09,2.2528921840916927e-08,5.2078421001495372e-09,1.2815875641329511e-08
32,all,0.10000000000000001,32,5.0000000000000008e-07,5.0000000000000008e-07,1.52307962857029e-06,true,2,2.3480419158013401e-14,5.2251120806944282e-09,1.8340156198413948e-08,4.851990291053712e-09,1.8341294805244974e-08
33,all,0.10000000000000001,33,4.9999999999999998e-07,5.0000000000000008e-07,1.7916637274805751e-06,true,3,6.4692717346046126e-15,6.7416320373717862e-09,2.6417305381415401e-08,9.7606619249028996e-09,2.2113465977438964e-08
34,all,0.10000000000000001,34,5.000000000000003e-07,5.0000000000000019e-07,1.1367539009465724e-06,true,2,2.2616499257883235e-14,3.1609670578837467e-09,1.0724808274104047e-08,2.4256066057830021e-09,9.2374273274250119e-09
35,all,0.10000000000000001,35,5.0000000000000008e-07,4.9999999999999998e-07,1.1625014313279643e-06,true,10,4.9355209350678373e-15,4.6785292494457929e-09,1.0862569156666613e-08,2.1894522777345623e-09,6.4757507280512657e-09
36,all,0.10000000000000001,36,4.9999999999999998e-07,4.9999999999999998e-07,1.4320532623707106e-06,true,2,6.6359851925975541e-15,1.7009229504488635e-08,6.9763558234112177e-08,7.5297672265262352e-09,2.1703741505261142e-08
37,all,0.10000000000000001,37,5.0000000000000008e-07,5.0000000000000008e-07,1.2270016848918412e-06,true,3,2.6917075342976647e-14,3.2450199063746996e-09,8.5715910445871568e-09,2.0447811655763622e-09,6.662271460016302e-09
38,all,0.10000000000000001,38,5.0000000000000008e-07,5.0000000000000008e-07,1.4029999626929661e-06,true,3,4.0663245664562374e-14,3.604912103056903e-09,1.0065722703261892e-08,4.9973888731130773e-09,1.8945451351992757e-08
39,all,0.10000000000000001,39,5.0000000000000008e-07,5.0000000000000019e-07,1.1554820884604207e-06,true,2,2.4467063731712903e-14,1.0311941527565069e-08,2.8622893329804944e-08,8.0089685697333347e-09,2.3699359111891555e-08
40,all,0.10000000000000001,40,5.0000000000000008e-07,5.0000000000000008e-07,1.8087901925132936e-06,true,8,1.5315272021406915e-14,9.5395375558569073e-09,2.8030165011988517e-08,7.6839762078815425e-09,2.1481424554666061e-08
41,all,0.10000000000000001,41,4.9999999999999998e-07,5.0000000000000008e-07,1.1678379897304301e-06,true,3,7.551387937949228e-14,8.9026240657584926e-09,1.9169386916359499e-08,1.1134996728579791e-08,2.5123731156873662e-08
42,all,0.10000000000000001,42,5.000000000000003e-07,5.000000000000003e-07,1.5837039990648683e-06,true,3,2.907389126006289e-15,4.9135870197649249e-09,1.4439934515469988e-08,3.4765497338027327e-09,1.3999281695059598e-08
43,all,0.10000000000000001,43,5.0000000000000008e-07,4.9999999999999998e-07,1.3302426521428213e-06,true,2,8.3130010647670886e-15,3.5831227599638032e-09,1.4438334149796672e-08,5.0451595236545707e-09,1.3652192962516338e-08
44,all,0.10000000000000001,44,4.9999999999999987e-07,4.9999999999999998e-07,1.1098592140099874e-06,true,2,7.405893630323748e-14,3.6527573758571838e-09,1.0365501047771009e-08,4.0484807230926339e-09,1.794924208319616e-08
45,all,0.10000000000000001,45,5.0000000000000008e-07,5.0000000000000008e-07,1.7301378212922268e-06,true,2,2.4159366913155273e-14,3.5946950280287686e-09,1.1681271314817332e-08,2.6552224074390323e-09,9.5530741706514202e-09
46,all,0.10000000000000001,46,5.0000000000000019e-07,5.0000000000000019e-07,1.385324502588055e-06,true,2,3.7503559760585449e-14,2.6163644908717162e-09,8.1056568540516238e-09,4.1637575540007067e-09,1.0949263465301299e-08
47,all,0.10000000000000001,47,4.9999999999999998e-07,5.0000000000000008e-07,1.243542644510743e-06,true,2,2.1075734121473086e-14,1.8865863287685495e-09,6.2497186419097073e-09,3.6087041444850349e-09,1.0884626602705554e-08
48,all,0.10000000000000001,48,5.0000000000000008e-07,5.0000000000000008e-07,1.4979128488570823e-06,true,7,1.0309860869769599e-14,4.3244584026349351e-09,9.7591424299409146e-09,2.4898994849348458e-09,6.9505715092620947e-09
49,all,0.10000000000000001,49,5.0000000000000008e-07,5.0000000000000008e-07,1.3316084467336671e-06,true,2,6.3811750484136227e-14,3.8013373342982686e-09,8.356942011664148e-09,3.3960370835656675e-09,9.399255975603882e-09
50,all,0.10000000000000001,50,5.0000000000000008e-07,5.0000000000000008e-07,1.32736687437885e-06,true,2,3.9754684265574435e-15,4.7300799700584481e-09,1.7632044064380681e-08,8.7827952832049952e-09,2.6499317512981407e-08
51,all,0.10000000000000001,51,5.0000000000000008e-07,5.0000000000000008e-07,1.2834641850278274e-06,true,7,8.0923524504227339e-14,8.2488671600255893e-09,2.6580021177113888e-08,4.4660781998642061e-09,1.3660584838242154e-08
52,all,0.10000000000000001,52,5.0000000000000008e-07,5.0000000000000008e-07,1.7974890022521372e-06,true,2,7.8600230705699552e-14,3.4256569381117683e-09,1.395855669418522e-08,5.102958622974735e-09,1.2928321958555894e-08
53,all,0.10000000000000001,53,5.0000000000000008e-07,5.0000000000000008e-07,1.7268887222805605e-06,true,5,6.7134919382263319e-14,8.5312832563057688e-09,2.7643292767678962e-08,1.1387089140962637e-08,3.3720917303885515e-08
54,all,0.10000000000000001,54,5.0000000000000008e-07,5.0000000000000008e-07,1.8027907095733134e-06,true,5,5.792990401486747e-14,6.2428126667521965e-09,1.6439794657541196e-08,6.1657967431011567e-09,1.3423666220691716e-08
55,all,0.10000000000000001,55,4.9999999999999998e-07,5.0000000000000008e-07,1.1927566655396647e-06,true,2,1.7505430119905566e-14,5.3553298769377768e-09,1.7322053010720984e-08,8.1863307447734196e-09,2.3013241796253001e-08
56,all,0.10000000000000001,56,5.0000000000000008e-07,5.000000000000003e-07,1.9402477346631453e-06,true,6,1.8595258481909008e-14,5.0083498422840617e-09,1.7331401640230393e-08,5.7840585622417093e-09,1.5409328063827163e-08
57,all,0.10000000000000001,57,5.0000000000000008e-07,4.9999999999999998e-07,1.5883118420246066e-06,true,3,1.1617344145996757e-14,1.9827206406841076e-09,7.5238590427351149e-09,2.9045006454354634e-09,8.4185848133340232e-09
58,all,0.10000000000000001,58,4.9999999999999998e-07,5.0000000000000008e-07,1.2920404321746707e-06,true,4,1.231367748631349e-14,9.4729921717667415e-09,4.9809077713042216e-08,1.0256698122684679e-08,3.583900056383993e-08
59,all,0.10000000000000001,59,5.000000000000003e-07,5.0000000000000008e-07,1.3367642185173168e-06,true,4,3.4723664862994916e-14,7.368865766536893e-09,2.4147100145810452e-08,3.3455848826784482e-09,7.6408657644227193e-09
60,all,0.10000000000000001,60,5.0000000000000008e-07,5.0000000000000008e-07,1.4523523693585234e-06,true,5,1.161554821213701e-14,4.7685770357452697e-09,1.3835256565397636e-08,5.0405111973034838e-09,1.4537909956001838e-08
61,all,0.10000000000000001,61,5.0000000000000019e-07,5.0000000000000008e-07,1.3578750718265185e-06,true,5,4.0999431248407364e-15,4.1243050561613564e-09,1.1517970376073716e-08,6.6971608964953651e-09,2.4680536475627283e-08
62,all,0.10000000000000001,62,5.0000000000000008e-07,5.0000000000000008e-07,1.185897820036752e-06,true,6,4.3144926969675492e-15,1.100398283289561e-08,3.605549579732692e-08,6.7723424285806305e-09,1.8740768823931819e-08
63,all,0.10000000000000001,63,5.0000000000000019e-07,4.9999999999999998e-07,1.2366061704208524e-06,true,3,9.8242682001130649e-14,3.4770930895924481e-09,1.4744299866101263e-08,2.0471411301682848e-09,5.281668922924314e-09
64,all,0.10000000000000001,64,5.0000000000000019e-07,5.0000000000000008e-07,1.3709822217004461e-06,true,4,7.8757441202492047e-14,5.8924536554067062e-09,2.148491026927879e-08,6.9490098280018634e-09,2.0797133131532732e-08
