acquisition,method,fit_count,relative_x_rmse_um,relative_y_rmse_um,relative_rmse_2d_um,relative_median_2d_um,relative_p90_2d_um,relative_p95_2d_um,relative_p99_2d_um,relative_max_2d_um,absolute_x_rmse_um,absolute_y_rmse_um,absolute_rmse_2d_um,absolute_median_2d_um,absolute_p90_2d_um,absolute_p95_2d_um,absolute_p99_2d_um,absolute_max_2d_um,fit_bound_hit_count
deterministic_static_readback,noise_floor_profiled_bpm_gtpsa,1216,15.889904657544507,11.251044757629394,19.469850491568607,11.944008234735495,30.93611977225397,38.65187689834269,58.13775961612519,87.34379133366414,16.55801508237113,13.46694888676633,21.343068565386908,12.892258971820793,33.92819846605201,43.111353677472636,64.82277009164294,86.58575701674769,0
balanced_time_series,unfiltered_random_walk,38912,38.01371998762525,37.19686076476481,53.185048256543666,38.18539173647035,82.02657956997648,99.98320615527032,142.6986349864673,354.53649060532143,38.28305058940784,37.90630633256712,53.87466957865801,39.009848702008156,83.16110210976134,100.93741810009757,142.9315821823616,353.1018420064267,0
periodic_reference_time_series,state_space_filtered,38912,38.01184720268229,37.19061728677778,53.179343188230895,38.196702432503585,82.0134626881621,99.87459809121292,142.68542877591588,354.49784118021444,38.28126568715836,37.9002001174,53.869104981888974,39.0185061692729,83.1714442299197,100.93889941762983,142.84451508542114,353.0667003997125,0
deterministic_static_readback,reconstructed_orbit_fixed_gtpsa_template,1216,16.340742383490408,13.38911578515689,21.12553628081278,13.250728064722555,33.58882987311511,41.843165020459864,63.26914665699662,91.83345150205227,16.789284284929437,16.057238546240995,23.231766539182214,13.730401062713483,35.463201972542706,44.21615112600206,66.1328612806257,144.19993126023468,0
balanced_time_series,unfiltered_fixed_gtpsa_template,38912,20.219359001151034,18.014785684496424,27.08052772151541,20.460197004515393,41.7753717742052,49.85227721180001,69.18369300720255,112.1338259183339,20.595372503984887,20.106808212413835,28.78286130788058,21.014944202676034,43.49049625695524,52.32254604624453,75.20705800905198,162.53720494068997,0
periodic_reference_time_series,state_space_filtered_fixed_gtpsa_template,38912,20.21935723901962,18.01479223628347,27.080530764288103,20.459753795297445,41.77632553659452,49.8524986541765,69.18429388299373,112.13369246762667,20.5953719282267,20.106814060099722,28.78286498091203,21.015131930516368,43.488191563343044,52.32029455602432,75.20708171673782,162.53707729188707,0
