k2_location_group,direction_pairs,mean_exposure_h,p10_exposure_h,median_exposure_h,p90_exposure_h,mean_exposure_v,p10_exposure_v,median_exposure_v,p90_exposure_v,mean_excess_v_minus_h,p10_excess_v_minus_h,median_excess_v_minus_h,p90_excess_v_minus_h,fraction_directions_v_gt_h,mean_sum_orbit_sq_h_m2,mean_sum_orbit_sq_v_m2,mean_orbit_sq_ratio_v_h,ratio_of_mean_source_exposures_v_h,element_count,mean_h_share,mean_v_share,signed_net_excess_share,positive_excess_share,horizontal_rank,vertical_rank,cumulative_v_share,excess_rank,cumulative_positive_excess_share
positive_K2,100,4.64161523257085e-07,1.7456619707617113e-07,3.941056610103437e-07,8.927738090657072e-07,3.4646558614168297e-07,1.2408021340893836e-07,3.0202401108529727e-07,6.415690296695059e-07,-1.1769593711540201e-07,-6.483430136543125e-07,-5.0454777025687726e-08,2.9203866533593484e-07,0.43,3.0476397619040467e-06,1.7718432216320633e-06,0.5813821055166588,0.7464332323594737,36,0.6200627851864025,0.19546016323075308,-0.11493835151989873,0.0,1,2,1.0,2,1.0
negative_K2,100,2.8441028970464494e-07,9.855854333602936e-08,2.362245822731129e-07,5.301901001332683e-07,1.4260980934079878e-06,5.377291123351345e-07,1.2154588734977427e-06,2.458737444132047e-06,1.1416878037033428e-06,1.9878952786751288e-07,9.890030575013865e-07,2.2940460064689575e-06,0.95,1.395339997764748e-06,5.180548262179003e-06,3.712749774591092,5.014228194377093,40,0.37993721481359755,0.8045398367692469,1.1149383515198985,1.0,2,1,0.8045398367692469,1,1.0
