ring_side,direction_pairs,mean_exposure_h,p10_exposure_h,median_exposure_h,p90_exposure_h,mean_exposure_v,p10_exposure_v,median_exposure_v,p90_exposure_v,mean_excess_v_minus_h,p10_excess_v_minus_h,median_excess_v_minus_h,p90_excess_v_minus_h,fraction_directions_v_gt_h,mean_h_share,mean_v_share,signed_net_excess_share,positive_excess_share,horizontal_rank,vertical_rank,cumulative_v_share,excess_rank,cumulative_positive_excess_share
E,100,3.7732810353097007e-07,8.32485328222613e-08,2.953687626541745e-07,7.257378571845293e-07,8.866014559222453e-07,1.7538762172048195e-07,6.422183370508164e-07,1.7494111686235558e-06,5.092733523912753e-07,-3.8812698767026665e-07,3.7091371155804976e-07,1.4579676395950655e-06,0.73,0.5040640016060297,0.5001803129281601,0.4973412084690017,0.4973412084690017,1,1,0.5001803129281601,2,1.0
W,100,3.712437094307599e-07,8.615721661432982e-08,2.745650958691158e-07,7.096739255386445e-07,8.859622236274255e-07,2.5182346935287146e-07,7.113303906444924e-07,1.7548589922404276e-06,5.147185141966655e-07,-2.3210107614014404e-07,4.600800787256957e-07,1.4064908262274014e-06,0.79,0.49593599839397023,0.4998196870718399,0.5026587915309982,0.5026587915309982,2,2,1.0,1,0.5026587915309982
