machine,relative_l2,maximum_abs_difference,cosine_similarity,corrected_bpm_method_difference_rms_um,corrector_command_method_difference_rms
1,0.023511034791134443,0.9412277421046509,0.9997288646960737,0.5851289702593787,7.117788601111698e-7
2,0.020284364522265723,0.9138489586798753,0.9997963662792771,1.0826274229862434,4.191159051876132e-7
3,0.017027170529449014,0.5889417248850373,0.9998550823799796,0.4354021104304701,7.464557748615073e-7
4,0.011001542413648539,0.3321770402999805,0.9999406136004433,0.288030745232268,5.379884673908768e-7
5,0.021712717542179887,0.7608130168629668,0.9997643460758338,2.2182517155117587,3.2364974763621333e-6
6,0.019642524506129765,0.7000976644456198,0.9998072660460912,3.02380277001715,1.1256693577524746e-6
7,0.023012850476162767,0.9259082821788311,0.9997353481498048,1.8267681552360835,1.2538801702381747e-6
8,0.03274743531111473,1.0718134968289483,0.9994755326614281,1.3767488712345861,1.9859158451320445e-6
9,0.013787660330419128,0.4464587091363539,0.9999049903399072,0.29106134960533553,1.8379728150028135e-7
10,0.017399381388128167,0.770148651341507,0.99984893837351,0.7755759343626294,1.6240976917029135e-6
11,0.015863292341885438,0.5363141353317014,0.999876437163625,1.0774920982269505,2.4346011921505703e-6
12,0.016300257614885027,0.6447431861600901,0.9998673889080683,0.4260640916642907,8.903962788330058e-7
13,0.025595333098532652,0.810878484513534,0.9996731886774167,1.5745989877185447,2.851170971208209e-6
14,0.026466691337712255,0.8250330238215184,0.9996499145233919,0.4197383852665952,5.681441406580569e-7
15,0.02120203181413422,0.831874334724712,0.9997824086375964,1.222241184829273,4.4549599781356005e-7
16,0.01272583607916654,0.3744632762877437,0.9999190324394109,0.25043753093105786,4.7174468152485613e-7
