method,before_bpm_rms_um,after_bpm_rms_um,reduction_factor,before_bpm_max_abs_um,after_bpm_max_abs_um,before_target_2d_rms_um,after_target_2d_rms_um,command_rms,max_abs_command,reference_truth_outside_scan_radius_fraction,uncorrected_truth_outside_scan_radius_fraction,corrected_truth_outside_scan_radius_fraction,converged_machine_count
reference_orm,860.881807706852,126.0340370759166,6.830550125029319,4234.799692333997,1379.9880565942103,1335.7402018215303,70.70922867862262,2.0363690638435077e-5,0.00013714260568449652,0.0,0.28618421052631576,0.0,0
current_orm,860.881807706852,126.0030547153709,6.832229660237233,4234.799692333997,1377.061967844675,1335.7402018215303,70.72424892269834,2.0494827939382374e-5,0.00013706958001431365,0.0,0.28618421052631576,0.0,0
