method,machine,realized_quad_x_rms_um,realized_quad_y_rms_um,before_bpm_rms_um,after_bpm_rms_um,bpm_reduction_factor,before_bpm_max_abs_um,after_bpm_max_abs_um,before_target_2d_rms_um,after_target_2d_rms_um,command_rms,max_abs_command,iterations,converged,retained_response_rank,retained_response_condition
reference_orm,1,46.9299752824788,46.97187391050814,1051.0757133382597,121.47237286587647,8.652796422267993,3887.946967686726,783.266709473211,1660.2467998418097,73.40301301219141,1.9514373521063597e-5,9.493317955547686e-5,3,false,103,5.807128653959204e6
current_orm,1,46.9299752824788,46.97187391050814,1051.0757133382597,121.55662204147109,8.646799291441871,3887.946967686726,783.2693476834384,1660.2467998418097,73.35926649367549,1.936334175283057e-5,9.394816853034356e-5,3,false,103,6.044631074267053e6
reference_orm,2,50.656457836106895,55.167256477343024,945.4935914461191,155.88304687006078,6.065403585768072,4234.799692333997,1163.2272896965624,1424.7413089108375,45.462821230735706,2.159647539457338e-5,0.0001229390036044364,3,false,103,5.220853105741025e7
current_orm,2,50.656457836106895,55.167256477343024,945.4935914461191,155.94427039726375,6.063022315840781,4234.799692333997,1162.3887592503997,1424.7413089108375,45.326032366262055,2.1454053129282937e-5,0.00012241710913994726,3,false,103,4.706607817506881e7
reference_orm,3,52.02276160321269,44.80857156544083,732.2685972279803,116.1670170442634,6.303584406828335,1915.8559802485768,679.9015080141565,1138.541060949347,75.74744542772986,1.9592112725181692e-5,0.00010306281180198357,3,false,103,6.67413503146713e6
current_orm,3,52.02276160321269,44.80857156544083,732.2685972279803,116.19167096970888,6.302246891852364,1915.8559802485768,679.7553308447659,1138.541060949347,75.62586828675113,1.959523319874325e-5,0.00010331740740823634,3,false,103,6.4392507731642015e6
reference_orm,4,51.64901920491486,50.764729402788284,514.0926916240134,78.18999889714402,6.574916215311407,1573.2927903827633,394.2351753914757,751.7543201088937,66.5270334270281,1.665148770525828e-5,7.802539822476755e-5,3,false,103,3.979636243066127e7
current_orm,4,51.64901920491486,50.764729402788284,514.0926916240134,78.16569322529072,6.576960689676033,1573.2927903827633,394.0498886955493,751.7543201088937,66.52705621703707,1.6697091547911548e-5,7.819593634246106e-5,3,false,103,4.257010104999084e7
reference_orm,5,52.26232756071181,46.98109530097729,941.5944966911071,105.18373143620563,8.951902388652071,3190.6621759250474,559.1711548591237,1428.1370957923607,48.37060371530248,1.6042598919425915e-5,6.567974010895941e-5,3,false,103,2.075525302776999e7
current_orm,5,52.26232756071181,46.98109530097729,941.5944966911071,104.9005408307688,8.97606903867291,3190.6621759250474,555.755565562361,1428.1370957923607,48.48669507609458,1.697566112425526e-5,6.547665396680193e-5,3,false,103,2.135008627628349e7
reference_orm,6,49.78225236026839,50.73798648781253,958.8184803664685,151.16895909937398,6.342694201765124,3555.5479312409184,1217.0628480330263,1516.9630329127983,44.168347122546294,2.3680056430035375e-5,0.00013714260568449652,3,false,103,1.2822313921940027e7
current_orm,6,49.78225236026839,50.73798648781253,958.8184803664685,151.00115319538637,6.3497427673669185,3555.5479312409184,1213.7437568451694,1516.9630329127983,44.47870271608589,2.416300505956842e-5,0.00013706958001431365,3,false,103,1.3629562778031273e7
reference_orm,7,50.94995024479522,50.56969032251,952.1675300953416,175.13951978225404,5.436622935127059,3000.4909671394385,1379.9880565942103,1513.3222809698773,42.90856570857002,2.3632804314069696e-5,0.00013657393401663348,3,false,103,2.4071478521019112e7
